Unnamed: 0,subject,depth,target,time_window,accuracy,itr
0,14,low,"(1, 2)","[0, 500]",0.5,0.0
1,14,low,"(1, 2)","[0, 1000]",0.5,0.0
2,14,low,"(1, 2)","[0, 1500]",0.5,0.0
3,14,low,"(1, 2)","[0, 2000]",0.5,0.0
4,14,low,"(2, 3)","[0, 500]",0.5,0.0
5,14,low,"(2, 3)","[0, 1000]",0.4583333333333333,0.29214593091436863
6,14,low,"(2, 3)","[0, 1500]",0.5,0.0
7,14,low,"(2, 3)","[0, 2000]",0.4583333333333333,0.14823167923241365
8,14,low,"(3, 4)","[0, 500]",0.4583333333333333,0.5677552997015088
9,14,low,"(3, 4)","[0, 1000]",0.5833333333333334,1.1726937873114933
10,14,low,"(3, 4)","[0, 1500]",0.75,7.400857864347732
11,14,low,"(3, 4)","[0, 2000]",0.7083333333333334,3.816813717181344
12,14,low,"(4, 5)","[0, 500]",0.4166666666666667,2.279008681001569
13,14,low,"(4, 5)","[0, 1000]",0.4583333333333333,0.29214593091436863
14,14,low,"(4, 5)","[0, 1500]",0.5833333333333334,0.7894605234842081
15,14,low,"(4, 5)","[0, 2000]",0.6666666666666666,2.41490145651755
16,14,low,"(5, 6)","[0, 500]",0.625,5.158414763211503
17,14,low,"(5, 6)","[0, 1000]",0.6666666666666666,4.759465977408375
18,14,low,"(5, 6)","[0, 1500]",0.7083333333333334,5.064138461358254
19,14,low,"(5, 6)","[0, 2000]",0.8333333333333334,10.344164877388547
20,14,low,"(6, 7)","[0, 500]",0.5833333333333334,2.279008681001582
21,14,low,"(6, 7)","[0, 1000]",0.6666666666666666,4.759465977408375
22,14,low,"(6, 7)","[0, 1500]",0.75,7.400857864347732
23,14,low,"(6, 7)","[0, 2000]",0.875,13.490706112327201
24,14,low,"(7, 8)","[0, 500]",0.625,5.158414763211503
25,14,low,"(7, 8)","[0, 1000]",0.7916666666666666,15.245541778051425
26,14,low,"(7, 8)","[0, 1500]",0.9166666666666666,22.987574497896716
27,14,low,"(7, 8)","[0, 2000]",0.9583333333333334,22.17096671429009
28,14,low,"(8, 9)","[0, 500]",0.6666666666666666,9.249528220246464
29,14,low,"(8, 9)","[0, 1000]",0.8333333333333334,20.387043399124998
30,14,low,"(8, 9)","[0, 1500]",1.0,39.21568627450981
31,14,low,"(8, 9)","[0, 2000]",1.0,29.55665024630542
32,14,low,"(9, 10)","[0, 500]",0.5833333333333334,2.279008681001582
33,14,low,"(9, 10)","[0, 1000]",0.625,2.6543299267010645
34,14,low,"(9, 10)","[0, 1500]",0.9166666666666666,22.987574497896716
35,14,low,"(9, 10)","[0, 2000]",0.9583333333333334,22.17096671429009
36,14,low,"(10, 11)","[0, 500]",0.625,5.158414763211503
37,14,low,"(10, 11)","[0, 1000]",0.75,10.993507313060222
38,14,low,"(10, 11)","[0, 1500]",0.9583333333333334,29.416380673208415
39,14,low,"(10, 11)","[0, 2000]",0.9583333333333334,22.17096671429009
40,14,low,"(11, 12)","[0, 500]",0.6666666666666666,9.249528220246464
41,14,low,"(11, 12)","[0, 1000]",0.9583333333333334,43.69617711651347
42,14,low,"(11, 12)","[0, 1500]",1.0,39.21568627450981
43,14,low,"(11, 12)","[0, 2000]",1.0,29.55665024630542
44,14,low,"(12, 13)","[0, 500]",0.625,5.158414763211503
45,14,low,"(12, 13)","[0, 1000]",0.9166666666666666,34.146591244448516
46,14,low,"(12, 13)","[0, 1500]",1.0,39.21568627450981
47,14,low,"(12, 13)","[0, 2000]",1.0,29.55665024630542
48,14,low,"(13, 14)","[0, 500]",0.7083333333333334,14.61911669033609
49,14,low,"(13, 14)","[0, 1000]",0.9166666666666666,34.146591244448516
50,14,low,"(13, 14)","[0, 1500]",1.0,39.21568627450981
51,14,low,"(13, 14)","[0, 2000]",1.0,29.55665024630542
52,14,low,"(14, 15)","[0, 500]",0.6666666666666666,9.249528220246464
53,14,low,"(14, 15)","[0, 1000]",0.875,26.588479036916713
54,14,low,"(14, 15)","[0, 1500]",0.9583333333333334,29.416380673208415
55,14,low,"(14, 15)","[0, 2000]",0.9166666666666666,17.325610335853188
56,14,low,"(15, 16)","[0, 500]",0.7083333333333334,14.61911669033609
57,14,low,"(15, 16)","[0, 1000]",0.9166666666666666,34.146591244448516
58,14,low,"(15, 16)","[0, 1500]",1.0,39.21568627450981
59,14,low,"(15, 16)","[0, 2000]",1.0,29.55665024630542
60,14,low,"(16, 17)","[0, 500]",0.625,5.158414763211503
61,14,low,"(16, 17)","[0, 1000]",0.9583333333333334,43.69617711651347
62,14,low,"(16, 17)","[0, 1500]",1.0,39.21568627450981
63,14,low,"(16, 17)","[0, 2000]",1.0,29.55665024630542
64,14,low,"(17, 18)","[0, 500]",0.75,21.36474062726798
65,14,low,"(17, 18)","[0, 1000]",1.0,58.252427184466015
66,14,low,"(17, 18)","[0, 1500]",1.0,39.21568627450981
67,14,low,"(17, 18)","[0, 2000]",1.0,29.55665024630542
68,14,low,"(18, 19)","[0, 500]",0.6666666666666666,9.249528220246464
69,14,low,"(18, 19)","[0, 1000]",0.9583333333333334,43.69617711651347
70,14,low,"(18, 19)","[0, 1500]",1.0,39.21568627450981
71,14,low,"(18, 19)","[0, 2000]",1.0,29.55665024630542
72,14,low,"(19, 20)","[0, 500]",0.7083333333333334,14.61911669033609
73,14,low,"(19, 20)","[0, 1000]",0.9583333333333334,43.69617711651347
74,14,low,"(19, 20)","[0, 1500]",1.0,39.21568627450981
75,14,low,"(19, 20)","[0, 2000]",1.0,29.55665024630542
76,14,low,"(20, 21)","[0, 500]",0.7083333333333334,14.61911669033609
77,14,low,"(20, 21)","[0, 1000]",0.9166666666666666,34.146591244448516
78,14,low,"(20, 21)","[0, 1500]",1.0,39.21568627450981
79,14,low,"(20, 21)","[0, 2000]",1.0,29.55665024630542
80,14,low,"(21, 22)","[0, 500]",0.75,21.36474062726798
81,14,low,"(21, 22)","[0, 1000]",0.875,26.588479036916713
82,14,low,"(21, 22)","[0, 1500]",0.9583333333333334,29.416380673208415
83,14,low,"(21, 22)","[0, 2000]",1.0,29.55665024630542
84,14,low,"(22, 23)","[0, 500]",0.7916666666666666,29.628128361118808
85,14,low,"(22, 23)","[0, 1000]",0.9166666666666666,34.146591244448516
86,14,low,"(22, 23)","[0, 1500]",0.9166666666666666,22.987574497896716
87,14,low,"(22, 23)","[0, 2000]",0.9583333333333334,22.17096671429009
