,subject,depth,target,time_window,accuracy
0,7,low,"(1, 4)","[0, 500]",0.2708333333333333
1,7,low,"(1, 4)","[0, 1000]",0.25
2,7,low,"(1, 4)","[0, 1500]",0.25
3,7,low,"(1, 4)","[0, 2000]",0.25
4,7,low,"(2, 5)","[0, 500]",0.25
5,7,low,"(2, 5)","[0, 1000]",0.1875
6,7,low,"(2, 5)","[0, 1500]",0.2708333333333333
7,7,low,"(2, 5)","[0, 2000]",0.25
8,7,low,"(3, 6)","[0, 500]",0.25
9,7,low,"(3, 6)","[0, 1000]",0.2916666666666667
10,7,low,"(3, 6)","[0, 1500]",0.375
11,7,low,"(3, 6)","[0, 2000]",0.4375
12,7,low,"(4, 7)","[0, 500]",0.1875
13,7,low,"(4, 7)","[0, 1000]",0.3541666666666667
14,7,low,"(4, 7)","[0, 1500]",0.625
15,7,low,"(4, 7)","[0, 2000]",0.6666666666666666
16,7,low,"(5, 8)","[0, 500]",0.3541666666666667
17,7,low,"(5, 8)","[0, 1000]",0.6041666666666666
18,7,low,"(5, 8)","[0, 1500]",0.9375
19,7,low,"(5, 8)","[0, 2000]",1.0
20,7,low,"(6, 9)","[0, 500]",0.3125
21,7,low,"(6, 9)","[0, 1000]",0.8125
22,7,low,"(6, 9)","[0, 1500]",0.9791666666666666
23,7,low,"(6, 9)","[0, 2000]",1.0
24,7,low,"(7, 10)","[0, 500]",0.3541666666666667
25,7,low,"(7, 10)","[0, 1000]",0.9375
26,7,low,"(7, 10)","[0, 1500]",0.9791666666666666
27,7,low,"(7, 10)","[0, 2000]",1.0
28,7,low,"(8, 11)","[0, 500]",0.4166666666666667
29,7,low,"(8, 11)","[0, 1000]",0.8958333333333334
30,7,low,"(8, 11)","[0, 1500]",1.0
31,7,low,"(8, 11)","[0, 2000]",1.0
32,7,low,"(9, 12)","[0, 500]",0.625
33,7,low,"(9, 12)","[0, 1000]",0.9583333333333334
34,7,low,"(9, 12)","[0, 1500]",1.0
35,7,low,"(9, 12)","[0, 2000]",1.0
36,7,low,"(10, 13)","[0, 500]",0.6041666666666666
37,7,low,"(10, 13)","[0, 1000]",1.0
38,7,low,"(10, 13)","[0, 1500]",1.0
39,7,low,"(10, 13)","[0, 2000]",1.0
40,7,low,"(11, 14)","[0, 500]",0.6458333333333334
41,7,low,"(11, 14)","[0, 1000]",1.0
42,7,low,"(11, 14)","[0, 1500]",1.0
43,7,low,"(11, 14)","[0, 2000]",1.0
44,7,low,"(12, 15)","[0, 500]",0.6875
45,7,low,"(12, 15)","[0, 1000]",0.9583333333333334
46,7,low,"(12, 15)","[0, 1500]",1.0
47,7,low,"(12, 15)","[0, 2000]",1.0
48,7,low,"(13, 16)","[0, 500]",0.7083333333333334
49,7,low,"(13, 16)","[0, 1000]",0.9583333333333334
50,7,low,"(13, 16)","[0, 1500]",1.0
51,7,low,"(13, 16)","[0, 2000]",1.0
52,7,low,"(14, 17)","[0, 500]",0.6666666666666666
53,7,low,"(14, 17)","[0, 1000]",0.9166666666666666
54,7,low,"(14, 17)","[0, 1500]",0.9583333333333334
55,7,low,"(14, 17)","[0, 2000]",0.9791666666666666
56,7,low,"(15, 18)","[0, 500]",0.7083333333333334
57,7,low,"(15, 18)","[0, 1000]",0.8958333333333334
58,7,low,"(15, 18)","[0, 1500]",0.9583333333333334
59,7,low,"(15, 18)","[0, 2000]",0.9791666666666666
60,7,low,"(16, 19)","[0, 500]",0.8125
61,7,low,"(16, 19)","[0, 1000]",0.9791666666666666
62,7,low,"(16, 19)","[0, 1500]",1.0
63,7,low,"(16, 19)","[0, 2000]",1.0
64,7,low,"(17, 20)","[0, 500]",0.7916666666666666
65,7,low,"(17, 20)","[0, 1000]",0.9791666666666666
66,7,low,"(17, 20)","[0, 1500]",1.0
67,7,low,"(17, 20)","[0, 2000]",1.0
68,7,low,"(18, 21)","[0, 500]",0.8125
69,7,low,"(18, 21)","[0, 1000]",0.9791666666666666
70,7,low,"(18, 21)","[0, 1500]",1.0
71,7,low,"(18, 21)","[0, 2000]",1.0
72,7,low,"(19, 22)","[0, 500]",0.8333333333333334
73,7,low,"(19, 22)","[0, 1000]",0.9791666666666666
74,7,low,"(19, 22)","[0, 1500]",1.0
75,7,low,"(19, 22)","[0, 2000]",1.0
76,7,low,"(20, 23)","[0, 500]",0.875
77,7,low,"(20, 23)","[0, 1000]",0.9791666666666666
78,7,low,"(20, 23)","[0, 1500]",1.0
79,7,low,"(20, 23)","[0, 2000]",1.0
80,7,low,"(21, 24)","[0, 500]",0.8125
81,7,low,"(21, 24)","[0, 1000]",0.9583333333333334
82,7,low,"(21, 24)","[0, 1500]",1.0
83,7,low,"(21, 24)","[0, 2000]",1.0
84,7,low,"(22, 25)","[0, 500]",0.8333333333333334
85,7,low,"(22, 25)","[0, 1000]",0.9166666666666666
86,7,low,"(22, 25)","[0, 1500]",0.9791666666666666
87,7,low,"(22, 25)","[0, 2000]",1.0
88,7,low,"(23, 26)","[0, 500]",0.8333333333333334
89,7,low,"(23, 26)","[0, 1000]",0.9375
90,7,low,"(23, 26)","[0, 1500]",1.0
91,7,low,"(23, 26)","[0, 2000]",1.0
92,7,low,"(24, 27)","[0, 500]",0.875
93,7,low,"(24, 27)","[0, 1000]",0.9583333333333334
94,7,low,"(24, 27)","[0, 1500]",1.0
95,7,low,"(24, 27)","[0, 2000]",1.0
96,7,low,"(25, 28)","[0, 500]",0.7708333333333334
97,7,low,"(25, 28)","[0, 1000]",1.0
98,7,low,"(25, 28)","[0, 1500]",1.0
99,7,low,"(25, 28)","[0, 2000]",1.0
100,7,low,"(26, 29)","[0, 500]",0.75
101,7,low,"(26, 29)","[0, 1000]",1.0
102,7,low,"(26, 29)","[0, 1500]",1.0
103,7,low,"(26, 29)","[0, 2000]",1.0
104,7,low,"(27, 30)","[0, 500]",0.75
105,7,low,"(27, 30)","[0, 1000]",0.9791666666666666
106,7,low,"(27, 30)","[0, 1500]",0.9791666666666666
107,7,low,"(27, 30)","[0, 2000]",0.9791666666666666
108,7,low,"(28, 31)","[0, 500]",0.7916666666666666
109,7,low,"(28, 31)","[0, 1000]",0.9583333333333334
110,7,low,"(28, 31)","[0, 1500]",0.9791666666666666
111,7,low,"(28, 31)","[0, 2000]",0.9583333333333334
112,7,low,"(29, 32)","[0, 500]",0.7083333333333334
113,7,low,"(29, 32)","[0, 1000]",0.8958333333333334
114,7,low,"(29, 32)","[0, 1500]",0.9791666666666666
115,7,low,"(29, 32)","[0, 2000]",0.9583333333333334
116,7,low,"(30, 33)","[0, 500]",0.6458333333333334
117,7,low,"(30, 33)","[0, 1000]",0.8333333333333334
118,7,low,"(30, 33)","[0, 1500]",0.9375
119,7,low,"(30, 33)","[0, 2000]",0.9375
120,7,low,"(31, 34)","[0, 500]",0.6458333333333334
121,7,low,"(31, 34)","[0, 1000]",0.9166666666666666
122,7,low,"(31, 34)","[0, 1500]",1.0
123,7,low,"(31, 34)","[0, 2000]",1.0
124,7,low,"(32, 35)","[0, 500]",0.75
125,7,low,"(32, 35)","[0, 1000]",0.9583333333333334
126,7,low,"(32, 35)","[0, 1500]",1.0
127,7,low,"(32, 35)","[0, 2000]",1.0
128,7,low,"(33, 36)","[0, 500]",0.7083333333333334
129,7,low,"(33, 36)","[0, 1000]",0.9583333333333334
130,7,low,"(33, 36)","[0, 1500]",1.0
131,7,low,"(33, 36)","[0, 2000]",1.0
132,7,low,"(34, 37)","[0, 500]",0.6458333333333334
133,7,low,"(34, 37)","[0, 1000]",0.9583333333333334
134,7,low,"(34, 37)","[0, 1500]",1.0
135,7,low,"(34, 37)","[0, 2000]",1.0
136,7,low,"(35, 38)","[0, 500]",0.5208333333333334
137,7,low,"(35, 38)","[0, 1000]",0.9375
138,7,low,"(35, 38)","[0, 1500]",1.0
139,7,low,"(35, 38)","[0, 2000]",1.0
140,7,low,"(36, 39)","[0, 500]",0.4583333333333333
141,7,low,"(36, 39)","[0, 1000]",0.9166666666666666
142,7,low,"(36, 39)","[0, 1500]",0.9791666666666666
143,7,low,"(36, 39)","[0, 2000]",1.0
144,7,low,"(37, 40)","[0, 500]",0.4166666666666667
145,7,low,"(37, 40)","[0, 1000]",0.9166666666666666
146,7,low,"(37, 40)","[0, 1500]",0.9791666666666666
147,7,low,"(37, 40)","[0, 2000]",1.0
148,7,low,"(38, 41)","[0, 500]",0.4375
149,7,low,"(38, 41)","[0, 1000]",0.875
150,7,low,"(38, 41)","[0, 1500]",0.9791666666666666
151,7,low,"(38, 41)","[0, 2000]",1.0
152,7,low,"(39, 42)","[0, 500]",0.375
153,7,low,"(39, 42)","[0, 1000]",0.8958333333333334
154,7,low,"(39, 42)","[0, 1500]",1.0
155,7,low,"(39, 42)","[0, 2000]",1.0
156,7,low,"(40, 43)","[0, 500]",0.3333333333333333
157,7,low,"(40, 43)","[0, 1000]",0.8333333333333334
158,7,low,"(40, 43)","[0, 1500]",0.9791666666666666
159,7,low,"(40, 43)","[0, 2000]",1.0
160,7,low,"(41, 44)","[0, 500]",0.3333333333333333
161,7,low,"(41, 44)","[0, 1000]",0.8541666666666666
162,7,low,"(41, 44)","[0, 1500]",0.9791666666666666
163,7,low,"(41, 44)","[0, 2000]",0.9791666666666666
164,7,low,"(42, 45)","[0, 500]",0.3333333333333333
165,7,low,"(42, 45)","[0, 1000]",0.8125
166,7,low,"(42, 45)","[0, 1500]",0.9791666666666666
167,7,low,"(42, 45)","[0, 2000]",0.9791666666666666
168,7,low,"(43, 46)","[0, 500]",0.4166666666666667
169,7,low,"(43, 46)","[0, 1000]",0.875
170,7,low,"(43, 46)","[0, 1500]",1.0
171,7,low,"(43, 46)","[0, 2000]",1.0
172,7,low,"(44, 47)","[0, 500]",0.3958333333333333
173,7,low,"(44, 47)","[0, 1000]",0.7916666666666666
174,7,low,"(44, 47)","[0, 1500]",0.9583333333333334
175,7,low,"(44, 47)","[0, 2000]",0.9583333333333334
176,7,low,"(45, 48)","[0, 500]",0.2916666666666667
177,7,low,"(45, 48)","[0, 1000]",0.7083333333333334
178,7,low,"(45, 48)","[0, 1500]",0.9166666666666666
179,7,low,"(45, 48)","[0, 2000]",0.9791666666666666
180,7,low,"(46, 49)","[0, 500]",0.3541666666666667
181,7,low,"(46, 49)","[0, 1000]",0.5208333333333334
182,7,low,"(46, 49)","[0, 1500]",0.7708333333333334
183,7,low,"(46, 49)","[0, 2000]",0.9166666666666666
184,7,low,"(47, 50)","[0, 500]",0.25
185,7,low,"(47, 50)","[0, 1000]",0.375
186,7,low,"(47, 50)","[0, 1500]",0.625
187,7,low,"(47, 50)","[0, 2000]",0.5833333333333334
188,7,low,"(48, 51)","[0, 500]",0.3333333333333333
189,7,low,"(48, 51)","[0, 1000]",0.375
190,7,low,"(48, 51)","[0, 1500]",0.4583333333333333
191,7,low,"(48, 51)","[0, 2000]",0.5208333333333334
192,7,low,"(49, 52)","[0, 500]",0.14583333333333334
193,7,low,"(49, 52)","[0, 1000]",0.3958333333333333
194,7,low,"(49, 52)","[0, 1500]",0.4375
195,7,low,"(49, 52)","[0, 2000]",0.6041666666666666
196,7,low,"(50, 53)","[0, 500]",0.125
197,7,low,"(50, 53)","[0, 1000]",0.3541666666666667
198,7,low,"(50, 53)","[0, 1500]",0.4791666666666667
199,7,low,"(50, 53)","[0, 2000]",0.7083333333333334
200,7,low,"(51, 54)","[0, 500]",0.20833333333333334
201,7,low,"(51, 54)","[0, 1000]",0.625
202,7,low,"(51, 54)","[0, 1500]",0.7916666666666666
203,7,low,"(51, 54)","[0, 2000]",0.875
204,7,low,"(52, 55)","[0, 500]",0.25
205,7,low,"(52, 55)","[0, 1000]",0.6666666666666666
206,7,low,"(52, 55)","[0, 1500]",0.8541666666666666
207,7,low,"(52, 55)","[0, 2000]",0.9375
208,7,low,"(53, 56)","[0, 500]",0.3958333333333333
209,7,low,"(53, 56)","[0, 1000]",0.7916666666666666
210,7,low,"(53, 56)","[0, 1500]",0.8333333333333334
211,7,low,"(53, 56)","[0, 2000]",0.9166666666666666
212,7,low,"(54, 57)","[0, 500]",0.3958333333333333
213,7,low,"(54, 57)","[0, 1000]",0.7291666666666666
214,7,low,"(54, 57)","[0, 1500]",0.8125
215,7,low,"(54, 57)","[0, 2000]",0.8958333333333334
216,7,low,"(55, 58)","[0, 500]",0.4166666666666667
