Unnamed: 0,subject,depth,target,time_window,accuracy,time,itr
0,2,low,"(1, 2)","[0, 500]",0.4583333333333333,0.0754455626010894,0.5229170722624842
1,2,low,"(1, 2)","[0, 1000]",0.5,0.021284798781077,0.0
2,2,low,"(1, 2)","[0, 1500]",0.5,0.0264050662517547,0.0
3,2,low,"(1, 2)","[0, 2000]",0.5,0.0258564452330271,0.0
4,2,low,"(2, 3)","[0, 500]",0.5,0.0472683906555175,0.0
5,2,low,"(2, 3)","[0, 1000]",0.5416666666666666,0.0179873307545979,0.29559337307149547
6,2,low,"(2, 3)","[0, 1500]",0.5833333333333334,0.0258743266264597,0.7915950742819798
7,2,low,"(2, 3)","[0, 2000]",0.5,0.025020807981491,0.0
8,2,low,"(3, 4)","[0, 500]",0.4166666666666667,0.0243262251218159,2.303670011261039
9,2,low,"(3, 4)","[0, 1000]",0.5416666666666666,0.0154451827208201,0.296333385555614
10,2,low,"(3, 4)","[0, 1500]",0.5,0.0256277720133463,0.0
11,2,low,"(3, 4)","[0, 2000]",0.5,0.0246479709943135,0.0
12,2,low,"(4, 5)","[0, 500]",0.5,0.0192062755425771,0.0
13,2,low,"(4, 5)","[0, 1000]",0.5833333333333334,0.01396972934405,1.191233392847169
14,2,low,"(4, 5)","[0, 1500]",0.625,0.0239271322886149,1.794022671147189
15,2,low,"(4, 5)","[0, 2000]",0.6666666666666666,0.0247974594434102,2.421106335286587
16,2,low,"(5, 6)","[0, 500]",0.5416666666666666,0.0178878406683603,0.5810337397639223
17,2,low,"(5, 6)","[0, 1000]",0.7083333333333334,0.014284481604894,7.639012512168502
18,2,low,"(5, 6)","[0, 1500]",0.8333333333333334,0.0191864172617594,13.822302821103117
19,2,low,"(5, 6)","[0, 2000]",0.875,0.0204416314760843,13.554528367155347
20,2,low,"(6, 7)","[0, 500]",0.5,0.0145368576049804,0.0
21,2,low,"(6, 7)","[0, 1000]",0.875,0.0125081737836202,27.04781464201475
22,2,low,"(6, 7)","[0, 1500]",1.0,0.0184435943762461,39.51414476126596
23,2,low,"(6, 7)","[0, 2000]",1.0,0.018924593925476,29.718791965052837
24,2,low,"(7, 8)","[0, 500]",0.7083333333333334,0.0111018319924672,15.159663614730153
25,2,low,"(7, 8)","[0, 1000]",0.875,0.0109167297681172,27.09039488772336
26,2,low,"(7, 8)","[0, 1500]",1.0,0.019574224948883,39.4847444862513
27,2,low,"(7, 8)","[0, 2000]",1.0,0.0225004951159159,29.66624737293882
28,2,low,"(8, 9)","[0, 500]",0.625,0.0109408795833587,5.350833988330461
29,2,low,"(8, 9)","[0, 1000]",0.875,0.0116157134373982,27.071676570708934
30,2,low,"(8, 9)","[0, 1500]",0.875,0.0168907841046651,18.054123404928394
31,2,low,"(8, 9)","[0, 2000]",0.9583333333333334,0.0161765416463216,22.322976931999253
32,2,low,"(9, 10)","[0, 500]",0.7083333333333334,0.0114733477433522,15.148652183077186
33,2,low,"(9, 10)","[0, 1000]",0.875,0.0129127701123555,27.037010704274625
34,2,low,"(9, 10)","[0, 1500]",0.9166666666666666,0.0181811551253,23.1665298064375
35,2,low,"(9, 10)","[0, 2000]",0.9583333333333334,0.0192406376202901,22.2891029387416
36,2,low,"(10, 11)","[0, 500]",0.6666666666666666,0.0128873387972513,9.558141887898167
37,2,low,"(10, 11)","[0, 1000]",0.875,0.0127520561218261,27.041301217294077
38,2,low,"(10, 11)","[0, 1500]",0.9166666666666666,0.0184506475925445,23.162418243585634
39,2,low,"(10, 11)","[0, 2000]",0.9583333333333334,0.0182117621103922,22.300465825719968
40,2,low,"(11, 12)","[0, 500]",0.5416666666666666,0.0143698155879974,0.5850077118110375
41,2,low,"(11, 12)","[0, 1000]",0.5833333333333334,0.0117150644461313,1.1938881246095665
42,2,low,"(11, 12)","[0, 1500]",0.625,0.0188214679559071,1.800053450772969
43,2,low,"(11, 12)","[0, 2000]",0.7083333333333334,0.0180374681949615,3.839439043125628
44,2,low,"(12, 13)","[0, 500]",0.625,0.012089600165685,5.338830985080604
45,2,low,"(12, 13)","[0, 1000]",0.9166666666666666,0.0098206102848052,34.82894746212647
46,2,low,"(12, 13)","[0, 1500]",1.0,0.015504628419876,39.590773181971954
47,2,low,"(12, 13)","[0, 2000]",1.0,0.0161618292331695,29.759515893037467
48,2,low,"(13, 14)","[0, 500]",0.8333333333333334,0.009017805258433,41.253281288338314
49,2,low,"(13, 14)","[0, 1000]",1.0,0.0103908777236938,59.38295893483698
50,2,low,"(13, 14)","[0, 1500]",1.0,0.0163945655028025,39.56753826805317
51,2,low,"(13, 14)","[0, 2000]",1.0,0.016107698281606,29.760314913305447
52,2,low,"(14, 15)","[0, 500]",0.7916666666666666,0.0100431640942891,30.78741004063345
53,2,low,"(14, 15)","[0, 1000]",1.0,0.0100587904453277,59.40248287284983
54,2,low,"(14, 15)","[0, 1500]",1.0,0.0147131582101186,39.61146021263843
55,2,low,"(14, 15)","[0, 2000]",1.0,0.0154789785544077,29.769598511533324
56,2,low,"(15, 16)","[0, 500]",0.875,0.0091149608294169,53.791649264065065
57,2,low,"(15, 16)","[0, 1000]",1.0,0.00994473695755,59.40919122045182
58,2,low,"(15, 16)","[0, 1500]",1.0,0.0140624046325683,39.628485468246446
59,2,low,"(15, 16)","[0, 2000]",1.0,0.0169999599456787,29.747149822261722
60,2,low,"(16, 17)","[0, 500]",0.7916666666666666,0.0073023438453674,30.95374626571689
61,2,low,"(16, 17)","[0, 1000]",1.0,0.0090972085793813,59.45908827204933
62,2,low,"(16, 17)","[0, 1500]",1.0,0.0140474239985148,39.62887756946433
63,2,low,"(16, 17)","[0, 2000]",1.0,0.0159827272097269,29.76215975969425
64,2,low,"(17, 18)","[0, 500]",0.875,0.0070871214071909,54.00676185982873
65,2,low,"(17, 18)","[0, 1000]",1.0,0.0101422369480133,59.397575712981386
66,2,low,"(17, 18)","[0, 1500]",1.0,0.0137764513492584,39.63597131301708
67,2,low,"(17, 18)","[0, 2000]",1.0,0.0150487224260965,29.775954959421856
68,2,low,"(18, 19)","[0, 500]",0.7916666666666666,0.0075328846772511,30.939685891247656
69,2,low,"(18, 19)","[0, 1000]",1.0,0.0098108450571695,59.417068348679855
70,2,low,"(18, 19)","[0, 1500]",1.0,0.013302594423294,39.648382432639295
71,2,low,"(18, 19)","[0, 2000]",1.0,0.0149640540281931,29.77720613926172
72,2,low,"(19, 20)","[0, 500]",0.9166666666666666,0.0079012910525004,69.24768572432403
73,2,low,"(19, 20)","[0, 1000]",1.0,0.0104593038558959,59.378937648494095
74,2,low,"(19, 20)","[0, 1500]",1.0,0.0135567784309387,39.641723954485734
75,2,low,"(19, 20)","[0, 2000]",1.0,0.0157524744669596,29.765559392834803
76,2,low,"(20, 21)","[0, 500]",0.8333333333333334,0.0068087379137674,41.433095229450515
77,2,low,"(20, 21)","[0, 1000]",1.0,0.009330540895462,59.4453427979787
78,2,low,"(20, 21)","[0, 1500]",1.0,0.0142402052879333,39.62383232889459
79,2,low,"(20, 21)","[0, 2000]",1.0,0.0155713558197021,29.7682341172183
80,2,low,"(21, 22)","[0, 500]",0.7916666666666666,0.0076919396718343,30.92999278567064
81,2,low,"(21, 22)","[0, 1000]",1.0,0.0104179680347442,59.38136681862415
82,2,low,"(21, 22)","[0, 1500]",1.0,0.0146582921346028,39.612895074467396
83,2,low,"(21, 22)","[0, 2000]",1.0,0.0157396892706553,29.76574818631938
84,2,low,"(22, 23)","[0, 500]",0.75,0.0073082546393076,22.320379037598787
85,2,low,"(22, 23)","[0, 1000]",1.0,0.0100573400656382,59.402568171130675
86,2,low,"(22, 23)","[0, 1500]",1.0,0.0135976076126098,39.640654621962376
87,2,low,"(22, 23)","[0, 2000]",1.0,0.0145055949687957,29.783982804440605
88,2,low,"(23, 24)","[0, 500]",0.625,0.0077140827973683,5.384841423816161
89,2,low,"(23, 24)","[0, 1000]",1.0,0.0088597138722737,59.473085479549916
90,2,low,"(23, 24)","[0, 1500]",1.0,0.0130743185679117,39.654364140413506
91,2,low,"(23, 24)","[0, 2000]",1.0,0.0149438381195068,29.77750489363336
92,2,low,"(24, 25)","[0, 500]",0.625,0.0067904790242513,5.39465506488189
93,2,low,"(24, 25)","[0, 1000]",0.9583333333333334,0.0093518594900767,44.590062431495774
94,2,low,"(24, 25)","[0, 1500]",1.0,0.0157479047775268,39.58441889372525
95,2,low,"(24, 25)","[0, 2000]",1.0,0.0144344468911488,29.785034748883117
96,2,low,"(25, 26)","[0, 500]",0.5416666666666666,0.0069016516208648,0.5936266095792176
97,2,low,"(25, 26)","[0, 1000]",0.9166666666666666,0.0088871320088704,34.861173134154654
98,2,low,"(25, 26)","[0, 1500]",1.0,0.0143280426661173,39.62153398042101
99,2,low,"(25, 26)","[0, 2000]",1.0,0.0145437121391296,29.78341926186819
100,2,low,"(26, 27)","[0, 500]",0.625,0.007750928401947,5.384450665815096
101,2,low,"(26, 27)","[0, 1000]",0.875,0.0105044345060984,27.101448022254015
102,2,low,"(26, 27)","[0, 1500]",0.9166666666666666,0.0167658527692159,23.18814661970995
103,2,low,"(26, 27)","[0, 2000]",0.9583333333333334,0.0149170855681101,22.33693026495879
104,2,low,"(27, 28)","[0, 500]",0.6666666666666666,0.0081530610720316,9.647191628421036
105,2,low,"(27, 28)","[0, 1000]",0.875,0.0102599561214447,27.1080064512941
106,2,low,"(27, 28)","[0, 1500]",0.9166666666666666,0.0147224764029184,23.219427670542096
107,2,low,"(27, 28)","[0, 2000]",1.0,0.016251653432846,29.758190103821967
108,2,low,"(28, 29)","[0, 500]",0.625,0.0078671872615814,5.383218079599907
109,2,low,"(28, 29)","[0, 1000]",0.7916666666666666,0.0112161338329315,15.52873565404103
110,2,low,"(28, 29)","[0, 1500]",0.9166666666666666,0.015945017337799,23.200702254720888
111,2,low,"(28, 29)","[0, 2000]",0.9166666666666666,0.0168044567108154,17.43896829697707
112,2,low,"(29, 30)","[0, 500]",0.4583333333333333,0.0093602339426676,0.5907612899276103
113,2,low,"(29, 30)","[0, 1000]",0.75,0.0108899474143981,11.201330630910132
114,2,low,"(29, 30)","[0, 1500]",0.875,0.0154926975568135,18.070778864308945
115,2,low,"(29, 30)","[0, 2000]",0.9583333333333334,0.0165700813134511,22.318620536457853
116,2,low,"(30, 31)","[0, 500]",0.4583333333333333,0.009028822183609,0.5911459149817256
117,2,low,"(30, 31)","[0, 1000]",0.7083333333333334,0.0103911757469177,7.668447658552074
118,2,low,"(30, 31)","[0, 1500]",0.5833333333333334,0.0145548383394877,0.7975113019051298
119,2,low,"(30, 31)","[0, 2000]",0.7916666666666666,0.0177036424477895,7.782564149184411
120,2,low,"(31, 32)","[0, 500]",0.5833333333333334,0.0086392362912495,2.3747177070689114
121,2,low,"(31, 32)","[0, 1000]",0.7916666666666666,0.0104482074578603,15.540537273948148
122,2,low,"(31, 32)","[0, 1500]",0.8333333333333334,0.0154219567775726,13.856638810850255
123,2,low,"(31, 32)","[0, 2000]",0.7916666666666666,0.017186552286148,7.784559149274674
124,2,low,"(32, 33)","[0, 500]",0.625,0.008160928885142,5.380106318878454
125,2,low,"(32, 33)","[0, 1000]",0.625,0.0097440282503763,2.7075771165879914
126,2,low,"(32, 33)","[0, 1500]",0.7916666666666666,0.0167902211348215,10.352722355794514
127,2,low,"(32, 33)","[0, 2000]",0.875,0.0169152120749155,13.578227405925775
128,2,low,"(33, 34)","[0, 500]",0.375,0.0070331692695617,5.392072925802219
129,2,low,"(33, 34)","[0, 1000]",0.625,0.0097007850805918,2.707693075908502
130,2,low,"(33, 34)","[0, 1500]",0.75,0.0157551070054372,7.470410279416867
131,2,low,"(33, 34)","[0, 2000]",0.8333333333333334,0.0163444181283315,10.414220166111658
132,2,low,"(34, 35)","[0, 500]",0.625,0.0078547994295756,5.38334938957531
133,2,low,"(34, 35)","[0, 1000]",0.5833333333333334,0.0095078845818837,1.196498431937571
134,2,low,"(34, 35)","[0, 1500]",0.625,0.0157875219980875,1.8036563732219102
135,2,low,"(34, 35)","[0, 2000]",0.7083333333333334,0.0149530271689097,3.8453163629152023
136,2,low,"(35, 36)","[0, 500]",0.7083333333333334,0.0075097978115081,15.26696012429661
137,2,low,"(35, 36)","[0, 1000]",0.5833333333333334,0.0105953117211659,1.1952109681507248
138,2,low,"(35, 36)","[0, 1500]",0.5833333333333334,0.0145801901817321,0.7974979527402292
139,2,low,"(35, 36)","[0, 2000]",0.5833333333333334,0.0150322417418162,0.5994318978671717
140,2,low,"(36, 37)","[0, 500]",0.4166666666666667,0.0072783529758453,2.3810883982040254
141,2,low,"(36, 37)","[0, 1000]",0.7083333333333334,0.0102310379346211,7.669663230421913
142,2,low,"(36, 37)","[0, 1500]",0.5833333333333334,0.0145271321137746,0.7975258912958847
143,2,low,"(36, 37)","[0, 2000]",0.7916666666666666,0.0159866611162821,7.789192425855652
144,2,low,"(37, 38)","[0, 500]",0.625,0.0070269306500752,5.392139271570448
145,2,low,"(37, 38)","[0, 1000]",0.6666666666666666,0.010316789150238,4.852190926030076
146,2,low,"(37, 38)","[0, 1500]",0.8333333333333334,0.0150315860907236,13.860209182359121
147,2,low,"(37, 38)","[0, 2000]",0.7916666666666666,0.0146483580271402,7.7943666788432315
148,2,low,"(38, 39)","[0, 500]",0.4166666666666667,0.0072055359681447,2.3814302393708355
149,2,low,"(38, 39)","[0, 1000]",0.4166666666666667,0.0095180372397104,1.1964863988299612
150,2,low,"(38, 39)","[0, 1500]",0.5,0.0134769976139068,0.0
151,2,low,"(38, 39)","[0, 2000]",0.5416666666666666,0.0144254863262176,0.14937773121138423
152,2,low,"(39, 40)","[0, 500]",0.375,0.0073260962963104,5.388959575431128
153,2,low,"(39, 40)","[0, 1000]",0.5833333333333334,0.0104878942171732,1.1953380222002372
154,2,low,"(39, 40)","[0, 1500]",0.5416666666666666,0.0161937673886617,0.19846428293928228
155,2,low,"(39, 40)","[0, 2000]",0.5833333333333334,0.0150375068187713,0.599430331615893
156,2,low,"(40, 41)","[0, 500]",0.625,0.0076881845792134,5.385116115648982
157,2,low,"(40, 41)","[0, 1000]",0.625,0.0101892252763112,2.7063838695708644
158,2,low,"(40, 41)","[0, 1500]",0.625,0.0151117841402689,1.8044608015859689
159,2,low,"(40, 41)","[0, 2000]",0.625,0.016299436489741,1.3559294691178214
160,2,low,"(41, 42)","[0, 500]",0.5833333333333334,0.0076440672079722,2.379373027196228
161,2,low,"(41, 42)","[0, 1000]",0.625,0.0099638899167378,2.706987697082404
162,2,low,"(41, 42)","[0, 1500]",0.625,0.014583130677541,1.8050906345953253
163,2,low,"(41, 42)","[0, 2000]",0.5416666666666666,0.017065684000651,0.14918220622591416
164,2,low,"(42, 43)","[0, 500]",0.6666666666666666,0.0068848232428232,9.671329130290815
165,2,low,"(42, 43)","[0, 1000]",0.5,0.0096186101436614,0.0
166,2,low,"(42, 43)","[0, 1500]",0.5833333333333334,0.0134946902592976,0.7980699296169323
167,2,low,"(42, 43)","[0, 2000]",0.5416666666666666,0.0165811777114868,0.1492180489273867
168,2,low,"(43, 44)","[0, 500]",0.4166666666666667,0.0069178442160288,2.3827817756127008
169,2,low,"(43, 44)","[0, 1000]",0.6666666666666666,0.010145217180252,4.853015064917998
170,2,low,"(43, 44)","[0, 1500]",0.625,0.0132349431514739,1.8066988453282293
171,2,low,"(43, 44)","[0, 2000]",0.625,0.0151061515013376,1.3567324095880424
172,2,low,"(44, 45)","[0, 500]",0.625,0.0070287783940633,5.392119621220514
173,2,low,"(44, 45)","[0, 1000]",0.6666666666666666,0.0096499721209208,4.855395525275672
174,2,low,"(44, 45)","[0, 1500]",0.8333333333333334,0.0147325197855631,13.862945719334974
175,2,low,"(44, 45)","[0, 2000]",0.875,0.0163221855958302,13.582220938530972
176,2,low,"(45, 46)","[0, 500]",0.6666666666666666,0.0074659883975982,9.660253236301084
177,2,low,"(45, 46)","[0, 1000]",0.5,0.0096625487009684,0.0
178,2,low,"(45, 46)","[0, 1500]",0.5,0.0150389472643534,0.0
179,2,low,"(45, 46)","[0, 2000]",0.5833333333333334,0.0151152114073435,0.5994072170629224
180,2,low,"(46, 47)","[0, 500]",0.4166666666666667,0.0073254803816477,2.3808672097884362
181,2,low,"(46, 47)","[0, 1000]",0.3333333333333333,0.0092113117376963,4.857505955110391
182,2,low,"(46, 47)","[0, 1500]",0.375,0.0150700410207112,1.80451051798253
