Unnamed: 0,subject,depth,target,time_window,accuracy,time,itr
0,22,low,"(1, 16)","[0, 500]",0.0729166666666666,0.1244500279426574,0.12220426631429664
1,22,low,"(1, 16)","[0, 1000]",0.0625,0.1062411119540532,0.0
2,22,low,"(1, 16)","[0, 1500]",0.0625,0.1618307158350944,0.0
3,22,low,"(1, 16)","[0, 2000]",0.0729166666666666,0.1669644055267175,0.035215371936912786
4,22,low,"(2, 17)","[0, 500]",0.0625,0.1104103947679201,0.0
5,22,low,"(2, 17)","[0, 1000]",0.0625,0.103405217329661,0.0
6,22,low,"(2, 17)","[0, 1500]",0.0677083333333333,0.1591016786793867,0.01177665045953721
7,22,low,"(2, 17)","[0, 2000]",0.0729166666666666,0.1660411469638347,0.035230382221334865
8,22,low,"(3, 18)","[0, 500]",0.0625,0.0970215362807114,0.0
9,22,low,"(3, 18)","[0, 1000]",0.078125,0.099634430060784,0.1526375842978119
10,22,low,"(3, 18)","[0, 1500]",0.0729166666666666,0.1562594572703043,0.04607397541472301
11,22,low,"(3, 18)","[0, 2000]",0.109375,0.1634973026812076,0.6211519669730012
12,22,low,"(4, 19)","[0, 500]",0.0572916666666666,0.0897569706042607,0.03489542448685503
13,22,low,"(4, 19)","[0, 1000]",0.0833333333333333,0.0978102597097555,0.2659897015269601
14,22,low,"(4, 19)","[0, 1500]",0.09375,0.154091993967692,0.3814506948259449
15,22,low,"(4, 19)","[0, 2000]",0.1927083333333333,0.160070693741242,3.858122410829261
16,22,low,"(5, 20)","[0, 500]",0.0572916666666666,0.0862357951700687,0.03510502088557573
17,22,low,"(5, 20)","[0, 1000]",0.1041666666666666,0.0969466107587019,0.9851542367309037
18,22,low,"(5, 20)","[0, 1500]",0.1770833333333333,0.1512343138456344,4.044243674016581
19,22,low,"(5, 20)","[0, 2000]",0.2760416666666667,0.1564970724284649,8.94709078523732
20,22,low,"(6, 21)","[0, 500]",0.0729166666666666,0.0841909100612004,0.1306258899281403
21,22,low,"(6, 21)","[0, 1000]",0.1302083333333333,0.095713539669911,2.3989766935868775
22,22,low,"(6, 21)","[0, 1500]",0.2291666666666666,0.1494107358157634,7.707578561473876
23,22,low,"(6, 21)","[0, 2000]",0.3229166666666667,0.1554672991236051,12.447911150900094
24,22,low,"(7, 22)","[0, 500]",0.0677083333333333,0.082341406494379,0.03355189984558851
25,22,low,"(7, 22)","[0, 1000]",0.1875,0.0945616128544012,7.095395787106836
26,22,low,"(7, 22)","[0, 1500]",0.2604166666666667,0.1482898133496443,10.307205099646586
