Unnamed: 0,subject,depth,target,time_window,accuracy,time,itr
25,24,high,"(7, 8)","[0, 1000]",0.875,0.0131969451904296,27.029427534325038
26,24,high,"(7, 8)","[0, 1500]",1.0,0.0184806982676188,39.51317923793953
27,24,high,"(7, 8)","[0, 2000]",1.0,0.0210740466912587,29.687185434015745
28,24,high,"(8, 9)","[0, 500]",0.5833333333333334,0.0125261346499125,2.356708310603307
29,24,high,"(8, 9)","[0, 1000]",0.8333333333333334,0.0126263797283172,20.7368236908193
30,24,high,"(8, 9)","[0, 1500]",0.9583333333333334,0.0191335876782735,29.626797007888026
31,24,high,"(8, 9)","[0, 2000]",1.0,0.018580804268519,29.72385344848379
32,24,high,"(9, 10)","[0, 500]",0.5833333333333334,0.0112394988536834,2.3626394354097666
33,24,high,"(9, 10)","[0, 1000]",0.7083333333333334,0.0124334692955017,7.65297876933053
34,24,high,"(9, 10)","[0, 1500]",0.875,0.018299510081609,18.03737222213304
35,24,high,"(9, 10)","[0, 2000]",0.9583333333333334,0.018743485212326,22.294592036924964
36,24,high,"(10, 11)","[0, 500]",0.75,0.0109594066937764,22.160884767188985
37,24,high,"(10, 11)","[0, 1000]",0.8333333333333334,0.0132004221280415,20.725074962952473
38,24,high,"(10, 11)","[0, 1500]",0.875,0.0177849034468332,18.04348781295118
39,24,high,"(10, 11)","[0, 2000]",0.9166666666666666,0.0183739562829335,17.425407651688772
40,24,high,"(11, 12)","[0, 500]",0.5416666666666666,0.0101643204689025,0.5898301719046657
41,24,high,"(11, 12)","[0, 1000]",0.875,0.0111953318119049,27.0829310089402
42,24,high,"(11, 12)","[0, 1500]",0.7916666666666666,0.0155878861745198,10.36093530084126
43,24,high,"(11, 12)","[0, 2000]",0.9583333333333334,0.0171292722225189,22.312433342667756
44,24,high,"(12, 13)","[0, 500]",0.7083333333333334,0.0102749864260355,15.184228214175302
45,24,high,"(12, 13)","[0, 1000]",0.9583333333333334,0.0110386709372202,44.515668612643566
46,24,high,"(12, 13)","[0, 1500]",0.9583333333333334,0.0173914233843485,29.66081245511877
47,24,high,"(12, 13)","[0, 2000]",0.9583333333333334,0.0176373720169067,22.306814422761267
48,24,high,"(13, 14)","[0, 500]",0.6666666666666666,0.0108367502689361,9.596509949900392
