,subject,depth,target,time_window,accuracy
0,4,low,"(1, 4)","[0, 500]",0.3541666666666667
1,4,low,"(1, 4)","[0, 1000]",0.25
2,4,low,"(1, 4)","[0, 1500]",0.25
3,4,low,"(1, 4)","[0, 2000]",0.25
4,4,low,"(2, 5)","[0, 500]",0.2708333333333333
5,4,low,"(2, 5)","[0, 1000]",0.22916666666666666
6,4,low,"(2, 5)","[0, 1500]",0.2708333333333333
7,4,low,"(2, 5)","[0, 2000]",0.2916666666666667
8,4,low,"(3, 6)","[0, 500]",0.20833333333333334
9,4,low,"(3, 6)","[0, 1000]",0.2916666666666667
10,4,low,"(3, 6)","[0, 1500]",0.25
11,4,low,"(3, 6)","[0, 2000]",0.2708333333333333
12,4,low,"(4, 7)","[0, 500]",0.2708333333333333
13,4,low,"(4, 7)","[0, 1000]",0.4791666666666667
14,4,low,"(4, 7)","[0, 1500]",0.5625
15,4,low,"(4, 7)","[0, 2000]",0.5
16,4,low,"(5, 8)","[0, 500]",0.2708333333333333
17,4,low,"(5, 8)","[0, 1000]",0.5625
18,4,low,"(5, 8)","[0, 1500]",0.7291666666666666
19,4,low,"(5, 8)","[0, 2000]",0.75
20,4,low,"(6, 9)","[0, 500]",0.2708333333333333
21,4,low,"(6, 9)","[0, 1000]",0.5625
22,4,low,"(6, 9)","[0, 1500]",0.7916666666666666
23,4,low,"(6, 9)","[0, 2000]",0.8125
24,4,low,"(7, 10)","[0, 500]",0.3125
25,4,low,"(7, 10)","[0, 1000]",0.5416666666666666
26,4,low,"(7, 10)","[0, 1500]",0.8541666666666666
27,4,low,"(7, 10)","[0, 2000]",0.875
28,4,low,"(8, 11)","[0, 500]",0.25
29,4,low,"(8, 11)","[0, 1000]",0.4791666666666667
30,4,low,"(8, 11)","[0, 1500]",0.7916666666666666
31,4,low,"(8, 11)","[0, 2000]",0.8125
32,4,low,"(9, 12)","[0, 500]",0.2708333333333333
33,4,low,"(9, 12)","[0, 1000]",0.4375
34,4,low,"(9, 12)","[0, 1500]",0.75
35,4,low,"(9, 12)","[0, 2000]",0.7916666666666666
36,4,low,"(10, 13)","[0, 500]",0.25
37,4,low,"(10, 13)","[0, 1000]",0.3958333333333333
38,4,low,"(10, 13)","[0, 1500]",0.625
39,4,low,"(10, 13)","[0, 2000]",0.7083333333333334
40,4,low,"(11, 14)","[0, 500]",0.20833333333333334
41,4,low,"(11, 14)","[0, 1000]",0.4375
42,4,low,"(11, 14)","[0, 1500]",0.625
43,4,low,"(11, 14)","[0, 2000]",0.6458333333333334
44,4,low,"(12, 15)","[0, 500]",0.2916666666666667
45,4,low,"(12, 15)","[0, 1000]",0.375
46,4,low,"(12, 15)","[0, 1500]",0.5833333333333334
47,4,low,"(12, 15)","[0, 2000]",0.6458333333333334
48,4,low,"(13, 16)","[0, 500]",0.3333333333333333
49,4,low,"(13, 16)","[0, 1000]",0.5416666666666666
50,4,low,"(13, 16)","[0, 1500]",0.6041666666666666
51,4,low,"(13, 16)","[0, 2000]",0.75
52,4,low,"(14, 17)","[0, 500]",0.375
53,4,low,"(14, 17)","[0, 1000]",0.5833333333333334
54,4,low,"(14, 17)","[0, 1500]",0.6666666666666666
55,4,low,"(14, 17)","[0, 2000]",0.8125
56,4,low,"(15, 18)","[0, 500]",0.3333333333333333
57,4,low,"(15, 18)","[0, 1000]",0.5
58,4,low,"(15, 18)","[0, 1500]",0.6458333333333334
59,4,low,"(15, 18)","[0, 2000]",0.875
60,4,low,"(16, 19)","[0, 500]",0.4791666666666667
61,4,low,"(16, 19)","[0, 1000]",0.6041666666666666
62,4,low,"(16, 19)","[0, 1500]",0.7916666666666666
63,4,low,"(16, 19)","[0, 2000]",0.8958333333333334
64,4,low,"(17, 20)","[0, 500]",0.3958333333333333
65,4,low,"(17, 20)","[0, 1000]",0.7291666666666666
66,4,low,"(17, 20)","[0, 1500]",0.875
67,4,low,"(17, 20)","[0, 2000]",0.8958333333333334
68,4,low,"(18, 21)","[0, 500]",0.4791666666666667
69,4,low,"(18, 21)","[0, 1000]",0.75
70,4,low,"(18, 21)","[0, 1500]",0.9166666666666666
71,4,low,"(18, 21)","[0, 2000]",0.9166666666666666
72,4,low,"(19, 22)","[0, 500]",0.4583333333333333
73,4,low,"(19, 22)","[0, 1000]",0.7708333333333334
74,4,low,"(19, 22)","[0, 1500]",0.9791666666666666
75,4,low,"(19, 22)","[0, 2000]",0.9791666666666666
76,4,low,"(20, 23)","[0, 500]",0.4375
77,4,low,"(20, 23)","[0, 1000]",0.8541666666666666
78,4,low,"(20, 23)","[0, 1500]",0.9791666666666666
79,4,low,"(20, 23)","[0, 2000]",1.0
80,4,low,"(21, 24)","[0, 500]",0.3958333333333333
81,4,low,"(21, 24)","[0, 1000]",0.9375
82,4,low,"(21, 24)","[0, 1500]",0.9791666666666666
83,4,low,"(21, 24)","[0, 2000]",1.0
84,4,low,"(22, 25)","[0, 500]",0.3958333333333333
85,4,low,"(22, 25)","[0, 1000]",0.7708333333333334
86,4,low,"(22, 25)","[0, 1500]",0.7916666666666666
87,4,low,"(22, 25)","[0, 2000]",0.8125
88,4,low,"(23, 26)","[0, 500]",0.4166666666666667
89,4,low,"(23, 26)","[0, 1000]",0.7083333333333334
90,4,low,"(23, 26)","[0, 1500]",0.7916666666666666
91,4,low,"(23, 26)","[0, 2000]",0.7916666666666666
92,4,low,"(24, 27)","[0, 500]",0.4583333333333333
93,4,low,"(24, 27)","[0, 1000]",0.6666666666666666
94,4,low,"(24, 27)","[0, 1500]",0.8125
95,4,low,"(24, 27)","[0, 2000]",0.7916666666666666
96,4,low,"(25, 28)","[0, 500]",0.3541666666666667
97,4,low,"(25, 28)","[0, 1000]",0.5625
98,4,low,"(25, 28)","[0, 1500]",0.7291666666666666
99,4,low,"(25, 28)","[0, 2000]",0.7916666666666666
100,4,low,"(26, 29)","[0, 500]",0.3125
101,4,low,"(26, 29)","[0, 1000]",0.6041666666666666
102,4,low,"(26, 29)","[0, 1500]",0.7708333333333334
103,4,low,"(26, 29)","[0, 2000]",0.875
104,4,low,"(27, 30)","[0, 500]",0.4166666666666667
105,4,low,"(27, 30)","[0, 1000]",0.5
106,4,low,"(27, 30)","[0, 1500]",0.7291666666666666
107,4,low,"(27, 30)","[0, 2000]",0.8333333333333334
108,4,low,"(28, 31)","[0, 500]",0.3333333333333333
109,4,low,"(28, 31)","[0, 1000]",0.4583333333333333
110,4,low,"(28, 31)","[0, 1500]",0.6875
111,4,low,"(28, 31)","[0, 2000]",0.75
112,4,low,"(29, 32)","[0, 500]",0.2708333333333333
113,4,low,"(29, 32)","[0, 1000]",0.375
114,4,low,"(29, 32)","[0, 1500]",0.5833333333333334
115,4,low,"(29, 32)","[0, 2000]",0.7083333333333334
116,4,low,"(30, 33)","[0, 500]",0.3125
117,4,low,"(30, 33)","[0, 1000]",0.4583333333333333
118,4,low,"(30, 33)","[0, 1500]",0.5625
119,4,low,"(30, 33)","[0, 2000]",0.6875
120,4,low,"(31, 34)","[0, 500]",0.3125
121,4,low,"(31, 34)","[0, 1000]",0.3958333333333333
122,4,low,"(31, 34)","[0, 1500]",0.5208333333333334
123,4,low,"(31, 34)","[0, 2000]",0.6458333333333334
124,4,low,"(32, 35)","[0, 500]",0.2708333333333333
125,4,low,"(32, 35)","[0, 1000]",0.3333333333333333
126,4,low,"(32, 35)","[0, 1500]",0.4583333333333333
127,4,low,"(32, 35)","[0, 2000]",0.5416666666666666
128,4,low,"(33, 36)","[0, 500]",0.1875
129,4,low,"(33, 36)","[0, 1000]",0.3958333333333333
130,4,low,"(33, 36)","[0, 1500]",0.4583333333333333
131,4,low,"(33, 36)","[0, 2000]",0.5416666666666666
132,4,low,"(34, 37)","[0, 500]",0.2708333333333333
133,4,low,"(34, 37)","[0, 1000]",0.4583333333333333
134,4,low,"(34, 37)","[0, 1500]",0.3125
135,4,low,"(34, 37)","[0, 2000]",0.4166666666666667
136,4,low,"(35, 38)","[0, 500]",0.1875
137,4,low,"(35, 38)","[0, 1000]",0.3125
138,4,low,"(35, 38)","[0, 1500]",0.375
139,4,low,"(35, 38)","[0, 2000]",0.3125
140,4,low,"(36, 39)","[0, 500]",0.2708333333333333
141,4,low,"(36, 39)","[0, 1000]",0.3333333333333333
142,4,low,"(36, 39)","[0, 1500]",0.3333333333333333
143,4,low,"(36, 39)","[0, 2000]",0.3541666666666667
144,4,low,"(37, 40)","[0, 500]",0.1875
145,4,low,"(37, 40)","[0, 1000]",0.25
146,4,low,"(37, 40)","[0, 1500]",0.2916666666666667
147,4,low,"(37, 40)","[0, 2000]",0.25
148,4,low,"(38, 41)","[0, 500]",0.3541666666666667
149,4,low,"(38, 41)","[0, 1000]",0.2916666666666667
150,4,low,"(38, 41)","[0, 1500]",0.2708333333333333
151,4,low,"(38, 41)","[0, 2000]",0.2708333333333333
152,4,low,"(39, 42)","[0, 500]",0.3333333333333333
153,4,low,"(39, 42)","[0, 1000]",0.25
154,4,low,"(39, 42)","[0, 1500]",0.22916666666666666
155,4,low,"(39, 42)","[0, 2000]",0.1875
156,4,low,"(40, 43)","[0, 500]",0.2916666666666667
157,4,low,"(40, 43)","[0, 1000]",0.2916666666666667
158,4,low,"(40, 43)","[0, 1500]",0.25
159,4,low,"(40, 43)","[0, 2000]",0.22916666666666666
160,4,low,"(41, 44)","[0, 500]",0.25
161,4,low,"(41, 44)","[0, 1000]",0.2708333333333333
162,4,low,"(41, 44)","[0, 1500]",0.2708333333333333
163,4,low,"(41, 44)","[0, 2000]",0.2916666666666667
164,4,low,"(42, 45)","[0, 500]",0.20833333333333334
165,4,low,"(42, 45)","[0, 1000]",0.16666666666666666
166,4,low,"(42, 45)","[0, 1500]",0.25
167,4,low,"(42, 45)","[0, 2000]",0.3125
168,4,low,"(43, 46)","[0, 500]",0.1875
169,4,low,"(43, 46)","[0, 1000]",0.16666666666666666
170,4,low,"(43, 46)","[0, 1500]",0.1875
171,4,low,"(43, 46)","[0, 2000]",0.3125
172,4,low,"(44, 47)","[0, 500]",0.20833333333333334
173,4,low,"(44, 47)","[0, 1000]",0.22916666666666666
174,4,low,"(44, 47)","[0, 1500]",0.25
175,4,low,"(44, 47)","[0, 2000]",0.22916666666666666
176,4,low,"(45, 48)","[0, 500]",0.20833333333333334
177,4,low,"(45, 48)","[0, 1000]",0.20833333333333334
178,4,low,"(45, 48)","[0, 1500]",0.2916666666666667
179,4,low,"(45, 48)","[0, 2000]",0.22916666666666666
180,4,low,"(46, 49)","[0, 500]",0.16666666666666666
181,4,low,"(46, 49)","[0, 1000]",0.25
182,4,low,"(46, 49)","[0, 1500]",0.2708333333333333
183,4,low,"(46, 49)","[0, 2000]",0.22916666666666666
184,4,low,"(47, 50)","[0, 500]",0.125
185,4,low,"(47, 50)","[0, 1000]",0.20833333333333334
186,4,low,"(47, 50)","[0, 1500]",0.20833333333333334
187,4,low,"(47, 50)","[0, 2000]",0.20833333333333334
188,4,low,"(48, 51)","[0, 500]",0.2708333333333333
189,4,low,"(48, 51)","[0, 1000]",0.25
190,4,low,"(48, 51)","[0, 1500]",0.20833333333333334
191,4,low,"(48, 51)","[0, 2000]",0.1875
192,4,low,"(49, 52)","[0, 500]",0.2708333333333333
193,4,low,"(49, 52)","[0, 1000]",0.20833333333333334
194,4,low,"(49, 52)","[0, 1500]",0.14583333333333334
195,4,low,"(49, 52)","[0, 2000]",0.1875
196,4,low,"(50, 53)","[0, 500]",0.2708333333333333
197,4,low,"(50, 53)","[0, 1000]",0.20833333333333334
198,4,low,"(50, 53)","[0, 1500]",0.22916666666666666
199,4,low,"(50, 53)","[0, 2000]",0.25
200,4,low,"(51, 54)","[0, 500]",0.3958333333333333
201,4,low,"(51, 54)","[0, 1000]",0.2916666666666667
202,4,low,"(51, 54)","[0, 1500]",0.25
203,4,low,"(51, 54)","[0, 2000]",0.375
204,4,low,"(52, 55)","[0, 500]",0.2916666666666667
205,4,low,"(52, 55)","[0, 1000]",0.3541666666666667
206,4,low,"(52, 55)","[0, 1500]",0.22916666666666666
207,4,low,"(52, 55)","[0, 2000]",0.3541666666666667
208,4,low,"(53, 56)","[0, 500]",0.125
209,4,low,"(53, 56)","[0, 1000]",0.25
210,4,low,"(53, 56)","[0, 1500]",0.20833333333333334
211,4,low,"(53, 56)","[0, 2000]",0.2708333333333333
212,4,low,"(54, 57)","[0, 500]",0.16666666666666666
213,4,low,"(54, 57)","[0, 1000]",0.2708333333333333
214,4,low,"(54, 57)","[0, 1500]",0.16666666666666666
215,4,low,"(54, 57)","[0, 2000]",0.20833333333333334
216,4,low,"(55, 58)","[0, 500]",0.22916666666666666
217,4,low,"(55, 58)","[0, 1000]",0.25
218,4,low,"(55, 58)","[0, 1500]",0.22916666666666666
219,4,low,"(55, 58)","[0, 2000]",0.22916666666666666
220,4,low,"(56, 59)","[0, 500]",0.375
221,4,low,"(56, 59)","[0, 1000]",0.22916666666666666
222,4,low,"(56, 59)","[0, 1500]",0.20833333333333334
223,4,low,"(56, 59)","[0, 2000]",0.22916666666666666
224,4,low,"(57, 60)","[0, 500]",0.3333333333333333
225,4,low,"(57, 60)","[0, 1000]",0.25
226,4,low,"(57, 60)","[0, 1500]",0.375
227,4,low,"(57, 60)","[0, 2000]",0.22916666666666666
