Unnamed: 0,subject,depth,target,time_window,accuracy,time,itr
0,8,low,"(1, 2)","[0, 500]",0.4583333333333333,0.0527214109897613,0.5444158718276498
1,8,low,"(1, 2)","[0, 1000]",0.5,0.0218487381935119,0.0
2,8,low,"(1, 2)","[0, 1500]",0.5,0.0326558550198872,0.0
3,8,low,"(1, 2)","[0, 2000]",0.5,0.028526614109675,0.0
4,8,low,"(2, 3)","[0, 500]",0.4583333333333333,0.0459254880746205,0.5511930023693442
5,8,low,"(2, 3)","[0, 1000]",0.4583333333333333,0.0166811048984527,0.2959731496847824
6,8,low,"(2, 3)","[0, 1500]",0.5833333333333334,0.0248395105202992,0.7921322818548245
7,8,low,"(2, 3)","[0, 2000]",0.625,0.0237208108107248,1.350957014375339
8,8,low,"(3, 4)","[0, 500]",0.4583333333333333,0.0279675324757893,0.569940934494108
9,8,low,"(3, 4)","[0, 1000]",0.5833333333333334,0.0164035459359486,1.1883809395987248
10,8,low,"(3, 4)","[0, 1500]",0.75,0.0202113191286722,7.448512183781218
11,8,low,"(3, 4)","[0, 2000]",0.7083333333333334,0.0205595393975575,3.834646638617876
12,8,low,"(4, 5)","[0, 500]",0.4166666666666667,0.0177322328090667,2.333010240404099
13,8,low,"(4, 5)","[0, 1000]",0.7083333333333334,0.0133974949518839,7.64569863698549
14,8,low,"(4, 5)","[0, 1500]",0.875,0.0216660896937052,17.997465799830465
15,8,low,"(4, 5)","[0, 2000]",0.9166666666666666,0.0215927461783091,17.397662832076573
16,8,low,"(5, 6)","[0, 500]",0.7083333333333334,0.016385535399119,15.004548568327978
17,8,low,"(5, 6)","[0, 1000]",0.6666666666666666,0.0135674476623535,4.836629242619182
18,8,low,"(5, 6)","[0, 1500]",0.7083333333333334,0.0202526847521464,5.096607901824781
19,8,low,"(5, 6)","[0, 2000]",0.8333333333333334,0.0204127828280131,10.393249775279338
20,8,low,"(6, 7)","[0, 500]",0.5833333333333334,0.0110175112883249,2.363665773185872
21,8,low,"(6, 7)","[0, 1000]",0.875,0.0118221044540405,27.06615450232849
22,8,low,"(6, 7)","[0, 1500]",1.0,0.0192941228548685,39.492024024456484
23,8,low,"(6, 7)","[0, 2000]",1.0,0.0172208249568939,29.74389281415541
24,8,low,"(7, 8)","[0, 500]",0.625,0.0126510063807169,5.332984409420508
25,8,low,"(7, 8)","[0, 1000]",0.875,0.011851410071055,27.065370602291384
26,8,low,"(7, 8)","[0, 1500]",0.9583333333333334,0.0167350967725118,29.673647379677718
27,8,low,"(7, 8)","[0, 2000]",1.0,0.0172345638275146,29.743690236080226
28,8,low,"(8, 9)","[0, 500]",0.7916666666666666,0.0109432339668273,30.73317540478963
29,8,low,"(8, 9)","[0, 1000]",1.0,0.0111561218897501,59.3380178402777
30,8,low,"(8, 9)","[0, 1500]",1.0,0.0168592234452565,39.55541758431705
31,8,low,"(8, 9)","[0, 2000]",1.0,0.0179750422636667,29.732776046969793
32,8,low,"(9, 10)","[0, 500]",0.7916666666666666,0.0102005104223887,30.777915173767127
33,8,low,"(9, 10)","[0, 1000]",1.0,0.0118084649244944,59.299760853925505
34,8,low,"(9, 10)","[0, 1500]",1.0,0.0184101064999898,39.51501622858857
35,8,low,"(9, 10)","[0, 2000]",1.0,0.0178897082805633,29.734033408161732
36,8,low,"(10, 11)","[0, 500]",0.625,0.0098680059115091,5.362093312002388
37,8,low,"(10, 11)","[0, 1000]",1.0,0.0124498307704925,59.26219569254006
38,8,low,"(10, 11)","[0, 1500]",1.0,0.0179591576258341,39.526755182163846
39,8,low,"(10, 11)","[0, 2000]",1.0,0.0193889439105987,29.711958253969865
40,8,low,"(11, 12)","[0, 500]",0.7916666666666666,0.0094979206720987,30.82035744263421
41,8,low,"(11, 12)","[0, 1000]",0.9583333333333334,0.0118466814359029,44.480120610901
42,8,low,"(11, 12)","[0, 1500]",1.0,0.0159989297389984,39.57786435266804
43,8,low,"(11, 12)","[0, 2000]",1.0,0.0163276890913645,29.757067923338557
44,8,low,"(12, 13)","[0, 500]",0.5416666666666666,0.0095790127913157,0.5905076568862333
45,8,low,"(12, 13)","[0, 1000]",0.7916666666666666,0.0104790727297465,15.540062585336415
46,8,low,"(12, 13)","[0, 1500]",0.9166666666666666,0.0159083207448323,23.20126388942896
47,8,low,"(12, 13)","[0, 2000]",0.9583333333333334,0.0178516308466593,22.304445848243365
48,8,low,"(13, 14)","[0, 500]",0.625,0.0093929668267567,5.367093781316203
49,8,low,"(13, 14)","[0, 1000]",0.9583333333333334,0.0117695530255635,44.4835113840115
50,8,low,"(13, 14)","[0, 1500]",0.9583333333333334,0.0171473125616709,29.665584915426184
51,8,low,"(13, 14)","[0, 2000]",0.9583333333333334,0.0173894663651784,22.309555581798552
52,8,low,"(14, 15)","[0, 500]",0.625,0.0091101924578348,5.3700748187800755
53,8,low,"(14, 15)","[0, 1000]",1.0,0.0111430088678995,59.33878736616839
54,8,low,"(14, 15)","[0, 1500]",1.0,0.0152272085348765,39.598021776559825
55,8,low,"(14, 15)","[0, 2000]",1.0,0.0160084863503774,29.761779479717994
56,8,low,"(15, 16)","[0, 500]",0.7083333333333334,0.0078986585140228,15.255271334141959
57,8,low,"(15, 16)","[0, 1000]",1.0,0.0097830990950266,59.418700960406596
58,8,low,"(15, 16)","[0, 1500]",1.0,0.0154826740423838,39.5913467225307
59,8,low,"(15, 16)","[0, 2000]",1.0,0.0152885317802429,29.772411768253292
60,8,low,"(16, 17)","[0, 500]",0.7916666666666666,0.0083061854044596,30.892616462847393
61,8,low,"(16, 17)","[0, 1000]",1.0,0.0101889769236246,59.394827473489954
62,8,low,"(16, 17)","[0, 1500]",0.9583333333333334,0.0152643223603566,29.70244977450568
63,8,low,"(16, 17)","[0, 2000]",1.0,0.0154618124167124,29.769852065842336
64,8,low,"(17, 18)","[0, 500]",0.8333333333333334,0.0095246930917104,41.21224149840988
65,8,low,"(17, 18)","[0, 1000]",1.0,0.0096399883429209,59.42712322485904
66,8,low,"(17, 18)","[0, 1500]",1.0,0.0151466826597849,39.6001263024067
67,8,low,"(17, 18)","[0, 2000]",1.0,0.0156816641489664,29.766605048388126
68,8,low,"(18, 19)","[0, 500]",0.75,0.0082932909329732,22.2771237284444
69,8,low,"(18, 19)","[0, 1000]",0.9583333333333334,0.0100808044274648,44.55788312452867
70,8,low,"(18, 19)","[0, 1500]",0.9583333333333334,0.0149748226006825,29.708125678780238
71,8,low,"(18, 19)","[0, 2000]",1.0,0.0161485373973846,29.759712088204118
72,8,low,"(19, 20)","[0, 500]",0.6666666666666666,0.0084577500820159,9.64141063036187
73,8,low,"(19, 20)","[0, 1000]",0.9583333333333334,0.0105899671713511,44.5354336496967
