,subject,depth,target,time_window,accuracy
0,11,low,"(1, 2)","[0, 500]",0.5833333333333334
1,11,low,"(1, 2)","[0, 1000]",0.5
2,11,low,"(1, 2)","[0, 1500]",0.5
3,11,low,"(1, 2)","[0, 2000]",0.5
4,11,low,"(2, 3)","[0, 500]",0.5
5,11,low,"(2, 3)","[0, 1000]",0.4583333333333333
6,11,low,"(2, 3)","[0, 1500]",0.5
7,11,low,"(2, 3)","[0, 2000]",0.5416666666666666
8,11,low,"(3, 4)","[0, 500]",0.5416666666666666
9,11,low,"(3, 4)","[0, 1000]",0.5416666666666666
10,11,low,"(3, 4)","[0, 1500]",0.4166666666666667
11,11,low,"(3, 4)","[0, 2000]",0.6666666666666666
12,11,low,"(4, 5)","[0, 500]",0.5416666666666666
13,11,low,"(4, 5)","[0, 1000]",0.4583333333333333
14,11,low,"(4, 5)","[0, 1500]",0.625
15,11,low,"(4, 5)","[0, 2000]",0.625
16,11,low,"(5, 6)","[0, 500]",0.6666666666666666
17,11,low,"(5, 6)","[0, 1000]",0.75
18,11,low,"(5, 6)","[0, 1500]",0.9583333333333334
19,11,low,"(5, 6)","[0, 2000]",0.9583333333333334
20,11,low,"(6, 7)","[0, 500]",0.5416666666666666
21,11,low,"(6, 7)","[0, 1000]",0.9166666666666666
22,11,low,"(6, 7)","[0, 1500]",1.0
23,11,low,"(6, 7)","[0, 2000]",1.0
24,11,low,"(7, 8)","[0, 500]",0.75
25,11,low,"(7, 8)","[0, 1000]",1.0
26,11,low,"(7, 8)","[0, 1500]",1.0
27,11,low,"(7, 8)","[0, 2000]",1.0
28,11,low,"(8, 9)","[0, 500]",0.7916666666666666
29,11,low,"(8, 9)","[0, 1000]",1.0
30,11,low,"(8, 9)","[0, 1500]",1.0
31,11,low,"(8, 9)","[0, 2000]",1.0
32,11,low,"(9, 10)","[0, 500]",0.8333333333333334
33,11,low,"(9, 10)","[0, 1000]",0.9583333333333334
34,11,low,"(9, 10)","[0, 1500]",1.0
35,11,low,"(9, 10)","[0, 2000]",1.0
36,11,low,"(10, 11)","[0, 500]",0.625
37,11,low,"(10, 11)","[0, 1000]",0.7083333333333334
38,11,low,"(10, 11)","[0, 1500]",1.0
39,11,low,"(10, 11)","[0, 2000]",1.0
40,11,low,"(11, 12)","[0, 500]",0.7916666666666666
41,11,low,"(11, 12)","[0, 1000]",0.75
42,11,low,"(11, 12)","[0, 1500]",0.8333333333333334
43,11,low,"(11, 12)","[0, 2000]",0.9166666666666666
44,11,low,"(12, 13)","[0, 500]",0.7083333333333334
45,11,low,"(12, 13)","[0, 1000]",0.9166666666666666
46,11,low,"(12, 13)","[0, 1500]",0.9166666666666666
47,11,low,"(12, 13)","[0, 2000]",1.0
48,11,low,"(13, 14)","[0, 500]",0.875
49,11,low,"(13, 14)","[0, 1000]",0.9583333333333334
50,11,low,"(13, 14)","[0, 1500]",1.0
51,11,low,"(13, 14)","[0, 2000]",1.0
52,11,low,"(14, 15)","[0, 500]",0.7916666666666666
53,11,low,"(14, 15)","[0, 1000]",0.9583333333333334
54,11,low,"(14, 15)","[0, 1500]",1.0
55,11,low,"(14, 15)","[0, 2000]",1.0
56,11,low,"(15, 16)","[0, 500]",0.7083333333333334
57,11,low,"(15, 16)","[0, 1000]",1.0
58,11,low,"(15, 16)","[0, 1500]",1.0
59,11,low,"(15, 16)","[0, 2000]",1.0
60,11,low,"(16, 17)","[0, 500]",0.5833333333333334
61,11,low,"(16, 17)","[0, 1000]",0.9583333333333334
62,11,low,"(16, 17)","[0, 1500]",1.0
63,11,low,"(16, 17)","[0, 2000]",1.0
64,11,low,"(17, 18)","[0, 500]",0.7083333333333334
65,11,low,"(17, 18)","[0, 1000]",0.9583333333333334
66,11,low,"(17, 18)","[0, 1500]",0.9583333333333334
67,11,low,"(17, 18)","[0, 2000]",1.0
