,subject,depth,target,time_window,accuracy,time
0,21,low,"(1, 16)","[0, 500]",0.0625,0.03267688428362211
1,21,low,"(1, 16)","[0, 1000]",0.06770833333333333,0.036300008495648704
2,21,low,"(1, 16)","[0, 1500]",0.057291666666666664,0.05272639418641726
3,21,low,"(1, 16)","[0, 2000]",0.0625,0.05474363019069036
4,21,low,"(2, 17)","[0, 500]",0.0625,0.032985622684160866
5,21,low,"(2, 17)","[0, 1000]",0.07291666666666667,0.03609229500095049
6,21,low,"(2, 17)","[0, 1500]",0.06770833333333333,0.053412750363349915
7,21,low,"(2, 17)","[0, 2000]",0.078125,0.055020601799090706
8,21,low,"(3, 18)","[0, 500]",0.057291666666666664,0.03323226670424143
9,21,low,"(3, 18)","[0, 1000]",0.078125,0.036515784760316215
10,21,low,"(3, 18)","[0, 1500]",0.08333333333333333,0.053202152252197266
11,21,low,"(3, 18)","[0, 2000]",0.07291666666666667,0.05558770398298899
12,21,low,"(4, 19)","[0, 500]",0.057291666666666664,0.033570667107899986
13,21,low,"(4, 19)","[0, 1000]",0.078125,0.03700907900929451
14,21,low,"(4, 19)","[0, 1500]",0.08854166666666667,0.054558590054512024
15,21,low,"(4, 19)","[0, 2000]",0.10416666666666667,0.05555513749519984
16,21,low,"(5, 20)","[0, 500]",0.052083333333333336,0.03376985713839531
17,21,low,"(5, 20)","[0, 1000]",0.109375,0.03674076125025749
18,21,low,"(5, 20)","[0, 1500]",0.125,0.05332544073462486
19,21,low,"(5, 20)","[0, 2000]",0.15625,0.05573808401823044
20,21,low,"(6, 21)","[0, 500]",0.041666666666666664,0.03379975880185763
21,21,low,"(6, 21)","[0, 1000]",0.08854166666666667,0.0369247297445933
22,21,low,"(6, 21)","[0, 1500]",0.13020833333333334,0.05433987081050873
23,21,low,"(6, 21)","[0, 2000]",0.19791666666666666,0.05674014240503311
24,21,low,"(7, 22)","[0, 500]",0.041666666666666664,0.0343713623781999
25,21,low,"(7, 22)","[0, 1000]",0.10416666666666667,0.037644861886898674
26,21,low,"(7, 22)","[0, 1500]",0.14583333333333334,0.054898541420698166
27,21,low,"(7, 22)","[0, 2000]",0.21875,0.05722216392556826
28,21,low,"(8, 23)","[0, 500]",0.041666666666666664,0.034328315407037735
29,21,low,"(8, 23)","[0, 1000]",0.109375,0.0377332828938961
30,21,low,"(8, 23)","[0, 1500]",0.16145833333333334,0.056415386497974396
31,21,low,"(8, 23)","[0, 2000]",0.22916666666666666,0.057569471498330436
32,21,low,"(9, 24)","[0, 500]",0.06770833333333333,0.03474300727248192
33,21,low,"(9, 24)","[0, 1000]",0.11458333333333333,0.038291248182455696
34,21,low,"(9, 24)","[0, 1500]",0.17708333333333334,0.055376154681046806
35,21,low,"(9, 24)","[0, 2000]",0.24479166666666666,0.058022789657115936
36,21,low,"(10, 25)","[0, 500]",0.09375,0.035259511321783066
37,21,low,"(10, 25)","[0, 1000]",0.140625,0.03813266629974047
38,21,low,"(10, 25)","[0, 1500]",0.18229166666666666,0.05631711085637411
39,21,low,"(10, 25)","[0, 2000]",0.22916666666666666,0.058183824022610985
40,21,low,"(11, 26)","[0, 500]",0.09895833333333333,0.035788241773843765
41,21,low,"(11, 26)","[0, 1000]",0.203125,0.03796928251783053
42,21,low,"(11, 26)","[0, 1500]",0.28125,0.05615064253409704
43,21,low,"(11, 26)","[0, 2000]",0.328125,0.05898026873668035
44,21,low,"(12, 27)","[0, 500]",0.109375,0.03519263739387194
45,21,low,"(12, 27)","[0, 1000]",0.3020833333333333,0.03830366084973017
46,21,low,"(12, 27)","[0, 1500]",0.3541666666666667,0.05651092529296875
47,21,low,"(12, 27)","[0, 2000]",0.4375,0.05919597173730532
48,21,low,"(13, 28)","[0, 500]",0.13541666666666666,0.03520926088094711
49,21,low,"(13, 28)","[0, 1000]",0.4114583333333333,0.03804901118079821
50,21,low,"(13, 28)","[0, 1500]",0.5052083333333334,0.05659757678707441
51,21,low,"(13, 28)","[0, 2000]",0.546875,0.058243525524934135
52,21,low,"(14, 29)","[0, 500]",0.16145833333333334,0.03533519928654035
53,21,low,"(14, 29)","[0, 1000]",0.4322916666666667,0.03853587061166763
