,subject,depth,target,time_window,accuracy,time
0,23,low,"(1, 16)","[0, 500]",0.052083333333333336,0.03340149174133936
1,23,low,"(1, 16)","[0, 1000]",0.0625,0.037080700198809304
2,23,low,"(1, 16)","[0, 1500]",0.09375,0.05181290581822395
3,23,low,"(1, 16)","[0, 2000]",0.09895833333333333,0.05560155585408211
4,23,low,"(2, 17)","[0, 500]",0.0625,0.03335064649581909
5,23,low,"(2, 17)","[0, 1000]",0.07291666666666667,0.03643936663866043
6,23,low,"(2, 17)","[0, 1500]",0.11458333333333333,0.051931723952293396
7,23,low,"(2, 17)","[0, 2000]",0.15625,0.05540382986267408
8,23,low,"(3, 18)","[0, 500]",0.0625,0.03348533809185028
9,23,low,"(3, 18)","[0, 1000]",0.11979166666666667,0.03681357949972153
10,23,low,"(3, 18)","[0, 1500]",0.19791666666666666,0.05176664267977079
11,23,low,"(3, 18)","[0, 2000]",0.234375,0.0550537109375
12,23,low,"(4, 19)","[0, 500]",0.03125,0.033566715816656746
13,23,low,"(4, 19)","[0, 1000]",0.14583333333333334,0.03677646815776825
14,23,low,"(4, 19)","[0, 1500]",0.23958333333333334,0.052921634167432785
15,23,low,"(4, 19)","[0, 2000]",0.2760416666666667,0.055968827257553734
16,23,low,"(5, 20)","[0, 500]",0.057291666666666664,0.03424627333879471
17,23,low,"(5, 20)","[0, 1000]",0.22916666666666666,0.037457638730605446
18,23,low,"(5, 20)","[0, 1500]",0.3072916666666667,0.053250815719366074
19,23,low,"(5, 20)","[0, 2000]",0.3802083333333333,0.05638720219333967
20,23,low,"(6, 21)","[0, 500]",0.08854166666666667,0.034529498467842736
21,23,low,"(6, 21)","[0, 1000]",0.265625,0.03772652521729469
22,23,low,"(6, 21)","[0, 1500]",0.359375,0.053665430595477424
23,23,low,"(6, 21)","[0, 2000]",0.4270833333333333,0.05745052297910055
24,23,low,"(7, 22)","[0, 500]",0.125,0.03448756908377012
25,23,low,"(7, 22)","[0, 1000]",0.3072916666666667,0.037538230419158936
26,23,low,"(7, 22)","[0, 1500]",0.40625,0.05426246300339699
27,23,low,"(7, 22)","[0, 2000]",0.4322916666666667,0.05636067191759745
28,23,low,"(8, 23)","[0, 500]",0.13020833333333334,0.03445520500342051
29,23,low,"(8, 23)","[0, 1000]",0.2916666666666667,0.037857702622811
30,23,low,"(8, 23)","[0, 1500]",0.375,0.05364491790533066
31,23,low,"(8, 23)","[0, 2000]",0.4322916666666667,0.05639364570379257
32,23,low,"(9, 24)","[0, 500]",0.14583333333333334,0.034696647276480995
33,23,low,"(9, 24)","[0, 1000]",0.2708333333333333,0.03830169513821602
34,23,low,"(9, 24)","[0, 1500]",0.34375,0.05502277115980784
35,23,low,"(9, 24)","[0, 2000]",0.4114583333333333,0.05695653706789017
36,23,low,"(10, 25)","[0, 500]",0.13541666666666666,0.03446780393520991
37,23,low,"(10, 25)","[0, 1000]",0.234375,0.03739650174975395
38,23,low,"(10, 25)","[0, 1500]",0.3020833333333333,0.05442288393775622
39,23,low,"(10, 25)","[0, 2000]",0.3697916666666667,0.0575261265039444
40,23,low,"(11, 26)","[0, 500]",0.15625,0.03494656582673391
41,23,low,"(11, 26)","[0, 1000]",0.25,0.038056244452794395
42,23,low,"(11, 26)","[0, 1500]",0.3541666666666667,0.05423730363448461
43,23,low,"(11, 26)","[0, 2000]",0.390625,0.05698725705345472
44,23,low,"(12, 27)","[0, 500]",0.171875,0.03519547606507937
45,23,low,"(12, 27)","[0, 1000]",0.24479166666666666,0.03804175307353338
46,23,low,"(12, 27)","[0, 1500]",0.328125,0.05422753840684891
47,23,low,"(12, 27)","[0, 2000]",0.3697916666666667,0.05709991604089737
48,23,low,"(13, 28)","[0, 500]",0.15104166666666666,0.03511574367682139
49,23,low,"(13, 28)","[0, 1000]",0.22916666666666666,0.03818397472302119
50,23,low,"(13, 28)","[0, 1500]",0.3333333333333333,0.054945703595876694
51,23,low,"(13, 28)","[0, 2000]",0.375,0.057218952725330986
52,23,low,"(14, 29)","[0, 500]",0.14583333333333334,0.03511000797152519
53,23,low,"(14, 29)","[0, 1000]",0.21875,0.03830846771597862
54,23,low,"(14, 29)","[0, 1500]",0.3072916666666667,0.055497054010629654
55,23,low,"(14, 29)","[0, 2000]",0.3489583333333333,0.0574764646589756
56,23,low,"(15, 30)","[0, 500]",0.13541666666666666,0.03503317510088285
57,23,low,"(15, 30)","[0, 1000]",0.1875,0.038282886147499084
58,23,low,"(15, 30)","[0, 1500]",0.2708333333333333,0.05573637907703718
59,23,low,"(15, 30)","[0, 2000]",0.3333333333333333,0.05787959819038709
60,23,low,"(16, 31)","[0, 500]",0.13020833333333334,0.03527312601606051
61,23,low,"(16, 31)","[0, 1000]",0.15104166666666666,0.038630531479914985
62,23,low,"(16, 31)","[0, 1500]",0.22395833333333334,0.05612056329846382
63,23,low,"(16, 31)","[0, 2000]",0.3333333333333333,0.05821497490008672
64,23,low,"(17, 32)","[0, 500]",0.11458333333333333,0.03535799930493037
65,23,low,"(17, 32)","[0, 1000]",0.140625,0.0391367052992185
66,23,low,"(17, 32)","[0, 1500]",0.1875,0.05666080862283707
67,23,low,"(17, 32)","[0, 2000]",0.3072916666666667,0.058365789552529655
68,23,low,"(18, 33)","[0, 500]",0.109375,0.0359298400580883
69,23,low,"(18, 33)","[0, 1000]",0.13020833333333334,0.038874782621860504
70,23,low,"(18, 33)","[0, 1500]",0.18229166666666666,0.05691864093144735
71,23,low,"(18, 33)","[0, 2000]",0.2864583333333333,0.058695110181967415
72,23,low,"(19, 34)","[0, 500]",0.09895833333333333,0.03581753994027773
73,23,low,"(19, 34)","[0, 1000]",0.15104166666666666,0.03896538044015566
74,23,low,"(19, 34)","[0, 1500]",0.19270833333333334,0.05709828808903694
75,23,low,"(19, 34)","[0, 2000]",0.2760416666666667,0.0598772776623567
76,23,low,"(20, 35)","[0, 500]",0.08333333333333333,0.03553440421819687
77,23,low,"(20, 35)","[0, 1000]",0.13020833333333334,0.039271501203378044
