,subject,depth,target,time_window,accuracy
0,17,high,"(1, 2)","[0, 500]",0.5833333333333334
1,17,high,"(1, 2)","[0, 1000]",0.5
2,17,high,"(1, 2)","[0, 1500]",0.5
3,17,high,"(1, 2)","[0, 2000]",0.5
4,17,high,"(2, 3)","[0, 500]",0.5
5,17,high,"(2, 3)","[0, 1000]",0.5
6,17,high,"(2, 3)","[0, 1500]",0.5416666666666666
7,17,high,"(2, 3)","[0, 2000]",0.75
8,17,high,"(3, 4)","[0, 500]",0.5833333333333334
9,17,high,"(3, 4)","[0, 1000]",0.875
10,17,high,"(3, 4)","[0, 1500]",0.9583333333333334
11,17,high,"(3, 4)","[0, 2000]",1.0
12,17,high,"(4, 5)","[0, 500]",0.5833333333333334
13,17,high,"(4, 5)","[0, 1000]",1.0
14,17,high,"(4, 5)","[0, 1500]",1.0
15,17,high,"(4, 5)","[0, 2000]",1.0
16,17,high,"(5, 6)","[0, 500]",0.875
17,17,high,"(5, 6)","[0, 1000]",0.9583333333333334
18,17,high,"(5, 6)","[0, 1500]",1.0
19,17,high,"(5, 6)","[0, 2000]",1.0
20,17,high,"(6, 7)","[0, 500]",0.75
21,17,high,"(6, 7)","[0, 1000]",1.0
22,17,high,"(6, 7)","[0, 1500]",1.0
23,17,high,"(6, 7)","[0, 2000]",1.0
24,17,high,"(7, 8)","[0, 500]",0.875
25,17,high,"(7, 8)","[0, 1000]",1.0
26,17,high,"(7, 8)","[0, 1500]",1.0
27,17,high,"(7, 8)","[0, 2000]",1.0
28,17,high,"(8, 9)","[0, 500]",0.5833333333333334
29,17,high,"(8, 9)","[0, 1000]",1.0
30,17,high,"(8, 9)","[0, 1500]",1.0
31,17,high,"(8, 9)","[0, 2000]",1.0
32,17,high,"(9, 10)","[0, 500]",0.625
33,17,high,"(9, 10)","[0, 1000]",0.9583333333333334
34,17,high,"(9, 10)","[0, 1500]",1.0
35,17,high,"(9, 10)","[0, 2000]",1.0
36,17,high,"(10, 11)","[0, 500]",0.625
37,17,high,"(10, 11)","[0, 1000]",0.9166666666666666
38,17,high,"(10, 11)","[0, 1500]",0.9583333333333334
39,17,high,"(10, 11)","[0, 2000]",1.0
40,17,high,"(11, 12)","[0, 500]",0.5
41,17,high,"(11, 12)","[0, 1000]",0.7916666666666666
42,17,high,"(11, 12)","[0, 1500]",0.875
43,17,high,"(11, 12)","[0, 2000]",0.9166666666666666
44,17,high,"(12, 13)","[0, 500]",0.75
45,17,high,"(12, 13)","[0, 1000]",0.875
46,17,high,"(12, 13)","[0, 1500]",1.0
47,17,high,"(12, 13)","[0, 2000]",1.0
48,17,high,"(13, 14)","[0, 500]",0.75
49,17,high,"(13, 14)","[0, 1000]",1.0
50,17,high,"(13, 14)","[0, 1500]",1.0
51,17,high,"(13, 14)","[0, 2000]",1.0
52,17,high,"(14, 15)","[0, 500]",0.7916666666666666
53,17,high,"(14, 15)","[0, 1000]",0.9583333333333334
54,17,high,"(14, 15)","[0, 1500]",0.9583333333333334
55,17,high,"(14, 15)","[0, 2000]",1.0
56,17,high,"(15, 16)","[0, 500]",0.9583333333333334
57,17,high,"(15, 16)","[0, 1000]",1.0
58,17,high,"(15, 16)","[0, 1500]",1.0
59,17,high,"(15, 16)","[0, 2000]",1.0
60,17,high,"(16, 17)","[0, 500]",0.9166666666666666
61,17,high,"(16, 17)","[0, 1000]",1.0
62,17,high,"(16, 17)","[0, 1500]",1.0
63,17,high,"(16, 17)","[0, 2000]",1.0
64,17,high,"(17, 18)","[0, 500]",0.9583333333333334
65,17,high,"(17, 18)","[0, 1000]",1.0
66,17,high,"(17, 18)","[0, 1500]",1.0
67,17,high,"(17, 18)","[0, 2000]",1.0
68,17,high,"(18, 19)","[0, 500]",1.0
69,17,high,"(18, 19)","[0, 1000]",1.0
70,17,high,"(18, 19)","[0, 1500]",1.0
71,17,high,"(18, 19)","[0, 2000]",1.0
72,17,high,"(19, 20)","[0, 500]",0.9583333333333334
73,17,high,"(19, 20)","[0, 1000]",1.0
74,17,high,"(19, 20)","[0, 1500]",1.0
75,17,high,"(19, 20)","[0, 2000]",1.0
76,17,high,"(20, 21)","[0, 500]",0.8333333333333334
77,17,high,"(20, 21)","[0, 1000]",1.0
78,17,high,"(20, 21)","[0, 1500]",1.0
79,17,high,"(20, 21)","[0, 2000]",1.0
80,17,high,"(21, 22)","[0, 500]",0.9166666666666666
81,17,high,"(21, 22)","[0, 1000]",1.0
82,17,high,"(21, 22)","[0, 1500]",1.0
83,17,high,"(21, 22)","[0, 2000]",1.0
84,17,high,"(22, 23)","[0, 500]",0.9166666666666666
85,17,high,"(22, 23)","[0, 1000]",1.0
86,17,high,"(22, 23)","[0, 1500]",1.0
87,17,high,"(22, 23)","[0, 2000]",1.0
88,17,high,"(23, 24)","[0, 500]",0.9583333333333334
89,17,high,"(23, 24)","[0, 1000]",1.0
90,17,high,"(23, 24)","[0, 1500]",1.0
91,17,high,"(23, 24)","[0, 2000]",1.0
92,17,high,"(24, 25)","[0, 500]",0.9166666666666666
93,17,high,"(24, 25)","[0, 1000]",1.0
94,17,high,"(24, 25)","[0, 1500]",1.0
95,17,high,"(24, 25)","[0, 2000]",1.0
96,17,high,"(25, 26)","[0, 500]",0.9166666666666666
97,17,high,"(25, 26)","[0, 1000]",1.0
98,17,high,"(25, 26)","[0, 1500]",1.0
99,17,high,"(25, 26)","[0, 2000]",1.0
100,17,high,"(26, 27)","[0, 500]",0.7083333333333334
101,17,high,"(26, 27)","[0, 1000]",1.0
