Unnamed: 0,subject,depth,target,time_window,accuracy,time,itr
0,9,low,"(1, 8)","[0, 500]",0.1458333333333333,0.0923001815875371,0.27723443460563063
1,9,low,"(1, 8)","[0, 1000]",0.125,0.0632161622246106,0.0
2,9,low,"(1, 8)","[0, 1500]",0.125,0.0902341306209564,0.0
3,9,low,"(1, 8)","[0, 2000]",0.1145833333333333,0.0915269628167152,0.021039930944994123
4,9,low,"(2, 9)","[0, 500]",0.125,0.0774413347244262,0.0
5,9,low,"(2, 9)","[0, 1000]",0.1145833333333333,0.057636817296346,0.041607461226386915
6,9,low,"(2, 9)","[0, 1500]",0.125,0.0844658762216568,0.0
7,9,low,"(2, 9)","[0, 2000]",0.1354166666666666,0.0853094011545181,0.02012007713930108
8,9,low,"(3, 10)","[0, 500]",0.1354166666666666,0.0588007494807243,0.07508326724602205
9,9,low,"(3, 10)","[0, 1000]",0.1875,0.0524003182848294,1.3005620754787894
10,9,low,"(3, 10)","[0, 1500]",0.21875,0.0788702840606371,1.8573598514401193
11,9,low,"(3, 10)","[0, 2000]",0.3125,0.0807169253627459,5.014769373893233
12,9,low,"(4, 11)","[0, 500]",0.1145833333333333,0.0512736116846402,0.07982530259843214
13,9,low,"(4, 11)","[0, 1000]",0.40625,0.0498562306165695,20.496727142512707
14,9,low,"(4, 11)","[0, 1500]",0.5,0.0774395242333412,22.68191698547757
15,9,low,"(4, 11)","[0, 2000]",0.6041666666666666,0.0783535614609718,26.56798203127051
16,9,low,"(5, 12)","[0, 500]",0.15625,0.0472181315223375,0.6613683585768269
17,9,low,"(5, 12)","[0, 1000]",0.4270833333333333,0.0490234767397244,23.27968374706659
18,9,low,"(5, 12)","[0, 1500]",0.625,0.0749968066811561,37.821330065887
19,9,low,"(5, 12)","[0, 2000]",0.71875,0.0768967866897583,39.09533683375314
20,9,low,"(6, 13)","[0, 500]",0.1875,0.0429941887656847,2.5206751204729536
21,9,low,"(6, 13)","[0, 1000]",0.5625,0.0471816236774126,44.86802263935822
22,9,low,"(6, 13)","[0, 1500]",0.78125,0.0731385226051012,62.09291648006426
23,9,low,"(6, 13)","[0, 2000]",0.8125,0.0760545606414477,51.36884335370876
24,9,low,"(7, 14)","[0, 500]",0.28125,0.0422951380411783,13.83732254666416
25,9,low,"(7, 14)","[0, 1000]",0.6666666666666666,0.0471545507510503,65.6590294778028
26,9,low,"(7, 14)","[0, 1500]",0.7916666666666666,0.0722285360097885,63.99258708343817
27,9,low,"(7, 14)","[0, 2000]",0.8229166666666666,0.0761759355664253,52.86284710233627
28,9,low,"(8, 15)","[0, 500]",0.375,0.0398661394913991,32.33792410798177
29,9,low,"(8, 15)","[0, 1000]",0.7083333333333334,0.047040323416392,75.08729029016041
30,9,low,"(8, 15)","[0, 1500]",0.90625,0.0702679033080736,87.42250857375619
31,9,low,"(8, 15)","[0, 2000]",0.9375,0.0735069215297699,71.97227725440247
32,9,low,"(9, 16)","[0, 500]",0.4166666666666667,0.0384940629204114,42.61969427192507
33,9,low,"(9, 16)","[0, 1000]",0.6770833333333334,0.0459609081347783,68.02930559496814
34,9,low,"(9, 16)","[0, 1500]",0.8645833333333334,0.0695916985472043,78.27751289698585
35,9,low,"(9, 16)","[0, 2000]",0.8854166666666666,0.0726131026943524,62.66686752061194
36,9,low,"(10, 17)","[0, 500]",0.3645833333333333,0.0368031412363052,30.149358862295085
37,9,low,"(10, 17)","[0, 1000]",0.6354166666666666,0.0455173725883166,59.113114375109085
38,9,low,"(10, 17)","[0, 1500]",0.8020833333333334,0.0680231799681981,66.0692731292929
39,9,low,"(10, 17)","[0, 2000]",0.8333333333333334,0.0704943041006724,54.540167174993606
40,9,low,"(11, 18)","[0, 500]",0.3854166666666667,0.0371215666333834,34.94946004291969
41,9,low,"(11, 18)","[0, 1000]",0.6458333333333334,0.0445702522993087,61.34546731157191
42,9,low,"(11, 18)","[0, 1500]",0.78125,0.0680638303359349,62.29386649060296
43,9,low,"(11, 18)","[0, 2000]",0.8020833333333334,0.0709691867232322,50.023994762712185
44,9,low,"(12, 19)","[0, 500]",0.40625,0.0364338184396425,40.114205999180335
45,9,low,"(12, 19)","[0, 1000]",0.8125,0.044739286104838,102.07764074513955
46,9,low,"(12, 19)","[0, 1500]",0.8645833333333334,0.0669890070954958,78.40752798500208
47,9,low,"(12, 19)","[0, 2000]",0.875,0.0711306110024452,60.996139413654305
48,9,low,"(13, 20)","[0, 500]",0.5208333333333334,0.0368196989099184,73.32761482972191
49,9,low,"(13, 20)","[0, 1000]",0.8229166666666666,0.0442799354592959,105.098802833099
50,9,low,"(13, 20)","[0, 1500]",0.84375,0.0663045446077982,74.16520860660103
51,9,low,"(13, 20)","[0, 2000]",0.9270833333333334,0.0699264953533808,70.10631651896522
52,9,low,"(14, 21)","[0, 500]",0.5416666666666666,0.0371281330784161,80.23904781387732
53,9,low,"(14, 21)","[0, 1000]",0.8333333333333334,0.0448793719212214,108.07477735242024
54,9,low,"(14, 21)","[0, 1500]",0.875,0.0669104109207789,80.62424667812057
55,9,low,"(14, 21)","[0, 2000]",0.9583333333333334,0.071118876338005,76.28179962523852
56,9,low,"(15, 22)","[0, 500]",0.5208333333333334,0.0362989703814188,73.39881351380946
57,9,low,"(15, 22)","[0, 1000]",0.8229166666666666,0.0454645206530888,104.97971846126048
58,9,low,"(15, 22)","[0, 1500]",0.8645833333333334,0.0670141279697418,78.40627103038037
59,9,low,"(15, 22)","[0, 2000]",0.96875,0.0711358785629272,78.55538197487503
60,9,low,"(16, 23)","[0, 500]",0.5104166666666666,0.0368123625715573,69.95504990878734
61,9,low,"(16, 23)","[0, 1000]",0.78125,0.044468435148398,93.52198267419325
62,9,low,"(16, 23)","[0, 1500]",0.8645833333333334,0.0664410665631294,78.43495491062521
63,9,low,"(16, 23)","[0, 2000]",0.9791666666666666,0.0713622147838274,80.97335663609371
64,9,low,"(17, 24)","[0, 500]",0.46875,0.0360012327631314,57.247513718533135
65,9,low,"(17, 24)","[0, 1000]",0.7916666666666666,0.0448191737135251,96.29510448978324
66,9,low,"(17, 24)","[0, 1500]",0.8541666666666666,0.0662437876065572,76.2823713261043
67,9,low,"(17, 24)","[0, 2000]",0.9270833333333334,0.071288672586282,70.06021129495245
68,9,low,"(18, 25)","[0, 500]",0.4375,0.0360854789614677,48.36879173350971
69,9,low,"(18, 25)","[0, 1000]",0.71875,0.0440398330489794,77.77191719539155
70,9,low,"(18, 25)","[0, 1500]",0.7916666666666666,0.0664762606223424,64.22757499414728
71,9,low,"(18, 25)","[0, 2000]",0.8645833333333334,0.0702793871363004,59.346451106766374
72,9,low,"(19, 26)","[0, 500]",0.3854166666666667,0.0358366668224334,35.03326646637379
73,9,low,"(19, 26)","[0, 1000]",0.6354166666666666,0.0442942380905151,59.18235088607259
74,9,low,"(19, 26)","[0, 1500]",0.7395833333333334,0.0681579361359278,55.15554823894584
75,9,low,"(19, 26)","[0, 2000]",0.8333333333333334,0.0715993965665499,54.511072781583046
76,9,low,"(20, 27)","[0, 500]",0.34375,0.0355904251337051,25.68880053607205
77,9,low,"(20, 27)","[0, 1000]",0.5625,0.0445216074585914,44.982285156356326
78,9,low,"(20, 27)","[0, 1500]",0.6979166666666666,0.0678671672940254,48.52919556499279
