Unnamed: 0,subject,depth,target,time_window,accuracy,itr
0,6,high,"(1, 2)","[0, 500]",0.5833333333333334,2.279008681001582
1,6,high,"(1, 2)","[0, 1000]",0.5,0.0
2,6,high,"(1, 2)","[0, 1500]",0.5,0.0
3,6,high,"(1, 2)","[0, 2000]",0.5,0.0
4,6,high,"(2, 3)","[0, 500]",0.4583333333333333,0.5677552997015088
5,6,high,"(2, 3)","[0, 1000]",0.5,0.0
6,6,high,"(2, 3)","[0, 1500]",0.5416666666666666,0.1966734044717645
7,6,high,"(2, 3)","[0, 2000]",0.5416666666666666,0.14823167923241365
8,6,high,"(3, 4)","[0, 500]",0.5,0.0
9,6,high,"(3, 4)","[0, 1000]",0.5416666666666666,0.29214593091436863
10,6,high,"(3, 4)","[0, 1500]",0.75,7.400857864347732
11,6,high,"(3, 4)","[0, 2000]",0.7916666666666666,7.735422675563039
12,6,high,"(4, 5)","[0, 500]",0.5416666666666666,0.5677552997015088
13,6,high,"(4, 5)","[0, 1000]",0.75,10.993507313060222
14,6,high,"(4, 5)","[0, 1500]",0.875,17.89943360001583
15,6,high,"(4, 5)","[0, 2000]",1.0,29.55665024630542
16,6,high,"(5, 6)","[0, 500]",0.625,5.158414763211503
17,6,high,"(5, 6)","[0, 1000]",0.875,26.588479036916713
18,6,high,"(5, 6)","[0, 1500]",0.9583333333333334,29.416380673208415
19,6,high,"(5, 6)","[0, 2000]",0.9583333333333334,22.17096671429009
20,6,high,"(6, 7)","[0, 500]",0.5833333333333334,2.279008681001582
21,6,high,"(6, 7)","[0, 1000]",0.7916666666666666,15.245541778051425
22,6,high,"(6, 7)","[0, 1500]",0.9166666666666666,22.987574497896716
23,6,high,"(6, 7)","[0, 2000]",0.9166666666666666,17.325610335853188
24,6,high,"(7, 8)","[0, 500]",0.5,0.0
25,6,high,"(7, 8)","[0, 1000]",0.9166666666666666,34.146591244448516
26,6,high,"(7, 8)","[0, 1500]",1.0,39.21568627450981
27,6,high,"(7, 8)","[0, 2000]",1.0,29.55665024630542
28,6,high,"(8, 9)","[0, 500]",0.6666666666666666,9.249528220246464
29,6,high,"(8, 9)","[0, 1000]",0.9583333333333334,43.69617711651347
30,6,high,"(8, 9)","[0, 1500]",0.9583333333333334,29.416380673208415
31,6,high,"(8, 9)","[0, 2000]",1.0,29.55665024630542
32,6,high,"(9, 10)","[0, 500]",0.6666666666666666,9.249528220246464
33,6,high,"(9, 10)","[0, 1000]",0.8333333333333334,20.387043399124998
34,6,high,"(9, 10)","[0, 1500]",0.875,17.89943360001583
35,6,high,"(9, 10)","[0, 2000]",0.9583333333333334,22.17096671429009
36,6,high,"(10, 11)","[0, 500]",0.5833333333333334,2.279008681001582
37,6,high,"(10, 11)","[0, 1000]",0.75,10.993507313060222
38,6,high,"(10, 11)","[0, 1500]",0.9166666666666666,22.987574497896716
39,6,high,"(10, 11)","[0, 2000]",0.9166666666666666,17.325610335853188
40,6,high,"(11, 12)","[0, 500]",0.5,0.0
41,6,high,"(11, 12)","[0, 1000]",0.7083333333333334,7.522458102794299
42,6,high,"(11, 12)","[0, 1500]",0.75,7.400857864347732
43,6,high,"(11, 12)","[0, 2000]",0.8333333333333334,10.344164877388547
44,6,high,"(12, 13)","[0, 500]",0.4583333333333333,0.5677552997015088
45,6,high,"(12, 13)","[0, 1000]",0.625,2.6543299267010645
46,6,high,"(12, 13)","[0, 1500]",0.7916666666666666,10.263338582609785
47,6,high,"(12, 13)","[0, 2000]",0.875,13.490706112327201
48,6,high,"(13, 14)","[0, 500]",0.5,0.0
49,6,high,"(13, 14)","[0, 1000]",0.7083333333333334,7.522458102794299
50,6,high,"(13, 14)","[0, 1500]",0.75,7.400857864347732
51,6,high,"(13, 14)","[0, 2000]",0.875,13.490706112327201
52,6,high,"(14, 15)","[0, 500]",0.5416666666666666,0.5677552997015088
53,6,high,"(14, 15)","[0, 1000]",0.7083333333333334,7.522458102794299
54,6,high,"(14, 15)","[0, 1500]",0.9166666666666666,22.987574497896716
55,6,high,"(14, 15)","[0, 2000]",1.0,29.55665024630542
56,6,high,"(15, 16)","[0, 500]",0.625,5.158414763211503
57,6,high,"(15, 16)","[0, 1000]",0.7916666666666666,15.245541778051425
58,6,high,"(15, 16)","[0, 1500]",0.9583333333333334,29.416380673208415
59,6,high,"(15, 16)","[0, 2000]",0.9166666666666666,17.325610335853188
60,6,high,"(16, 17)","[0, 500]",0.5416666666666666,0.5677552997015088
61,6,high,"(16, 17)","[0, 1000]",0.875,26.588479036916713
62,6,high,"(16, 17)","[0, 1500]",0.9583333333333334,29.416380673208415
63,6,high,"(16, 17)","[0, 2000]",1.0,29.55665024630542
64,6,high,"(17, 18)","[0, 500]",0.7916666666666666,29.628128361118808
65,6,high,"(17, 18)","[0, 1000]",0.875,26.588479036916713
66,6,high,"(17, 18)","[0, 1500]",0.9583333333333334,29.416380673208415
67,6,high,"(17, 18)","[0, 2000]",1.0,29.55665024630542
68,6,high,"(18, 19)","[0, 500]",0.8333333333333334,39.62010320962028
69,6,high,"(18, 19)","[0, 1000]",0.9583333333333334,43.69617711651347
70,6,high,"(18, 19)","[0, 1500]",1.0,39.21568627450981
71,6,high,"(18, 19)","[0, 2000]",1.0,29.55665024630542
72,6,high,"(19, 20)","[0, 500]",0.75,21.36474062726798
73,6,high,"(19, 20)","[0, 1000]",0.7916666666666666,15.245541778051425
74,6,high,"(19, 20)","[0, 1500]",0.9583333333333334,29.416380673208415
75,6,high,"(19, 20)","[0, 2000]",0.9583333333333334,22.17096671429009
76,6,high,"(20, 21)","[0, 500]",0.6666666666666666,9.249528220246464
77,6,high,"(20, 21)","[0, 1000]",0.875,26.588479036916713
78,6,high,"(20, 21)","[0, 1500]",0.9583333333333334,29.416380673208415
79,6,high,"(20, 21)","[0, 2000]",0.9583333333333334,22.17096671429009
80,6,high,"(21, 22)","[0, 500]",0.8333333333333334,39.62010320962028
81,6,high,"(21, 22)","[0, 1000]",0.875,26.588479036916713
82,6,high,"(21, 22)","[0, 1500]",0.9166666666666666,22.987574497896716
83,6,high,"(21, 22)","[0, 2000]",1.0,29.55665024630542
84,6,high,"(22, 23)","[0, 500]",0.7083333333333334,14.61911669033609
85,6,high,"(22, 23)","[0, 1000]",0.9166666666666666,34.146591244448516
86,6,high,"(22, 23)","[0, 1500]",1.0,39.21568627450981
87,6,high,"(22, 23)","[0, 2000]",1.0,29.55665024630542
88,6,high,"(23, 24)","[0, 500]",0.75,21.36474062726798
89,6,high,"(23, 24)","[0, 1000]",0.875,26.588479036916713
90,6,high,"(23, 24)","[0, 1500]",1.0,39.21568627450981
91,6,high,"(23, 24)","[0, 2000]",0.9583333333333334,22.17096671429009
92,6,high,"(24, 25)","[0, 500]",0.5416666666666666,0.5677552997015088
93,6,high,"(24, 25)","[0, 1000]",0.875,26.588479036916713
94,6,high,"(24, 25)","[0, 1500]",0.9583333333333334,29.416380673208415
95,6,high,"(24, 25)","[0, 2000]",1.0,29.55665024630542
96,6,high,"(25, 26)","[0, 500]",0.5833333333333334,2.279008681001582
97,6,high,"(25, 26)","[0, 1000]",0.9166666666666666,34.146591244448516
98,6,high,"(25, 26)","[0, 1500]",1.0,39.21568627450981
99,6,high,"(25, 26)","[0, 2000]",1.0,29.55665024630542
100,6,high,"(26, 27)","[0, 500]",0.7083333333333334,14.61911669033609
101,6,high,"(26, 27)","[0, 1000]",1.0,58.252427184466015
102,6,high,"(26, 27)","[0, 1500]",1.0,39.21568627450981
103,6,high,"(26, 27)","[0, 2000]",1.0,29.55665024630542
104,6,high,"(27, 28)","[0, 500]",0.5416666666666666,0.5677552997015088
105,6,high,"(27, 28)","[0, 1000]",0.9583333333333334,43.69617711651347
106,6,high,"(27, 28)","[0, 1500]",1.0,39.21568627450981
107,6,high,"(27, 28)","[0, 2000]",1.0,29.55665024630542
108,6,high,"(28, 29)","[0, 500]",0.75,21.36474062726798
109,6,high,"(28, 29)","[0, 1000]",1.0,58.252427184466015
110,6,high,"(28, 29)","[0, 1500]",1.0,39.21568627450981
111,6,high,"(28, 29)","[0, 2000]",1.0,29.55665024630542
112,6,high,"(29, 30)","[0, 500]",0.75,21.36474062726798
113,6,high,"(29, 30)","[0, 1000]",0.9583333333333334,43.69617711651347
114,6,high,"(29, 30)","[0, 1500]",1.0,39.21568627450981
115,6,high,"(29, 30)","[0, 2000]",1.0,29.55665024630542
116,6,high,"(30, 31)","[0, 500]",0.7083333333333334,14.61911669033609
117,6,high,"(30, 31)","[0, 1000]",0.9166666666666666,34.146591244448516
118,6,high,"(30, 31)","[0, 1500]",1.0,39.21568627450981
119,6,high,"(30, 31)","[0, 2000]",1.0,29.55665024630542
120,6,high,"(31, 32)","[0, 500]",0.6666666666666666,9.249528220246464
121,6,high,"(31, 32)","[0, 1000]",0.875,26.588479036916713
122,6,high,"(31, 32)","[0, 1500]",0.9166666666666666,22.987574497896716
123,6,high,"(31, 32)","[0, 2000]",0.9583333333333334,22.17096671429009
124,6,high,"(32, 33)","[0, 500]",0.6666666666666666,9.249528220246464
125,6,high,"(32, 33)","[0, 1000]",0.9583333333333334,43.69617711651347
126,6,high,"(32, 33)","[0, 1500]",1.0,39.21568627450981
127,6,high,"(32, 33)","[0, 2000]",0.9583333333333334,22.17096671429009
128,6,high,"(33, 34)","[0, 500]",0.7083333333333334,14.61911669033609
129,6,high,"(33, 34)","[0, 1000]",0.9583333333333334,43.69617711651347
130,6,high,"(33, 34)","[0, 1500]",1.0,39.21568627450981
131,6,high,"(33, 34)","[0, 2000]",1.0,29.55665024630542
132,6,high,"(34, 35)","[0, 500]",0.5833333333333334,2.279008681001582
133,6,high,"(34, 35)","[0, 1000]",1.0,58.252427184466015
134,6,high,"(34, 35)","[0, 1500]",1.0,39.21568627450981
135,6,high,"(34, 35)","[0, 2000]",1.0,29.55665024630542
136,6,high,"(35, 36)","[0, 500]",0.6666666666666666,9.249528220246464
137,6,high,"(35, 36)","[0, 1000]",1.0,58.252427184466015
138,6,high,"(35, 36)","[0, 1500]",1.0,39.21568627450981
139,6,high,"(35, 36)","[0, 2000]",1.0,29.55665024630542
140,6,high,"(36, 37)","[0, 500]",0.5416666666666666,0.5677552997015088
141,6,high,"(36, 37)","[0, 1000]",0.8333333333333334,20.387043399124998
142,6,high,"(36, 37)","[0, 1500]",0.9583333333333334,29.416380673208415
143,6,high,"(36, 37)","[0, 2000]",0.9166666666666666,17.325610335853188
144,6,high,"(37, 38)","[0, 500]",0.75,21.36474062726798
145,6,high,"(37, 38)","[0, 1000]",1.0,58.252427184466015
146,6,high,"(37, 38)","[0, 1500]",1.0,39.21568627450981
147,6,high,"(37, 38)","[0, 2000]",1.0,29.55665024630542
148,6,high,"(38, 39)","[0, 500]",0.75,21.36474062726798
149,6,high,"(38, 39)","[0, 1000]",0.9166666666666666,34.146591244448516
150,6,high,"(38, 39)","[0, 1500]",1.0,39.21568627450981
151,6,high,"(38, 39)","[0, 2000]",1.0,29.55665024630542
152,6,high,"(39, 40)","[0, 500]",0.625,5.158414763211503
153,6,high,"(39, 40)","[0, 1000]",0.875,26.588479036916713
154,6,high,"(39, 40)","[0, 1500]",0.875,17.89943360001583
155,6,high,"(39, 40)","[0, 2000]",0.9166666666666666,17.325610335853188
156,6,high,"(40, 41)","[0, 500]",0.5833333333333334,2.279008681001582
157,6,high,"(40, 41)","[0, 1000]",0.8333333333333334,20.387043399124998
158,6,high,"(40, 41)","[0, 1500]",0.9583333333333334,29.416380673208415
159,6,high,"(40, 41)","[0, 2000]",1.0,29.55665024630542
160,6,high,"(41, 42)","[0, 500]",0.5833333333333334,2.279008681001582
161,6,high,"(41, 42)","[0, 1000]",0.9583333333333334,43.69617711651347
162,6,high,"(41, 42)","[0, 1500]",1.0,39.21568627450981
163,6,high,"(41, 42)","[0, 2000]",1.0,29.55665024630542
164,6,high,"(42, 43)","[0, 500]",0.5833333333333334,2.279008681001582
165,6,high,"(42, 43)","[0, 1000]",0.9166666666666666,34.146591244448516
166,6,high,"(42, 43)","[0, 1500]",1.0,39.21568627450981
167,6,high,"(42, 43)","[0, 2000]",1.0,29.55665024630542
168,6,high,"(43, 44)","[0, 500]",0.6666666666666666,9.249528220246464
169,6,high,"(43, 44)","[0, 1000]",0.8333333333333334,20.387043399124998
170,6,high,"(43, 44)","[0, 1500]",0.9583333333333334,29.416380673208415
171,6,high,"(43, 44)","[0, 2000]",0.9583333333333334,22.17096671429009
172,6,high,"(44, 45)","[0, 500]",0.625,5.158414763211503
173,6,high,"(44, 45)","[0, 1000]",0.9166666666666666,34.146591244448516
174,6,high,"(44, 45)","[0, 1500]",0.8333333333333334,13.724610915750818
175,6,high,"(44, 45)","[0, 2000]",0.9583333333333334,22.17096671429009
176,6,high,"(45, 46)","[0, 500]",0.375,5.158414763211503
177,6,high,"(45, 46)","[0, 1000]",0.7916666666666666,15.245541778051425
178,6,high,"(45, 46)","[0, 1500]",0.7916666666666666,10.263338582609785
179,6,high,"(45, 46)","[0, 2000]",0.9166666666666666,17.325610335853188
180,6,high,"(46, 47)","[0, 500]",0.625,5.158414763211503
181,6,high,"(46, 47)","[0, 1000]",0.7916666666666666,15.245541778051425
182,6,high,"(46, 47)","[0, 1500]",0.9166666666666666,22.987574497896716
183,6,high,"(46, 47)","[0, 2000]",0.9166666666666666,17.325610335853188
184,6,high,"(47, 48)","[0, 500]",0.375,5.158414763211503
185,6,high,"(47, 48)","[0, 1000]",0.5416666666666666,0.29214593091436863
186,6,high,"(47, 48)","[0, 1500]",0.7916666666666666,10.263338582609785
187,6,high,"(47, 48)","[0, 2000]",0.9583333333333334,22.17096671429009
188,6,high,"(48, 49)","[0, 500]",0.5,0.0
189,6,high,"(48, 49)","[0, 1000]",0.5,0.0
190,6,high,"(48, 49)","[0, 1500]",0.6666666666666666,3.2040849390396255
191,6,high,"(48, 49)","[0, 2000]",0.8333333333333334,10.344164877388547
192,6,high,"(49, 50)","[0, 500]",0.25,21.36474062726798
193,6,high,"(49, 50)","[0, 1000]",0.5,0.0
194,6,high,"(49, 50)","[0, 1500]",0.75,7.400857864347732
195,6,high,"(49, 50)","[0, 2000]",0.7083333333333334,3.816813717181344
196,6,high,"(50, 51)","[0, 500]",0.5833333333333334,2.279008681001582
197,6,high,"(50, 51)","[0, 1000]",0.5416666666666666,0.29214593091436863
198,6,high,"(50, 51)","[0, 1500]",0.7916666666666666,10.263338582609785
199,6,high,"(50, 51)","[0, 2000]",0.625,1.3467782386709837
200,6,high,"(51, 52)","[0, 500]",0.75,21.36474062726798
201,6,high,"(51, 52)","[0, 1000]",0.5,0.0
202,6,high,"(51, 52)","[0, 1500]",0.75,7.400857864347732
203,6,high,"(51, 52)","[0, 2000]",0.75,5.577986469188192
204,6,high,"(52, 53)","[0, 500]",0.375,5.158414763211503
205,6,high,"(52, 53)","[0, 1000]",0.5833333333333334,1.1726937873114933
206,6,high,"(52, 53)","[0, 1500]",0.7083333333333334,5.064138461358254
207,6,high,"(52, 53)","[0, 2000]",0.8333333333333334,10.344164877388547
208,6,high,"(53, 54)","[0, 500]",0.4583333333333333,0.5677552997015088
209,6,high,"(53, 54)","[0, 1000]",0.5833333333333334,1.1726937873114933
210,6,high,"(53, 54)","[0, 1500]",0.7083333333333334,5.064138461358254
211,6,high,"(53, 54)","[0, 2000]",0.7916666666666666,7.735422675563039
212,6,high,"(54, 55)","[0, 500]",0.5833333333333334,2.279008681001582
213,6,high,"(54, 55)","[0, 1000]",0.625,2.6543299267010645
214,6,high,"(54, 55)","[0, 1500]",0.7083333333333334,5.064138461358254
215,6,high,"(54, 55)","[0, 2000]",0.875,13.490706112327201
216,6,high,"(55, 56)","[0, 500]",0.4583333333333333,0.5677552997015088
217,6,high,"(55, 56)","[0, 1000]",0.625,2.6543299267010645
218,6,high,"(55, 56)","[0, 1500]",0.7083333333333334,5.064138461358254
219,6,high,"(55, 56)","[0, 2000]",0.7916666666666666,7.735422675563039
220,6,high,"(56, 57)","[0, 500]",0.625,5.158414763211503
221,6,high,"(56, 57)","[0, 1000]",0.5833333333333334,1.1726937873114933
222,6,high,"(56, 57)","[0, 1500]",0.7083333333333334,5.064138461358254
223,6,high,"(56, 57)","[0, 2000]",0.7916666666666666,7.735422675563039
224,6,high,"(57, 58)","[0, 500]",0.625,5.158414763211503
225,6,high,"(57, 58)","[0, 1000]",0.7083333333333334,7.522458102794299
226,6,high,"(57, 58)","[0, 1500]",0.8333333333333334,13.724610915750818
227,6,high,"(57, 58)","[0, 2000]",0.8333333333333334,10.344164877388547
228,6,high,"(58, 59)","[0, 500]",0.5833333333333334,2.279008681001582
229,6,high,"(58, 59)","[0, 1000]",0.75,10.993507313060222
230,6,high,"(58, 59)","[0, 1500]",0.75,7.400857864347732
231,6,high,"(58, 59)","[0, 2000]",0.75,5.577986469188192
232,6,high,"(59, 60)","[0, 500]",0.625,5.158414763211503
233,6,high,"(59, 60)","[0, 1000]",0.7083333333333334,7.522458102794299
234,6,high,"(59, 60)","[0, 1500]",0.625,1.786901846079802
235,6,high,"(59, 60)","[0, 2000]",0.625,1.3467782386709837
