,subject,depth,target,time_window,accuracy,time
0,17,high,"(1, 16)","[0, 500]",0.0625,0.036576371639966965
1,17,high,"(1, 16)","[0, 1000]",0.06770833333333333,0.04029425357778867
2,17,high,"(1, 16)","[0, 1500]",0.08854166666666667,0.058067272106806435
3,17,high,"(1, 16)","[0, 2000]",0.07291666666666667,0.06153996785481771
4,17,high,"(2, 17)","[0, 500]",0.0625,0.03641234834988912
5,17,high,"(2, 17)","[0, 1000]",0.057291666666666664,0.04053375497460365
6,17,high,"(2, 17)","[0, 1500]",0.08333333333333333,0.057614151388406754
7,17,high,"(2, 17)","[0, 2000]",0.09375,0.06154510751366615
8,17,high,"(3, 18)","[0, 500]",0.07291666666666667,0.036846195658047996
9,17,high,"(3, 18)","[0, 1000]",0.07291666666666667,0.04054973398645719
10,17,high,"(3, 18)","[0, 1500]",0.15625,0.059197927514712013
11,17,high,"(3, 18)","[0, 2000]",0.1875,0.06479346627990405
12,17,high,"(4, 19)","[0, 500]",0.07291666666666667,0.03933331991235415
13,17,high,"(4, 19)","[0, 1000]",0.109375,0.04115605354309082
14,17,high,"(4, 19)","[0, 1500]",0.1875,0.05840533102552096
15,17,high,"(4, 19)","[0, 2000]",0.2604166666666667,0.06390649452805519
16,17,high,"(5, 20)","[0, 500]",0.07291666666666667,0.03777497882644335
17,17,high,"(5, 20)","[0, 1000]",0.15625,0.0408483532567819
18,17,high,"(5, 20)","[0, 1500]",0.24479166666666666,0.0580304798980554
19,17,high,"(5, 20)","[0, 2000]",0.3072916666666667,0.06255413219332695
20,17,high,"(6, 21)","[0, 500]",0.08854166666666667,0.03662585591276487
21,17,high,"(6, 21)","[0, 1000]",0.1875,0.041787528743346534
22,17,high,"(6, 21)","[0, 1500]",0.25,0.05918671687444051
23,17,high,"(6, 21)","[0, 2000]",0.28125,0.06399042283495267
24,17,high,"(7, 22)","[0, 500]",0.08854166666666667,0.03646019101142883
25,17,high,"(7, 22)","[0, 1000]",0.16145833333333334,0.04102404788136482
26,17,high,"(7, 22)","[0, 1500]",0.25,0.05897378424803416
27,17,high,"(7, 22)","[0, 2000]",0.2708333333333333,0.06249295175075531
28,17,high,"(8, 23)","[0, 500]",0.07291666666666667,0.03651015212138494
29,17,high,"(8, 23)","[0, 1000]",0.140625,0.04134424154957136
30,17,high,"(8, 23)","[0, 1500]",0.21875,0.05911032979687055
31,17,high,"(8, 23)","[0, 2000]",0.2604166666666667,0.06273813918232918
32,17,high,"(9, 24)","[0, 500]",0.0625,0.03660722076892853
33,17,high,"(9, 24)","[0, 1000]",0.13541666666666666,0.04151981075604757
34,17,high,"(9, 24)","[0, 1500]",0.22395833333333334,0.059680153926213585
35,17,high,"(9, 24)","[0, 2000]",0.2604166666666667,0.06385482226808865
36,17,high,"(10, 25)","[0, 500]",0.06770833333333333,0.03758761038382848
37,17,high,"(10, 25)","[0, 1000]",0.140625,0.041450428466002144
38,17,high,"(10, 25)","[0, 1500]",0.23958333333333334,0.059529922902584076
39,17,high,"(10, 25)","[0, 2000]",0.265625,0.06308782969911893
40,17,high,"(11, 26)","[0, 500]",0.125,0.03681209683418274
41,17,high,"(11, 26)","[0, 1000]",0.21354166666666666,0.04139978811144829
42,17,high,"(11, 26)","[0, 1500]",0.296875,0.05991797149181366
43,17,high,"(11, 26)","[0, 2000]",0.3385416666666667,0.06318783387541771
44,17,high,"(12, 27)","[0, 500]",0.18229166666666666,0.03729539861281713
45,17,high,"(12, 27)","[0, 1000]",0.296875,0.04200616727272669
46,17,high,"(12, 27)","[0, 1500]",0.4114583333333333,0.05990972618261973
47,17,high,"(12, 27)","[0, 2000]",0.484375,0.06306414927045505
48,17,high,"(13, 28)","[0, 500]",0.22395833333333334,0.037124806394179664
49,17,high,"(13, 28)","[0, 1000]",0.3802083333333333,0.04161225135127703
50,17,high,"(13, 28)","[0, 1500]",0.4791666666666667,0.06000285098950068
51,17,high,"(13, 28)","[0, 2000]",0.5416666666666666,0.06290503591299057
52,17,high,"(14, 29)","[0, 500]",0.2552083333333333,0.037464174131552376
53,17,high,"(14, 29)","[0, 1000]",0.4583333333333333,0.0415522630016009
54,17,high,"(14, 29)","[0, 1500]",0.5677083333333334,0.06002084662516912
55,17,high,"(14, 29)","[0, 2000]",0.6458333333333334,0.06522472202777863
56,17,high,"(15, 30)","[0, 500]",0.2552083333333333,0.040095134327809014
57,17,high,"(15, 30)","[0, 1000]",0.4947916666666667,0.04182971020539602
58,17,high,"(15, 30)","[0, 1500]",0.6145833333333334,0.06047878538568815
59,17,high,"(15, 30)","[0, 2000]",0.71875,0.06359942629933357
60,17,high,"(16, 31)","[0, 500]",0.28125,0.037498666594425835
61,17,high,"(16, 31)","[0, 1000]",0.5572916666666666,0.04168617973725001
62,17,high,"(16, 31)","[0, 1500]",0.6979166666666666,0.061108181873957314
63,17,high,"(16, 31)","[0, 2000]",0.7864583333333334,0.06408029794692993
64,17,high,"(17, 32)","[0, 500]",0.3072916666666667,0.037419150273005165
65,17,high,"(17, 32)","[0, 1000]",0.5625,0.04215752085049947
66,17,high,"(17, 32)","[0, 1500]",0.734375,0.06199950849016508
67,17,high,"(17, 32)","[0, 2000]",0.8177083333333334,0.06461878990133603
68,17,high,"(18, 33)","[0, 500]",0.3177083333333333,0.038266741981108986
69,17,high,"(18, 33)","[0, 1000]",0.5625,0.04289544001221657
70,17,high,"(18, 33)","[0, 1500]",0.7708333333333334,0.060187739630540214
71,17,high,"(18, 33)","[0, 2000]",0.796875,0.0641424482067426
72,17,high,"(19, 34)","[0, 500]",0.3333333333333333,0.0386947567264239
73,17,high,"(19, 34)","[0, 1000]",0.5520833333333334,0.04147257407506307
74,17,high,"(19, 34)","[0, 1500]",0.7604166666666666,0.06190267577767372
75,17,high,"(19, 34)","[0, 2000]",0.7864583333333334,0.06677628308534622
76,17,high,"(20, 35)","[0, 500]",0.328125,0.03863406181335449
77,17,high,"(20, 35)","[0, 1000]",0.5677083333333334,0.04266816625992457
78,17,high,"(20, 35)","[0, 1500]",0.734375,0.06185066824158033
79,17,high,"(20, 35)","[0, 2000]",0.7604166666666666,0.06677062561114629
80,17,high,"(21, 36)","[0, 500]",0.3020833333333333,0.03826773166656494
81,17,high,"(21, 36)","[0, 1000]",0.5729166666666666,0.042255581667025886
82,17,high,"(21, 36)","[0, 1500]",0.7447916666666666,0.062061852465073265
83,17,high,"(21, 36)","[0, 2000]",0.765625,0.07458692913254102
84,17,high,"(22, 37)","[0, 500]",0.2708333333333333,0.04267481838663419
85,17,high,"(22, 37)","[0, 1000]",0.5729166666666666,0.04369595771034559
86,17,high,"(22, 37)","[0, 1500]",0.7239583333333334,0.06381821880737941
87,17,high,"(22, 37)","[0, 2000]",0.7708333333333334,0.0719737634062767
88,17,high,"(23, 38)","[0, 500]",0.2708333333333333,0.038784208397070565
89,17,high,"(23, 38)","[0, 1000]",0.5572916666666666,0.04312834143638611
90,17,high,"(23, 38)","[0, 1500]",0.7083333333333334,0.06295384342471759
91,17,high,"(23, 38)","[0, 2000]",0.7395833333333334,0.06516516084472339
