,subject,depth,target,time_window,accuracy,time
0,15,high,"(1, 16)","[0, 500]",0.0625,0.03577179710070292
1,15,high,"(1, 16)","[0, 1000]",0.0625,0.03937129179636637
2,15,high,"(1, 16)","[0, 1500]",0.0625,0.05555836483836174
3,15,high,"(1, 16)","[0, 2000]",0.0625,0.05819939449429512
4,15,high,"(2, 17)","[0, 500]",0.0625,0.03556490813692411
5,15,high,"(2, 17)","[0, 1000]",0.057291666666666664,0.03958462799588839
6,15,high,"(2, 17)","[0, 1500]",0.06770833333333333,0.05558549612760544
7,15,high,"(2, 17)","[0, 2000]",0.07291666666666667,0.058512443055709205
8,15,high,"(3, 18)","[0, 500]",0.052083333333333336,0.03545846790075302
9,15,high,"(3, 18)","[0, 1000]",0.06770833333333333,0.03946854422489802
10,15,high,"(3, 18)","[0, 1500]",0.0625,0.055759795010089874
11,15,high,"(3, 18)","[0, 2000]",0.057291666666666664,0.058596095691124596
12,15,high,"(4, 19)","[0, 500]",0.052083333333333336,0.03583425283432007
13,15,high,"(4, 19)","[0, 1000]",0.041666666666666664,0.03934280822674433
14,15,high,"(4, 19)","[0, 1500]",0.052083333333333336,0.05594734971721967
15,15,high,"(4, 19)","[0, 2000]",0.057291666666666664,0.05885204176108042
16,15,high,"(5, 20)","[0, 500]",0.046875,0.03570509081085523
17,15,high,"(5, 20)","[0, 1000]",0.052083333333333336,0.03924366210897764
18,15,high,"(5, 20)","[0, 1500]",0.07291666666666667,0.05636896441380183
19,15,high,"(5, 20)","[0, 2000]",0.07291666666666667,0.059336124608914055
20,15,high,"(6, 21)","[0, 500]",0.041666666666666664,0.035700470209121704
21,15,high,"(6, 21)","[0, 1000]",0.06770833333333333,0.03958976144591967
22,15,high,"(6, 21)","[0, 1500]",0.06770833333333333,0.05603247260053953
23,15,high,"(6, 21)","[0, 2000]",0.0625,0.05898531650503477
24,15,high,"(7, 22)","[0, 500]",0.046875,0.03599879269798597
25,15,high,"(7, 22)","[0, 1000]",0.09375,0.03980077306429545
26,15,high,"(7, 22)","[0, 1500]",0.07291666666666667,0.05649446447690328
27,15,high,"(7, 22)","[0, 2000]",0.07291666666666667,0.059509300937255226
28,15,high,"(8, 23)","[0, 500]",0.0625,0.03600167234738668
29,15,high,"(8, 23)","[0, 1000]",0.08854166666666667,0.03969501703977585
30,15,high,"(8, 23)","[0, 1500]",0.078125,0.05683531115452448
