,subject,depth,target,time_window,accuracy,time
0,21,high,"(1, 16)","[0, 500]",0.057291666666666664,0.033397141844034195
1,21,high,"(1, 16)","[0, 1000]",0.057291666666666664,0.03633264328042666
2,21,high,"(1, 16)","[0, 1500]",0.057291666666666664,0.05226070682207743
3,21,high,"(1, 16)","[0, 2000]",0.0625,0.05476935083667437
4,21,high,"(2, 17)","[0, 500]",0.057291666666666664,0.03341419746478399
5,21,high,"(2, 17)","[0, 1000]",0.08854166666666667,0.03673555453618368
6,21,high,"(2, 17)","[0, 1500]",0.10416666666666667,0.052587490528821945
7,21,high,"(2, 17)","[0, 2000]",0.140625,0.054951479037602745
8,21,high,"(3, 18)","[0, 500]",0.078125,0.03397576014200846
9,21,high,"(3, 18)","[0, 1000]",0.09375,0.036432565500338875
10,21,high,"(3, 18)","[0, 1500]",0.16666666666666666,0.053174359103043876
11,21,high,"(3, 18)","[0, 2000]",0.24479166666666666,0.05506596093376478
12,21,high,"(4, 19)","[0, 500]",0.07291666666666667,0.03413667778174082
13,21,high,"(4, 19)","[0, 1000]",0.11458333333333333,0.03692236418525378
14,21,high,"(4, 19)","[0, 1500]",0.22395833333333334,0.05361443758010864
15,21,high,"(4, 19)","[0, 2000]",0.2916666666666667,0.055680236468712486
16,21,high,"(5, 20)","[0, 500]",0.078125,0.03405351315935453
17,21,high,"(5, 20)","[0, 1000]",0.140625,0.03740169356266657
18,21,high,"(5, 20)","[0, 1500]",0.25,0.05331124613682429
19,21,high,"(5, 20)","[0, 2000]",0.3333333333333333,0.05616212139527003
20,21,high,"(6, 21)","[0, 500]",0.08333333333333333,0.034152522683143616
21,21,high,"(6, 21)","[0, 1000]",0.15625,0.03747041647632917
22,21,high,"(6, 21)","[0, 1500]",0.2604166666666667,0.05419467886288961
23,21,high,"(6, 21)","[0, 2000]",0.3645833333333333,0.055825711538394295
24,21,high,"(7, 22)","[0, 500]",0.10416666666666667,0.034231151143709816
25,21,high,"(7, 22)","[0, 1000]",0.16145833333333334,0.037552243719498314
26,21,high,"(7, 22)","[0, 1500]",0.265625,0.054630909115076065
27,21,high,"(7, 22)","[0, 2000]",0.390625,0.056717101484537125
28,21,high,"(8, 23)","[0, 500]",0.11979166666666667,0.03458780546983083
29,21,high,"(8, 23)","[0, 1000]",0.234375,0.03774311269323031
30,21,high,"(8, 23)","[0, 1500]",0.3645833333333333,0.05400113264719645
31,21,high,"(8, 23)","[0, 2000]",0.484375,0.05675605436166128
32,21,high,"(9, 24)","[0, 500]",0.13020833333333334,0.034716006368398666
33,21,high,"(9, 24)","[0, 1000]",0.25,0.03747178986668587
34,21,high,"(9, 24)","[0, 1500]",0.390625,0.054800977309544883
35,21,high,"(9, 24)","[0, 2000]",0.5364583333333334,0.05617064858476321
36,21,high,"(10, 25)","[0, 500]",0.125,0.03512789184848467
37,21,high,"(10, 25)","[0, 1000]",0.3333333333333333,0.037496461222569145
38,21,high,"(10, 25)","[0, 1500]",0.5,0.05448670809467634
39,21,high,"(10, 25)","[0, 2000]",0.6354166666666666,0.05726299559076627
40,21,high,"(11, 26)","[0, 500]",0.125,0.034766903767983116
41,21,high,"(11, 26)","[0, 1000]",0.3802083333333333,0.03752373283108076
42,21,high,"(11, 26)","[0, 1500]",0.5729166666666666,0.054718648393948875
43,21,high,"(11, 26)","[0, 2000]",0.6666666666666666,0.057015943030516304
44,21,high,"(12, 27)","[0, 500]",0.13541666666666666,0.034386557837327324
45,21,high,"(12, 27)","[0, 1000]",0.5729166666666666,0.03747640177607536
46,21,high,"(12, 27)","[0, 1500]",0.71875,0.05521084492405256
47,21,high,"(12, 27)","[0, 2000]",0.8020833333333334,0.05782901123166084
48,21,high,"(13, 28)","[0, 500]",0.19791666666666666,0.03413227324684461
49,21,high,"(13, 28)","[0, 1000]",0.6875,0.037571399162213005
50,21,high,"(13, 28)","[0, 1500]",0.7864583333333334,0.05510857825477918
51,21,high,"(13, 28)","[0, 2000]",0.8385416666666666,0.05779724568128586
52,21,high,"(14, 29)","[0, 500]",0.23958333333333334,0.034222460041443505
53,21,high,"(14, 29)","[0, 1000]",0.7708333333333334,0.037726595997810364
54,21,high,"(14, 29)","[0, 1500]",0.8489583333333334,0.054689535250266395
55,21,high,"(14, 29)","[0, 2000]",0.90625,0.05793955052892367
56,21,high,"(15, 30)","[0, 500]",0.3072916666666667,0.034551478922367096
57,21,high,"(15, 30)","[0, 1000]",0.8020833333333334,0.037572064747413
58,21,high,"(15, 30)","[0, 1500]",0.8697916666666666,0.055269185453653336
59,21,high,"(15, 30)","[0, 2000]",0.9114583333333334,0.05760799472530683
60,21,high,"(16, 31)","[0, 500]",0.375,0.03470736121137937
61,21,high,"(16, 31)","[0, 1000]",0.875,0.03735080858071645
62,21,high,"(16, 31)","[0, 1500]",0.9322916666666666,0.0551652138431867
63,21,high,"(16, 31)","[0, 2000]",0.96875,0.057692001263300575
64,21,high,"(17, 32)","[0, 500]",0.4114583333333333,0.03445380056897799
65,21,high,"(17, 32)","[0, 1000]",0.890625,0.03766350820660591
66,21,high,"(17, 32)","[0, 1500]",0.9375,0.05549954747160276
67,21,high,"(17, 32)","[0, 2000]",0.9635416666666666,0.05753971139589945
68,21,high,"(18, 33)","[0, 500]",0.421875,0.034943887343009315
69,21,high,"(18, 33)","[0, 1000]",0.8854166666666666,0.037475629399220146
70,21,high,"(18, 33)","[0, 1500]",0.921875,0.055442740519841514
71,21,high,"(18, 33)","[0, 2000]",0.9479166666666666,0.05774952471256256
72,21,high,"(19, 34)","[0, 500]",0.4270833333333333,0.034636303782463074
73,21,high,"(19, 34)","[0, 1000]",0.8489583333333334,0.037307276080052056
