Unnamed: 0,subject,depth,target,time_window,accuracy,itr
0,8,high,"(1, 4)","[0, 500]",0.3541666666666667,4.215719014267191
1,8,high,"(1, 4)","[0, 1000]",0.25,0.0
2,8,high,"(1, 4)","[0, 1500]",0.25,0.0
3,8,high,"(1, 4)","[0, 2000]",0.2916666666666667,0.18889051962389874
4,8,high,"(2, 5)","[0, 500]",0.25,0.0
5,8,high,"(2, 5)","[0, 1000]",0.25,0.0
6,8,high,"(2, 5)","[0, 1500]",0.2916666666666667,0.24982294530902738
7,8,high,"(2, 5)","[0, 2000]",0.4166666666666667,2.7971644271660296
8,8,high,"(3, 6)","[0, 500]",0.2291666666666666,0.18570402723441437
9,8,high,"(3, 6)","[0, 1000]",0.3541666666666667,2.2082337693780523
10,8,high,"(3, 6)","[0, 1500]",0.5833333333333334,13.925040053485114
11,8,high,"(3, 6)","[0, 2000]",0.6875,17.81446788263652
12,8,high,"(4, 7)","[0, 500]",0.1875,1.7460772406088956
13,8,high,"(4, 7)","[0, 1000]",0.5625,18.16454272262839
14,8,high,"(4, 7)","[0, 1500]",0.8541666666666666,45.27272508393634
15,8,high,"(4, 7)","[0, 2000]",0.9166666666666666,42.559110477159116
16,8,high,"(5, 8)","[0, 500]",0.2708333333333333,0.1789417478456007
17,8,high,"(5, 8)","[0, 1000]",0.75,45.28464287774732
18,8,high,"(5, 8)","[0, 1500]",0.9166666666666666,56.28785579237174
19,8,high,"(5, 8)","[0, 2000]",0.9791666666666666,53.29421554482457
20,8,high,"(6, 9)","[0, 500]",0.2916666666666667,0.7040464822345316
21,8,high,"(6, 9)","[0, 1000]",0.7291666666666666,41.60465402966368
22,8,high,"(6, 9)","[0, 1500]",0.9375,60.52837846791925
23,8,high,"(6, 9)","[0, 2000]",1.0,58.53658536585366
24,8,high,"(7, 10)","[0, 500]",0.3958333333333333,8.06808876954248
25,8,high,"(7, 10)","[0, 1000]",0.7708333333333334,49.155636655634765
26,8,high,"(7, 10)","[0, 1500]",0.9791666666666666,70.48589797863895
27,8,high,"(7, 10)","[0, 2000]",1.0,58.53658536585366
28,8,high,"(8, 11)","[0, 500]",0.3333333333333333,2.734090777971598
29,8,high,"(8, 11)","[0, 1000]",0.9166666666666666,83.09159664588208
30,8,high,"(8, 11)","[0, 1500]",0.9791666666666666,70.48589797863895
31,8,high,"(8, 11)","[0, 2000]",1.0,58.53658536585366
32,8,high,"(9, 12)","[0, 500]",0.4375,13.064638369729323
33,8,high,"(9, 12)","[0, 1000]",0.8958333333333334,77.30477665286399
34,8,high,"(9, 12)","[0, 1500]",0.9791666666666666,70.48589797863895
35,8,high,"(9, 12)","[0, 2000]",1.0,58.53658536585366
36,8,high,"(10, 13)","[0, 500]",0.4791666666666667,19.17287995689775
37,8,high,"(10, 13)","[0, 1000]",1.0,114.28571428571428
38,8,high,"(10, 13)","[0, 1500]",1.0,77.41935483870968
39,8,high,"(10, 13)","[0, 2000]",1.0,58.53658536585366
40,8,high,"(11, 14)","[0, 500]",0.6041666666666666,44.089963785932376
41,8,high,"(11, 14)","[0, 1000]",1.0,114.28571428571428
42,8,high,"(11, 14)","[0, 1500]",1.0,77.41935483870968
43,8,high,"(11, 14)","[0, 2000]",1.0,58.53658536585366
44,8,high,"(12, 15)","[0, 500]",0.625,49.22237010595653
45,8,high,"(12, 15)","[0, 1000]",1.0,114.28571428571428
46,8,high,"(12, 15)","[0, 1500]",1.0,77.41935483870968
47,8,high,"(12, 15)","[0, 2000]",1.0,58.53658536585366
48,8,high,"(13, 16)","[0, 500]",0.6458333333333334,54.64634403721307
49,8,high,"(13, 16)","[0, 1000]",1.0,114.28571428571428
50,8,high,"(13, 16)","[0, 1500]",1.0,77.41935483870968
51,8,high,"(13, 16)","[0, 2000]",1.0,58.53658536585366
52,8,high,"(14, 17)","[0, 500]",0.7083333333333334,72.74779651501436
53,8,high,"(14, 17)","[0, 1000]",1.0,114.28571428571428
54,8,high,"(14, 17)","[0, 1500]",1.0,77.41935483870968
55,8,high,"(14, 17)","[0, 2000]",1.0,58.53658536585366
56,8,high,"(15, 18)","[0, 500]",0.7708333333333334,93.84257906984818
57,8,high,"(15, 18)","[0, 1000]",1.0,114.28571428571428
58,8,high,"(15, 18)","[0, 1500]",1.0,77.41935483870968
59,8,high,"(15, 18)","[0, 2000]",1.0,58.53658536585366
60,8,high,"(16, 19)","[0, 500]",0.8541666666666666,127.5867706910933
61,8,high,"(16, 19)","[0, 1000]",1.0,114.28571428571428
62,8,high,"(16, 19)","[0, 1500]",1.0,77.41935483870968
63,8,high,"(16, 19)","[0, 2000]",1.0,58.53658536585366
64,8,high,"(17, 20)","[0, 500]",0.8958333333333334,147.58184633728578
65,8,high,"(17, 20)","[0, 1000]",1.0,114.28571428571428
66,8,high,"(17, 20)","[0, 1500]",1.0,77.41935483870968
67,8,high,"(17, 20)","[0, 2000]",1.0,58.53658536585366
68,8,high,"(18, 21)","[0, 500]",0.875,137.27075391384642
69,8,high,"(18, 21)","[0, 1000]",1.0,114.28571428571428
70,8,high,"(18, 21)","[0, 1500]",1.0,77.41935483870968
71,8,high,"(18, 21)","[0, 2000]",1.0,58.53658536585366
72,8,high,"(19, 22)","[0, 500]",0.8125,109.81170228977862
73,8,high,"(19, 22)","[0, 1000]",1.0,114.28571428571428
74,8,high,"(19, 22)","[0, 1500]",1.0,77.41935483870968
75,8,high,"(19, 22)","[0, 2000]",1.0,58.53658536585366
76,8,high,"(20, 23)","[0, 500]",0.8333333333333334,118.45278126161305
77,8,high,"(20, 23)","[0, 1000]",1.0,114.28571428571428
78,8,high,"(20, 23)","[0, 1500]",1.0,77.41935483870968
79,8,high,"(20, 23)","[0, 2000]",1.0,58.53658536585366
80,8,high,"(21, 24)","[0, 500]",0.8333333333333334,118.45278126161305
81,8,high,"(21, 24)","[0, 1000]",1.0,114.28571428571428
82,8,high,"(21, 24)","[0, 1500]",1.0,77.41935483870968
83,8,high,"(21, 24)","[0, 2000]",1.0,58.53658536585366
84,8,high,"(22, 25)","[0, 500]",0.8958333333333334,147.58184633728578
85,8,high,"(22, 25)","[0, 1000]",1.0,114.28571428571428
86,8,high,"(22, 25)","[0, 1500]",1.0,77.41935483870968
87,8,high,"(22, 25)","[0, 2000]",0.9791666666666666,53.29421554482457
88,8,high,"(23, 26)","[0, 500]",0.8958333333333334,147.58184633728578
89,8,high,"(23, 26)","[0, 1000]",1.0,114.28571428571428
90,8,high,"(23, 26)","[0, 1500]",1.0,77.41935483870968
91,8,high,"(23, 26)","[0, 2000]",0.9791666666666666,53.29421554482457
92,8,high,"(24, 27)","[0, 500]",0.9166666666666666,158.62941177850215
93,8,high,"(24, 27)","[0, 1000]",1.0,114.28571428571428
94,8,high,"(24, 27)","[0, 1500]",1.0,77.41935483870968
95,8,high,"(24, 27)","[0, 2000]",1.0,58.53658536585366
96,8,high,"(25, 28)","[0, 500]",0.9375,170.57997568231787
97,8,high,"(25, 28)","[0, 1000]",1.0,114.28571428571428
98,8,high,"(25, 28)","[0, 1500]",1.0,77.41935483870968
99,8,high,"(25, 28)","[0, 2000]",1.0,58.53658536585366
100,8,high,"(26, 29)","[0, 500]",0.9583333333333334,183.71755668764723
101,8,high,"(26, 29)","[0, 1000]",1.0,114.28571428571428
102,8,high,"(26, 29)","[0, 1500]",0.9791666666666666,70.48589797863895
103,8,high,"(26, 29)","[0, 2000]",0.9791666666666666,53.29421554482457
104,8,high,"(27, 30)","[0, 500]",0.8958333333333334,147.58184633728578
105,8,high,"(27, 30)","[0, 1000]",1.0,114.28571428571428
106,8,high,"(27, 30)","[0, 1500]",0.9791666666666666,70.48589797863895
107,8,high,"(27, 30)","[0, 2000]",0.9791666666666666,53.29421554482457
108,8,high,"(28, 31)","[0, 500]",0.875,137.27075391384642
109,8,high,"(28, 31)","[0, 1000]",1.0,114.28571428571428
110,8,high,"(28, 31)","[0, 1500]",0.9791666666666666,70.48589797863895
111,8,high,"(28, 31)","[0, 2000]",0.9791666666666666,53.29421554482457
112,8,high,"(29, 32)","[0, 500]",0.8333333333333334,118.45278126161305
113,8,high,"(29, 32)","[0, 1000]",1.0,114.28571428571428
114,8,high,"(29, 32)","[0, 1500]",0.9791666666666666,70.48589797863895
115,8,high,"(29, 32)","[0, 2000]",0.9791666666666666,53.29421554482457
116,8,high,"(30, 33)","[0, 500]",0.7916666666666666,101.6197759497791
117,8,high,"(30, 33)","[0, 1000]",0.9375,89.35141583359507
118,8,high,"(30, 33)","[0, 1500]",0.9791666666666666,70.48589797863895
119,8,high,"(30, 33)","[0, 2000]",1.0,58.53658536585366
120,8,high,"(31, 34)","[0, 500]",0.7291666666666666,79.42706678390338
121,8,high,"(31, 34)","[0, 1000]",0.9375,89.35141583359507
122,8,high,"(31, 34)","[0, 1500]",0.9791666666666666,70.48589797863895
123,8,high,"(31, 34)","[0, 2000]",1.0,58.53658536585366
124,8,high,"(32, 35)","[0, 500]",0.7083333333333334,72.74779651501436
125,8,high,"(32, 35)","[0, 1000]",0.8958333333333334,77.30477665286399
126,8,high,"(32, 35)","[0, 1500]",0.9791666666666666,70.48589797863895
127,8,high,"(32, 35)","[0, 2000]",1.0,58.53658536585366
128,8,high,"(33, 36)","[0, 500]",0.6041666666666666,44.089963785932376
129,8,high,"(33, 36)","[0, 1000]",0.9166666666666666,83.09159664588208
130,8,high,"(33, 36)","[0, 1500]",0.9583333333333334,65.19010076013289
131,8,high,"(33, 36)","[0, 2000]",0.9791666666666666,53.29421554482457
132,8,high,"(34, 37)","[0, 500]",0.5208333333333334,26.377254960175737
133,8,high,"(34, 37)","[0, 1000]",0.7708333333333334,49.155636655634765
134,8,high,"(34, 37)","[0, 1500]",0.9166666666666666,56.28785579237174
135,8,high,"(34, 37)","[0, 2000]",0.9791666666666666,53.29421554482457
136,8,high,"(35, 38)","[0, 500]",0.5208333333333334,26.377254960175737
137,8,high,"(35, 38)","[0, 1000]",0.8541666666666666,66.8311656000965
138,8,high,"(35, 38)","[0, 1500]",0.8958333333333334,52.36775192613368
139,8,high,"(35, 38)","[0, 2000]",0.9791666666666666,53.29421554482457
140,8,high,"(36, 39)","[0, 500]",0.5,22.6384090515733
141,8,high,"(36, 39)","[0, 1000]",0.7708333333333334,49.155636655634765
142,8,high,"(36, 39)","[0, 1500]",0.875,48.70897719523583
143,8,high,"(36, 39)","[0, 2000]",0.9791666666666666,53.29421554482457
144,8,high,"(37, 40)","[0, 500]",0.5416666666666666,30.389893707290916
145,8,high,"(37, 40)","[0, 1000]",0.875,71.90372824058622
146,8,high,"(37, 40)","[0, 1500]",0.9166666666666666,56.28785579237174
147,8,high,"(37, 40)","[0, 2000]",1.0,58.53658536585366
148,8,high,"(38, 41)","[0, 500]",0.4166666666666667,10.42579468307338
149,8,high,"(38, 41)","[0, 1000]",0.75,45.28464287774732
150,8,high,"(38, 41)","[0, 1500]",0.8333333333333334,42.03163206057238
151,8,high,"(38, 41)","[0, 2000]",0.9166666666666666,42.559110477159116
152,8,high,"(39, 42)","[0, 500]",0.5,22.6384090515733
153,8,high,"(39, 42)","[0, 1000]",0.7916666666666666,53.229406449884294
154,8,high,"(39, 42)","[0, 1500]",0.875,48.70897719523583
155,8,high,"(39, 42)","[0, 2000]",0.9375,45.76535932940236
156,8,high,"(40, 43)","[0, 500]",0.5,22.6384090515733
157,8,high,"(40, 43)","[0, 1000]",0.7708333333333334,49.155636655634765
158,8,high,"(40, 43)","[0, 1500]",0.875,48.70897719523583
159,8,high,"(40, 43)","[0, 2000]",0.9375,45.76535932940236
160,8,high,"(41, 44)","[0, 500]",0.5208333333333334,26.377254960175737
161,8,high,"(41, 44)","[0, 1000]",0.7291666666666666,41.60465402966368
162,8,high,"(41, 44)","[0, 1500]",0.8333333333333334,42.03163206057238
163,8,high,"(41, 44)","[0, 2000]",0.9166666666666666,42.559110477159116
164,8,high,"(42, 45)","[0, 500]",0.5625,34.677763379563295
165,8,high,"(42, 45)","[0, 1000]",0.7708333333333334,49.155636655634765
166,8,high,"(42, 45)","[0, 1500]",0.875,48.70897719523583
167,8,high,"(42, 45)","[0, 2000]",0.875,36.82873885493441
168,8,high,"(43, 46)","[0, 500]",0.4791666666666667,19.17287995689775
169,8,high,"(43, 46)","[0, 1000]",0.75,45.28464287774732
170,8,high,"(43, 46)","[0, 1500]",0.8541666666666666,45.27272508393634
171,8,high,"(43, 46)","[0, 2000]",0.8958333333333334,39.59512950512546
172,8,high,"(44, 47)","[0, 500]",0.4375,13.064638369729323
173,8,high,"(44, 47)","[0, 1000]",0.6666666666666666,31.62190470695953
174,8,high,"(44, 47)","[0, 1500]",0.7708333333333334,33.298979669946135
175,8,high,"(44, 47)","[0, 2000]",0.8125,29.46167622408695
176,8,high,"(45, 48)","[0, 500]",0.2916666666666667,0.7040464822345316
177,8,high,"(45, 48)","[0, 1000]",0.5833333333333334,20.556011507525643
178,8,high,"(45, 48)","[0, 1500]",0.625,17.466002295661994
179,8,high,"(45, 48)","[0, 2000]",0.7291666666666666,21.309700844461887
180,8,high,"(46, 49)","[0, 500]",0.3125,1.5600052603252155
181,8,high,"(46, 49)","[0, 1000]",0.4583333333333333,8.371075271813538
182,8,high,"(46, 49)","[0, 1500]",0.5,8.032983857009883
183,8,high,"(46, 49)","[0, 2000]",0.625,13.206001735744435
184,8,high,"(47, 50)","[0, 500]",0.3333333333333333,2.734090777971598
185,8,high,"(47, 50)","[0, 1000]",0.3125,0.8171456125513034
186,8,high,"(47, 50)","[0, 1500]",0.4375,4.635839421516858
187,8,high,"(47, 50)","[0, 2000]",0.2916666666666667,0.18889051962389874
188,8,high,"(48, 51)","[0, 500]",0.3541666666666667,4.215719014267191
189,8,high,"(48, 51)","[0, 1000]",0.2708333333333333,0.093731391728648
190,8,high,"(48, 51)","[0, 1500]",0.3333333333333333,0.9701612437963737
191,8,high,"(48, 51)","[0, 2000]",0.2291666666666666,0.04982303169703801
192,8,high,"(49, 52)","[0, 500]",0.1875,1.7460772406088956
193,8,high,"(49, 52)","[0, 1000]",0.25,0.0
194,8,high,"(49, 52)","[0, 1500]",0.25,0.0
195,8,high,"(49, 52)","[0, 2000]",0.25,0.0
196,8,high,"(50, 53)","[0, 500]",0.2083333333333333,0.7585259038873475
197,8,high,"(50, 53)","[0, 1000]",0.3333333333333333,1.4321427884613134
198,8,high,"(50, 53)","[0, 1500]",0.2916666666666667,0.24982294530902738
199,8,high,"(50, 53)","[0, 2000]",0.25,0.0
200,8,high,"(51, 54)","[0, 500]",0.25,0.0
201,8,high,"(51, 54)","[0, 1000]",0.3541666666666667,2.2082337693780523
202,8,high,"(51, 54)","[0, 1500]",0.4375,4.635839421516858
203,8,high,"(51, 54)","[0, 2000]",0.4791666666666667,5.1439434030701285
204,8,high,"(52, 55)","[0, 500]",0.2291666666666666,0.18570402723441437
205,8,high,"(52, 55)","[0, 1000]",0.3541666666666667,2.2082337693780523
206,8,high,"(52, 55)","[0, 1500]",0.3958333333333333,2.862870208547332
207,8,high,"(52, 55)","[0, 2000]",0.4791666666666667,5.1439434030701285
208,8,high,"(53, 56)","[0, 500]",0.1458333333333333,5.112395635367656
209,8,high,"(53, 56)","[0, 1000]",0.3541666666666667,2.2082337693780523
210,8,high,"(53, 56)","[0, 1500]",0.3541666666666667,1.4959002953851324
211,8,high,"(53, 56)","[0, 2000]",0.4583333333333333,4.2876239197093735
212,8,high,"(54, 57)","[0, 500]",0.125,7.592003854842778
213,8,high,"(54, 57)","[0, 1000]",0.3958333333333333,4.226141736427014
214,8,high,"(54, 57)","[0, 1500]",0.2916666666666667,0.24982294530902738
215,8,high,"(54, 57)","[0, 2000]",0.375,1.6087151451018231
216,8,high,"(55, 58)","[0, 500]",0.2083333333333333,0.7585259038873475
217,8,high,"(55, 58)","[0, 1000]",0.2916666666666667,0.3687862525990404
218,8,high,"(55, 58)","[0, 1500]",0.3333333333333333,0.9701612437963737
219,8,high,"(55, 58)","[0, 2000]",0.4375,3.5051468796834775
220,8,high,"(56, 59)","[0, 500]",0.1875,1.7460772406088956
221,8,high,"(56, 59)","[0, 1000]",0.3333333333333333,1.4321427884613134
222,8,high,"(56, 59)","[0, 1500]",0.4583333333333333,5.670728409938204
223,8,high,"(56, 59)","[0, 2000]",0.5416666666666666,8.153386116590246
224,8,high,"(57, 60)","[0, 500]",0.1458333333333333,5.112395635367656
225,8,high,"(57, 60)","[0, 1000]",0.3958333333333333,4.226141736427014
