subject,depth,target,time_window,accuracy,time,itr
18,low,"(1, 8)","[0, 500]",0.125,0.016923318306605,0.0
18,low,"(1, 8)","[0, 1000]",0.125,0.0186062653859456,0.0
18,low,"(1, 8)","[0, 1500]",0.15625,0.0259103948871294,0.23717825020464386
18,low,"(1, 8)","[0, 2000]",0.1458333333333333,0.027233545978864,0.08100004377144673
18,low,"(2, 9)","[0, 500]",0.125,0.0165825237830479,0.0
18,low,"(2, 9)","[0, 1000]",0.1354166666666666,0.0185055856903394,0.04119426206396367
18,low,"(2, 9)","[0, 1500]",0.1458333333333333,0.0264902412891387,0.10757095035246297
18,low,"(2, 9)","[0, 2000]",0.1354166666666666,0.0273485978444417,0.020695299296405446
18,low,"(3, 10)","[0, 500]",0.1770833333333333,0.0166372482975324,1.8728185256756948
18,low,"(3, 10)","[0, 1000]",0.2083333333333333,0.0190512835979461,2.309549353931552
18,low,"(3, 10)","[0, 1500]",0.25,0.0262839173277219,3.2709124319416385
18,low,"(3, 10)","[0, 2000]",0.2604166666666667,0.0276238520940144,2.8511978085601735
18,low,"(4, 11)","[0, 500]",0.1666666666666666,0.0166986063122749,1.2210379329671104
18,low,"(4, 11)","[0, 1000]",0.3125,0.0192586580912272,10.23716151952126
18,low,"(4, 11)","[0, 1500]",0.3854166666666667,0.0266955941915512,12.2959081054953
18,low,"(4, 11)","[0, 2000]",0.46875,0.0278738364577293,15.131482725452903
18,low,"(5, 12)","[0, 500]",0.2083333333333333,0.0167879437406857,4.5541875776376886
18,low,"(5, 12)","[0, 1000]",0.375,0.0190351208051045,17.13203980010903
18,low,"(5, 12)","[0, 1500]",0.5416666666666666,0.0273302669326464,28.218291017576156
18,low,"(5, 12)","[0, 2000]",0.6041666666666666,0.0280712122718493,27.226686982883233
18,low,"(6, 13)","[0, 500]",0.2916666666666667,0.0168485542138417,16.32112074156993
18,low,"(6, 13)","[0, 1000]",0.5104166666666666,0.0194415748119354,36.83657459455191
18,low,"(6, 13)","[0, 1500]",0.6458333333333334,0.0267749627431233,41.97059280559406
18,low,"(6, 13)","[0, 2000]",0.7604166666666666,0.0280740534265836,45.35508524156695
18,low,"(7, 14)","[0, 500]",0.3020833333333333,0.0169361134370168,18.20854209641464
