,subject,depth,target,time_window,accuracy
100,23,high,"(26, 29)","[0, 500]",0.4166666666666667
101,23,high,"(26, 29)","[0, 1000]",0.8958333333333334
102,23,high,"(26, 29)","[0, 1500]",1.0
103,23,high,"(26, 29)","[0, 2000]",1.0
104,23,high,"(27, 30)","[0, 500]",0.5
105,23,high,"(27, 30)","[0, 1000]",0.8958333333333334
106,23,high,"(27, 30)","[0, 1500]",0.9791666666666666
107,23,high,"(27, 30)","[0, 2000]",1.0
108,23,high,"(28, 31)","[0, 500]",0.4791666666666667
109,23,high,"(28, 31)","[0, 1000]",0.875
110,23,high,"(28, 31)","[0, 1500]",0.9791666666666666
111,23,high,"(28, 31)","[0, 2000]",1.0
112,23,high,"(29, 32)","[0, 500]",0.375
113,23,high,"(29, 32)","[0, 1000]",0.8541666666666666
114,23,high,"(29, 32)","[0, 1500]",0.9791666666666666
115,23,high,"(29, 32)","[0, 2000]",1.0
116,23,high,"(30, 33)","[0, 500]",0.4166666666666667
117,23,high,"(30, 33)","[0, 1000]",0.8958333333333334
118,23,high,"(30, 33)","[0, 1500]",1.0
119,23,high,"(30, 33)","[0, 2000]",1.0
120,23,high,"(31, 34)","[0, 500]",0.4166666666666667
121,23,high,"(31, 34)","[0, 1000]",0.8958333333333334
122,23,high,"(31, 34)","[0, 1500]",0.9791666666666666
123,23,high,"(31, 34)","[0, 2000]",1.0
124,23,high,"(32, 35)","[0, 500]",0.5208333333333334
125,23,high,"(32, 35)","[0, 1000]",0.9166666666666666
126,23,high,"(32, 35)","[0, 1500]",1.0
127,23,high,"(32, 35)","[0, 2000]",1.0
128,23,high,"(33, 36)","[0, 500]",0.3958333333333333
129,23,high,"(33, 36)","[0, 1000]",0.8958333333333334
130,23,high,"(33, 36)","[0, 1500]",1.0
131,23,high,"(33, 36)","[0, 2000]",1.0
132,23,high,"(34, 37)","[0, 500]",0.3541666666666667
133,23,high,"(34, 37)","[0, 1000]",0.7916666666666666
134,23,high,"(34, 37)","[0, 1500]",0.9166666666666666
135,23,high,"(34, 37)","[0, 2000]",0.9791666666666666
