subject,depth,target,time_window,accuracy,time,itr
17,high,"(1, 2)","[0, 500]",0.5,0.0041250785191853,0.0
17,high,"(1, 2)","[0, 1000]",0.5416666666666666,0.0044950147469838,0.29956376529911816
17,high,"(1, 2)","[0, 1500]",0.6666666666666666,0.0058293640613555,3.255514916715944
17,high,"(1, 2)","[0, 2000]",0.5416666666666666,0.0069030225276947,0.14993764295735781
17,high,"(2, 3)","[0, 500]",0.5,0.0043814977010091,0.0
17,high,"(2, 3)","[0, 1000]",0.5833333333333334,0.0045703450838724,1.2023793125507722
17,high,"(2, 3)","[0, 1500]",0.5,0.0062417884667714,0.0
17,high,"(2, 3)","[0, 2000]",0.5,0.0076387524604797,0.0
17,high,"(3, 4)","[0, 500]",0.4583333333333333,0.0043150683244069,0.5966712631482101
17,high,"(3, 4)","[0, 1000]",0.5833333333333334,0.0046147306760152,1.2023261893821202
17,high,"(3, 4)","[0, 1500]",0.6666666666666666,0.0062499145666758,3.2546059650007853
17,high,"(3, 4)","[0, 2000]",0.7916666666666666,0.0076390703519185,7.821579218738958
17,high,"(4, 5)","[0, 500]",0.5416666666666666,0.0045699377854665,0.596369871265975
17,high,"(4, 5)","[0, 1000]",0.7083333333333334,0.0044219394524892,7.7140209124679595
17,high,"(4, 5)","[0, 1500]",0.75,0.0068955322106679,7.514331478467083
17,high,"(4, 5)","[0, 2000]",0.7083333333333334,0.0076405505339304,3.859322249601662
17,high,"(5, 6)","[0, 500]",0.7083333333333334,0.0044507582982381,15.359540487195241
17,high,"(5, 6)","[0, 1000]",0.8333333333333334,0.0046036144097646,20.902427982439725
17,high,"(5, 6)","[0, 1500]",0.8333333333333334,0.0075648128986358,13.928857002654542
17,high,"(5, 6)","[0, 2000]",0.875,0.0070005456606547,13.645304415704274
17,high,"(6, 7)","[0, 500]",0.7083333333333334,0.0047973791758219,15.348993805253965
17,high,"(6, 7)","[0, 1000]",1.0,0.0047848224639892,59.71427778224661
17,high,"(6, 7)","[0, 1500]",0.9583333333333334,0.0070978105068206,29.863398457777258
17,high,"(6, 7)","[0, 2000]",1.0,0.0074889957904815,29.888084131875413
17,high,"(7, 8)","[0, 500]",0.6666666666666666,0.0049509704113006,9.708368225805307
17,high,"(7, 8)","[0, 1000]",0.875,0.0051434536774953,27.245994895382545
17,high,"(7, 8)","[0, 1500]",1.0,0.0065847237904866,39.82517481595274
17,high,"(7, 8)","[0, 2000]",0.9583333333333334,0.0069017211596171,22.426141726563042
17,high,"(8, 9)","[0, 500]",0.5416666666666666,0.0045659740765889,0.5963745561569002
17,high,"(8, 9)","[0, 1000]",0.7083333333333334,0.0050994058450063,7.708821436785276
17,high,"(8, 9)","[0, 1500]",0.9583333333333334,0.0069462954998016,29.866401055176024
17,high,"(8, 9)","[0, 2000]",0.9583333333333334,0.0069451133410135,22.425656850716987
17,high,"(9, 10)","[0, 500]",0.5416666666666666,0.0048030416170756,0.596094484450549
17,high,"(9, 10)","[0, 1000]",0.7083333333333334,0.0042216479778289,7.71555946984444
17,high,"(9, 10)","[0, 1500]",0.75,0.0069318910439809,7.514150174768284
17,high,"(9, 10)","[0, 2000]",0.875,0.0071008106072743,13.644622762988265
17,high,"(10, 11)","[0, 500]",0.375,0.0044623514016469,5.419551760217188
17,high,"(10, 11)","[0, 1000]",0.5833333333333334,0.0043686827023824,1.2026207325390685
17,high,"(10, 11)","[0, 1500]",0.7083333333333334,0.0069002409776051,5.141768270507083
17,high,"(10, 11)","[0, 2000]",0.5833333333333334,0.007640133301417,0.6016389993880911
17,high,"(11, 12)","[0, 500]",0.5416666666666666,0.0044990082581837,0.5964537172842271
17,high,"(11, 12)","[0, 1000]",0.5833333333333334,0.0045088827610015,1.202452881860899
17,high,"(11, 12)","[0, 1500]",0.6666666666666666,0.0069178839524586,3.253163300360225
17,high,"(11, 12)","[0, 2000]",0.7083333333333334,0.0076380372047424,3.859327081023998
17,high,"(12, 13)","[0, 500]",0.625,0.0048753917217254,5.41511800600689
17,high,"(12, 13)","[0, 1000]",0.5833333333333334,0.0048464238643646,1.2020489621545178
17,high,"(12, 13)","[0, 1500]",0.7083333333333334,0.0090280473232269,5.134518115565889
17,high,"(12, 13)","[0, 2000]",0.875,0.0097223023573557,13.626824649306496
17,high,"(13, 14)","[0, 500]",0.5,0.005122164885203,0.0
17,high,"(13, 14)","[0, 1000]",0.7083333333333334,0.0045694609483083,7.712888104884189
17,high,"(13, 14)","[0, 1500]",0.9166666666666666,0.0069337288538614,23.339439756605756
17,high,"(13, 14)","[0, 2000]",0.9583333333333334,0.0078462163607279,22.415592421009872
17,high,"(14, 15)","[0, 500]",0.7916666666666666,0.004941314458847,31.098481312074856
17,high,"(14, 15)","[0, 1000]",0.9166666666666666,0.0049116611480712,34.9990853341283
17,high,"(14, 15)","[0, 1500]",0.7916666666666666,0.0082860986391703,10.411093787551772
17,high,"(14, 15)","[0, 2000]",0.8333333333333334,0.0083323419094085,10.455766838437913
17,high,"(15, 16)","[0, 500]",0.875,0.0048883954683939,54.24195456625145
17,high,"(15, 16)","[0, 1000]",0.875,0.0055280725161234,27.235573184442433
17,high,"(15, 16)","[0, 1500]",0.9166666666666666,0.0083322326342264,23.31779976640664
17,high,"(15, 16)","[0, 2000]",1.0,0.009028414885203,29.865182371464087
17,high,"(16, 17)","[0, 500]",0.75,0.0046284695466359,22.438909446835268
17,high,"(16, 17)","[0, 1000]",0.9583333333333334,0.0043644805749257,44.81148358038867
17,high,"(16, 17)","[0, 1500]",0.9166666666666666,0.0075895488262176,23.329286813619447
17,high,"(16, 17)","[0, 2000]",0.9583333333333334,0.0083342095216115,22.410145789793436
17,high,"(17, 18)","[0, 500]",0.5833333333333334,0.0045616229375203,2.3939089816198904
17,high,"(17, 18)","[0, 1000]",0.875,0.0044321715831756,27.265288969048527
17,high,"(17, 18)","[0, 1500]",0.9583333333333334,0.0069218774636586,29.866885007842274
17,high,"(17, 18)","[0, 2000]",1.0,0.0078595678011576,29.882567965501224
17,high,"(18, 19)","[0, 500]",0.9583333333333334,0.0044663548469543,89.21717374722279
17,high,"(18, 19)","[0, 1000]",0.9166666666666666,0.0049527088801066,34.99765578121145
17,high,"(18, 19)","[0, 1500]",0.9166666666666666,0.0071907838185628,23.335459159771435
17,high,"(18, 19)","[0, 2000]",0.9583333333333334,0.0066974461078643,22.428424632374625
17,high,"(19, 20)","[0, 500]",0.7083333333333334,0.0048538446426391,15.347277094349248
17,high,"(19, 20)","[0, 1000]",0.875,0.0041645765304565,27.272554766517985
17,high,"(19, 20)","[0, 1500]",0.9583333333333334,0.0069117248058319,29.86708623281043
17,high,"(19, 20)","[0, 2000]",1.0,0.0069026947021484,29.896815704313365
17,high,"(20, 21)","[0, 500]",0.7916666666666666,0.0044951637585957,31.125983278814772
17,high,"(20, 21)","[0, 1000]",1.0,0.004504382610321,59.73094895224155
17,high,"(20, 21)","[0, 1500]",1.0,0.006895770629247,39.81695427743175
17,high,"(20, 21)","[0, 2000]",1.0,0.0073678195476531,29.88988834817557
17,high,"(21, 22)","[0, 500]",0.7916666666666666,0.0041889051596323,31.144890081270706
17,high,"(21, 22)","[0, 1000]",1.0,0.0054851671059926,59.67268534919634
17,high,"(21, 22)","[0, 1500]",1.0,0.0069405833880106,39.81577021776383
17,high,"(21, 22)","[0, 2000]",1.0,0.0069447755813598,29.896188838887984
17,high,"(22, 23)","[0, 500]",0.8333333333333334,0.0055498580137888,41.536268615717844
17,high,"(22, 23)","[0, 1000]",1.0,0.0055192410945892,59.67066322339604
17,high,"(22, 23)","[0, 1500]",1.0,0.0079620083173116,39.78880082459913
17,high,"(22, 23)","[0, 2000]",1.0,0.0083705484867095,29.874965078137347
17,high,"(23, 24)","[0, 500]",0.8333333333333334,0.0050878425439198,41.57426279622403
17,high,"(23, 24)","[0, 1000]",1.0,0.0045919219652811,59.72574404403146
17,high,"(23, 24)","[0, 1500]",1.0,0.0076361894607543,39.79739967734562
17,high,"(23, 24)","[0, 2000]",1.0,0.0083361268043518,29.875477117205232
17,high,"(24, 25)","[0, 500]",0.7083333333333334,0.0042659044265747,15.365170989874688
17,high,"(24, 25)","[0, 1000]",1.0,0.0046624441941579,59.72155159848355
17,high,"(24, 25)","[0, 1500]",1.0,0.0069445172945658,39.815666277958705
17,high,"(24, 25)","[0, 2000]",1.0,0.0075984497865041,29.886454637569894
17,high,"(25, 26)","[0, 500]",0.7083333333333334,0.0042784015337626,15.36479020777449
17,high,"(25, 26)","[0, 1000]",0.9166666666666666,0.004368911186854,35.017998456583776
17,high,"(25, 26)","[0, 1500]",1.0,0.0072821875413258,39.80674653753576
17,high,"(25, 26)","[0, 2000]",0.9583333333333334,0.0076432327429453,22.41785875895784
17,high,"(26, 27)","[0, 500]",0.5,0.0046904484430948,0.0
17,high,"(26, 27)","[0, 1000]",0.8333333333333334,0.0042781631151835,20.909201725508744
17,high,"(26, 27)","[0, 1500]",1.0,0.0069164435068766,39.81640804208677
17,high,"(26, 27)","[0, 2000]",1.0,0.0069438815116882,29.896202157285167
17,high,"(27, 28)","[0, 500]",0.7083333333333334,0.0048777163028717,15.346551443419402
17,high,"(27, 28)","[0, 1000]",0.9583333333333334,0.0047601759433746,44.79383588999385
17,high,"(27, 28)","[0, 1500]",1.0,0.0075989464918772,39.79838281236374
17,high,"(27, 28)","[0, 2000]",1.0,0.007636805375417,29.885883661502373
17,high,"(28, 29)","[0, 500]",0.7916666666666666,0.0039726694424947,31.158253182189142
17,high,"(28, 29)","[0, 1000]",0.9583333333333334,0.0043215552965799,44.813398848855854
17,high,"(28, 29)","[0, 1500]",1.0,0.0069291690985361,39.81607180375489
17,high,"(28, 29)","[0, 2000]",1.0,0.0069421728452046,29.896227610255014
17,high,"(29, 30)","[0, 500]",0.7916666666666666,0.0044913589954376,31.12621802415248
17,high,"(29, 30)","[0, 1000]",1.0,0.0044766863187154,59.732595905130154
17,high,"(29, 30)","[0, 1500]",1.0,0.0062196453412373,39.83482766645689
17,high,"(29, 30)","[0, 2000]",0.9583333333333334,0.0069448351860046,22.425659958828714
17,high,"(30, 31)","[0, 500]",0.6666666666666666,0.0050713618596394,9.70605408843785
17,high,"(30, 31)","[0, 1000]",0.9583333333333334,0.0038802822430928,44.83309735842612
17,high,"(30, 31)","[0, 1500]",1.0,0.0073906381924947,39.80388260334808
17,high,"(30, 31)","[0, 2000]",0.9583333333333334,0.0069405138492584,22.425708245675168
17,high,"(31, 32)","[0, 500]",0.875,0.0048946837584177,54.24127900132129
17,high,"(31, 32)","[0, 1000]",1.0,0.0048625171184539,59.70966075245411
17,high,"(31, 32)","[0, 1500]",1.0,0.0068660279115041,39.81774018965653
17,high,"(31, 32)","[0, 2000]",1.0,0.0069415867328643,29.896236341225585
17,high,"(32, 33)","[0, 500]",0.75,0.0046420097351074,22.438307382288233
17,high,"(32, 33)","[0, 1000]",1.0,0.0043122867743174,59.74237375180376
17,high,"(32, 33)","[0, 1500]",1.0,0.0068929592768351,39.817028562396544
17,high,"(32, 33)","[0, 2000]",1.0,0.0076377789179484,29.885869169257244
17,high,"(33, 34)","[0, 500]",0.5,0.0045180817445119,0.0
17,high,"(33, 34)","[0, 1000]",0.9166666666666666,0.004433919986089,35.01573202771674
17,high,"(33, 34)","[0, 1500]",1.0,0.0076312124729156,39.7975310564074
17,high,"(33, 34)","[0, 2000]",1.0,0.0069834291934967,29.895613051529235
17,high,"(34, 35)","[0, 500]",0.625,0.0045471886793772,5.4186404876381875
17,high,"(34, 35)","[0, 1000]",0.7916666666666666,0.0044908920923868,15.632703247993925
17,high,"(34, 35)","[0, 1500]",0.8333333333333334,0.0076489845911661,13.928079357804245
17,high,"(34, 35)","[0, 2000]",0.9166666666666666,0.0075733760992685,17.51915491632963
17,high,"(35, 36)","[0, 500]",0.6666666666666666,0.0047405163447062,9.712416178182725
17,high,"(35, 36)","[0, 1000]",0.7916666666666666,0.0047849118709564,15.628128812318073
17,high,"(35, 36)","[0, 1500]",0.875,0.0062984625498453,18.1810803694676
17,high,"(35, 36)","[0, 2000]",0.9166666666666666,0.0076390902201334,17.518581478668832
17,high,"(36, 37)","[0, 500]",0.5833333333333334,0.0045985579490661,2.3937337550868714
17,high,"(36, 37)","[0, 1000]",0.75,0.0044160286585489,11.273528308359355
17,high,"(36, 37)","[0, 1500]",0.9166666666666666,0.0069158375263214,23.339716861372253
17,high,"(36, 37)","[0, 2000]",0.9583333333333334,0.0069886744022369,22.425170108851667
17,high,"(37, 38)","[0, 500]",0.4166666666666667,0.0054148733615875,2.389867541683296
17,high,"(37, 38)","[0, 1000]",0.8333333333333334,0.004937986532847,20.89547313615495
17,high,"(37, 38)","[0, 1500]",0.8333333333333334,0.0076149900754292,13.928393415647946
17,high,"(37, 38)","[0, 2000]",0.875,0.0069462855656941,13.64567333216142
17,high,"(38, 39)","[0, 500]",0.5416666666666666,0.0048312942186991,0.5960611243554201
17,high,"(38, 39)","[0, 1000]",0.6666666666666666,0.0048053165276845,4.878805750820845
17,high,"(38, 39)","[0, 1500]",0.8333333333333334,0.0082910656929016,13.9221501596922
17,high,"(38, 39)","[0, 2000]",0.8333333333333334,0.0069399376710255,10.46302099377566
17,high,"(39, 40)","[0, 500]",0.7083333333333334,0.0055870910485585,15.325019137274547
17,high,"(39, 40)","[0, 1000]",0.625,0.0055464605490366,2.7188796656987213
17,high,"(39, 40)","[0, 1500]",0.7083333333333334,0.0076410273710886,5.1392418388804
17,high,"(39, 40)","[0, 2000]",0.75,0.0083291431268056,5.638175680119121
