,subject,depth,target,time_window,accuracy
0,29,low,"(1, 8)","[0, 500]",0.08333333333333333
1,29,low,"(1, 8)","[0, 1000]",0.125
2,29,low,"(1, 8)","[0, 1500]",0.125
3,29,low,"(1, 8)","[0, 2000]",0.13541666666666666
4,29,low,"(2, 9)","[0, 500]",0.13541666666666666
5,29,low,"(2, 9)","[0, 1000]",0.125
6,29,low,"(2, 9)","[0, 1500]",0.11458333333333333
7,29,low,"(2, 9)","[0, 2000]",0.16666666666666666
8,29,low,"(3, 10)","[0, 500]",0.10416666666666667
9,29,low,"(3, 10)","[0, 1000]",0.13541666666666666
10,29,low,"(3, 10)","[0, 1500]",0.20833333333333334
11,29,low,"(3, 10)","[0, 2000]",0.3645833333333333
12,29,low,"(4, 11)","[0, 500]",0.14583333333333334
13,29,low,"(4, 11)","[0, 1000]",0.2708333333333333
14,29,low,"(4, 11)","[0, 1500]",0.5625
15,29,low,"(4, 11)","[0, 2000]",0.6979166666666666
16,29,low,"(5, 12)","[0, 500]",0.21875
17,29,low,"(5, 12)","[0, 1000]",0.4166666666666667
18,29,low,"(5, 12)","[0, 1500]",0.6666666666666666
19,29,low,"(5, 12)","[0, 2000]",0.71875
20,29,low,"(6, 13)","[0, 500]",0.20833333333333334
21,29,low,"(6, 13)","[0, 1000]",0.4895833333333333
22,29,low,"(6, 13)","[0, 1500]",0.8333333333333334
23,29,low,"(6, 13)","[0, 2000]",0.8541666666666666
24,29,low,"(7, 14)","[0, 500]",0.25
25,29,low,"(7, 14)","[0, 1000]",0.6458333333333334
26,29,low,"(7, 14)","[0, 1500]",0.8645833333333334
27,29,low,"(7, 14)","[0, 2000]",0.875
28,29,low,"(8, 15)","[0, 500]",0.28125
29,29,low,"(8, 15)","[0, 1000]",0.6875
30,29,low,"(8, 15)","[0, 1500]",0.875
31,29,low,"(8, 15)","[0, 2000]",0.9375
32,29,low,"(9, 16)","[0, 500]",0.28125
33,29,low,"(9, 16)","[0, 1000]",0.6354166666666666
34,29,low,"(9, 16)","[0, 1500]",0.8645833333333334
35,29,low,"(9, 16)","[0, 2000]",0.9375
36,29,low,"(10, 17)","[0, 500]",0.3125
37,29,low,"(10, 17)","[0, 1000]",0.6041666666666666
38,29,low,"(10, 17)","[0, 1500]",0.84375
39,29,low,"(10, 17)","[0, 2000]",0.9166666666666666
40,29,low,"(11, 18)","[0, 500]",0.2708333333333333
41,29,low,"(11, 18)","[0, 1000]",0.5833333333333334
42,29,low,"(11, 18)","[0, 1500]",0.8125
43,29,low,"(11, 18)","[0, 2000]",0.90625
44,29,low,"(12, 19)","[0, 500]",0.3333333333333333
45,29,low,"(12, 19)","[0, 1000]",0.6041666666666666
46,29,low,"(12, 19)","[0, 1500]",0.8229166666666666
47,29,low,"(12, 19)","[0, 2000]",0.9166666666666666
48,29,low,"(13, 20)","[0, 500]",0.3229166666666667
49,29,low,"(13, 20)","[0, 1000]",0.7083333333333334
50,29,low,"(13, 20)","[0, 1500]",0.9166666666666666
51,29,low,"(13, 20)","[0, 2000]",0.9583333333333334
52,29,low,"(14, 21)","[0, 500]",0.3854166666666667
53,29,low,"(14, 21)","[0, 1000]",0.7291666666666666
54,29,low,"(14, 21)","[0, 1500]",0.9270833333333334
55,29,low,"(14, 21)","[0, 2000]",0.96875
56,29,low,"(15, 22)","[0, 500]",0.3645833333333333
57,29,low,"(15, 22)","[0, 1000]",0.6875
58,29,low,"(15, 22)","[0, 1500]",0.90625
59,29,low,"(15, 22)","[0, 2000]",0.9583333333333334
60,29,low,"(16, 23)","[0, 500]",0.3645833333333333
61,29,low,"(16, 23)","[0, 1000]",0.6458333333333334
62,29,low,"(16, 23)","[0, 1500]",0.9166666666666666
63,29,low,"(16, 23)","[0, 2000]",0.9375
64,29,low,"(17, 24)","[0, 500]",0.3229166666666667
65,29,low,"(17, 24)","[0, 1000]",0.6145833333333334
66,29,low,"(17, 24)","[0, 1500]",0.8958333333333334
67,29,low,"(17, 24)","[0, 2000]",0.9270833333333334
68,29,low,"(18, 25)","[0, 500]",0.3541666666666667
69,29,low,"(18, 25)","[0, 1000]",0.59375
70,29,low,"(18, 25)","[0, 1500]",0.8020833333333334
71,29,low,"(18, 25)","[0, 2000]",0.8333333333333334
72,29,low,"(19, 26)","[0, 500]",0.375
73,29,low,"(19, 26)","[0, 1000]",0.5625
74,29,low,"(19, 26)","[0, 1500]",0.7395833333333334
75,29,low,"(19, 26)","[0, 2000]",0.8125
76,29,low,"(20, 27)","[0, 500]",0.375
77,29,low,"(20, 27)","[0, 1000]",0.5416666666666666
78,29,low,"(20, 27)","[0, 1500]",0.7291666666666666
79,29,low,"(20, 27)","[0, 2000]",0.8125
80,29,low,"(21, 28)","[0, 500]",0.3958333333333333
81,29,low,"(21, 28)","[0, 1000]",0.5104166666666666
82,29,low,"(21, 28)","[0, 1500]",0.7395833333333334
83,29,low,"(21, 28)","[0, 2000]",0.8229166666666666
84,29,low,"(22, 29)","[0, 500]",0.3645833333333333
85,29,low,"(22, 29)","[0, 1000]",0.5
86,29,low,"(22, 29)","[0, 1500]",0.7291666666666666
87,29,low,"(22, 29)","[0, 2000]",0.8125
88,29,low,"(23, 30)","[0, 500]",0.375
89,29,low,"(23, 30)","[0, 1000]",0.5625
90,29,low,"(23, 30)","[0, 1500]",0.7291666666666666
91,29,low,"(23, 30)","[0, 2000]",0.8125
92,29,low,"(24, 31)","[0, 500]",0.3645833333333333
93,29,low,"(24, 31)","[0, 1000]",0.5520833333333334
94,29,low,"(24, 31)","[0, 1500]",0.75
95,29,low,"(24, 31)","[0, 2000]",0.8020833333333334
96,29,low,"(25, 32)","[0, 500]",0.3229166666666667
97,29,low,"(25, 32)","[0, 1000]",0.5520833333333334
98,29,low,"(25, 32)","[0, 1500]",0.7291666666666666
99,29,low,"(25, 32)","[0, 2000]",0.8125
100,29,low,"(26, 33)","[0, 500]",0.34375
101,29,low,"(26, 33)","[0, 1000]",0.5208333333333334
102,29,low,"(26, 33)","[0, 1500]",0.71875
103,29,low,"(26, 33)","[0, 2000]",0.8125
104,29,low,"(27, 34)","[0, 500]",0.3229166666666667
105,29,low,"(27, 34)","[0, 1000]",0.4791666666666667
106,29,low,"(27, 34)","[0, 1500]",0.7083333333333334
107,29,low,"(27, 34)","[0, 2000]",0.7708333333333334
108,29,low,"(28, 35)","[0, 500]",0.3020833333333333
109,29,low,"(28, 35)","[0, 1000]",0.4166666666666667
110,29,low,"(28, 35)","[0, 1500]",0.6666666666666666
111,29,low,"(28, 35)","[0, 2000]",0.75
112,29,low,"(29, 36)","[0, 500]",0.2708333333333333
113,29,low,"(29, 36)","[0, 1000]",0.4375
114,29,low,"(29, 36)","[0, 1500]",0.59375
115,29,low,"(29, 36)","[0, 2000]",0.71875
116,29,low,"(30, 37)","[0, 500]",0.2604166666666667
117,29,low,"(30, 37)","[0, 1000]",0.4166666666666667
118,29,low,"(30, 37)","[0, 1500]",0.59375
119,29,low,"(30, 37)","[0, 2000]",0.6770833333333334
120,29,low,"(31, 38)","[0, 500]",0.2604166666666667
121,29,low,"(31, 38)","[0, 1000]",0.3541666666666667
122,29,low,"(31, 38)","[0, 1500]",0.5208333333333334
123,29,low,"(31, 38)","[0, 2000]",0.625
124,29,low,"(32, 39)","[0, 500]",0.28125
125,29,low,"(32, 39)","[0, 1000]",0.3854166666666667
126,29,low,"(32, 39)","[0, 1500]",0.4479166666666667
127,29,low,"(32, 39)","[0, 2000]",0.6145833333333334
128,29,low,"(33, 40)","[0, 500]",0.2916666666666667
129,29,low,"(33, 40)","[0, 1000]",0.3854166666666667
130,29,low,"(33, 40)","[0, 1500]",0.4166666666666667
131,29,low,"(33, 40)","[0, 2000]",0.5208333333333334
132,29,low,"(34, 41)","[0, 500]",0.25
133,29,low,"(34, 41)","[0, 1000]",0.3541666666666667
134,29,low,"(34, 41)","[0, 1500]",0.3854166666666667
135,29,low,"(34, 41)","[0, 2000]",0.4479166666666667
136,29,low,"(35, 42)","[0, 500]",0.23958333333333334
137,29,low,"(35, 42)","[0, 1000]",0.3020833333333333
138,29,low,"(35, 42)","[0, 1500]",0.2916666666666667
139,29,low,"(35, 42)","[0, 2000]",0.3854166666666667
140,29,low,"(36, 43)","[0, 500]",0.17708333333333334
141,29,low,"(36, 43)","[0, 1000]",0.2604166666666667
142,29,low,"(36, 43)","[0, 1500]",0.23958333333333334
143,29,low,"(36, 43)","[0, 2000]",0.3125
144,29,low,"(37, 44)","[0, 500]",0.14583333333333334
145,29,low,"(37, 44)","[0, 1000]",0.22916666666666666
146,29,low,"(37, 44)","[0, 1500]",0.23958333333333334
147,29,low,"(37, 44)","[0, 2000]",0.25
148,29,low,"(38, 45)","[0, 500]",0.1875
149,29,low,"(38, 45)","[0, 1000]",0.20833333333333334
150,29,low,"(38, 45)","[0, 1500]",0.22916666666666666
151,29,low,"(38, 45)","[0, 2000]",0.23958333333333334
152,29,low,"(39, 46)","[0, 500]",0.1875
153,29,low,"(39, 46)","[0, 1000]",0.17708333333333334
154,29,low,"(39, 46)","[0, 1500]",0.17708333333333334
155,29,low,"(39, 46)","[0, 2000]",0.25
156,29,low,"(40, 47)","[0, 500]",0.15625
157,29,low,"(40, 47)","[0, 1000]",0.125
158,29,low,"(40, 47)","[0, 1500]",0.10416666666666667
159,29,low,"(40, 47)","[0, 2000]",0.17708333333333334
160,29,low,"(41, 48)","[0, 500]",0.14583333333333334
161,29,low,"(41, 48)","[0, 1000]",0.10416666666666667
162,29,low,"(41, 48)","[0, 1500]",0.09375
163,29,low,"(41, 48)","[0, 2000]",0.14583333333333334
164,29,low,"(42, 49)","[0, 500]",0.16666666666666666
165,29,low,"(42, 49)","[0, 1000]",0.11458333333333333
166,29,low,"(42, 49)","[0, 1500]",0.11458333333333333
