Unnamed: 0,subject,depth,target,time_window,accuracy,itr
0,19,low,"(1, 8)","[0, 500]",0.1041666666666666,0.3011734240303099
1,19,low,"(1, 8)","[0, 1000]",0.125,0.0
2,19,low,"(1, 8)","[0, 1500]",0.1458333333333333,0.10262875372452074
3,19,low,"(1, 8)","[0, 2000]",0.1770833333333333,0.46074657603130115
4,19,low,"(2, 9)","[0, 500]",0.125,0.0
5,19,low,"(2, 9)","[0, 1000]",0.1458333333333333,0.14927818723566652
6,19,low,"(2, 9)","[0, 1500]",0.2395833333333333,2.6585189094205095
7,19,low,"(2, 9)","[0, 2000]",0.28125,3.5732917812207377
8,19,low,"(3, 10)","[0, 500]",0.1145833333333333,0.07334263811209496
9,19,low,"(3, 10)","[0, 1000]",0.2916666666666667,7.668679689481784
10,19,low,"(3, 10)","[0, 1500]",0.40625,13.449135436134203
11,19,low,"(3, 10)","[0, 2000]",0.4375,12.347527087260016
12,19,low,"(4, 11)","[0, 500]",0.15625,0.6031879290473441
13,19,low,"(4, 11)","[0, 1000]",0.4791666666666667,29.404837099572514
14,19,low,"(4, 11)","[0, 1500]",0.6458333333333334,40.04978141691729
15,19,low,"(4, 11)","[0, 2000]",0.6875,35.0475244092126
16,19,low,"(5, 12)","[0, 500]",0.2395833333333333,7.089383758454693
17,19,low,"(5, 12)","[0, 1000]",0.6354166666666666,56.18526184270609
18,19,low,"(5, 12)","[0, 1500]",0.71875,50.748112152859775
19,19,low,"(5, 12)","[0, 2000]",0.75,42.482375572184736
20,19,low,"(6, 13)","[0, 500]",0.2604166666666667,9.635261139457985
21,19,low,"(6, 13)","[0, 1000]",0.75,81.10271700144358
22,19,low,"(6, 13)","[0, 1500]",0.8645833333333334,76.7898340162692
23,19,low,"(6, 13)","[0, 2000]",0.8645833333333334,58.50654020287176
24,19,low,"(7, 14)","[0, 500]",0.3125,17.390525855083983
25,19,low,"(7, 14)","[0, 1000]",0.78125,88.80068990517292
26,19,low,"(7, 14)","[0, 1500]",0.8541666666666666,74.67299387087962
27,19,low,"(7, 14)","[0, 2000]",0.8645833333333334,58.50654020287176
28,19,low,"(8, 15)","[0, 500]",0.3645833333333333,26.973784239234398
29,19,low,"(8, 15)","[0, 1000]",0.875,114.84633772053832
30,19,low,"(8, 15)","[0, 1500]",0.9479166666666666,95.94756955195277
31,19,low,"(8, 15)","[0, 2000]",0.9583333333333334,75.23270244041184
32,19,low,"(9, 16)","[0, 500]",0.3958333333333333,33.54287258300354
33,19,low,"(9, 16)","[0, 1000]",0.875,114.84633772053832
34,19,low,"(9, 16)","[0, 1500]",0.9479166666666666,95.94756955195277
35,19,low,"(9, 16)","[0, 2000]",0.9583333333333334,75.23270244041184
36,19,low,"(10, 17)","[0, 500]",0.4270833333333333,40.70155796958175
37,19,low,"(10, 17)","[0, 1000]",0.84375,105.60482117482232
38,19,low,"(10, 17)","[0, 1500]",0.9375,93.27188440328946
39,19,low,"(10, 17)","[0, 2000]",0.9479166666666666,73.10291013482116
40,19,low,"(11, 18)","[0, 500]",0.4583333333333333,48.436458903282784
41,19,low,"(11, 18)","[0, 1000]",0.96875,147.9080636930719
42,19,low,"(11, 18)","[0, 1500]",1.0,112.5
43,19,low,"(11, 18)","[0, 2000]",1.0,85.71428571428571
44,19,low,"(12, 19)","[0, 500]",0.5520833333333334,75.03802794409565
45,19,low,"(12, 19)","[0, 1000]",0.9791666666666666,152.47741030929072
46,19,low,"(12, 19)","[0, 1500]",0.9895833333333334,108.27051867193418
47,19,low,"(12, 19)","[0, 2000]",1.0,85.71428571428571
48,19,low,"(13, 20)","[0, 500]",0.6041666666666666,92.02943345920363
49,19,low,"(13, 20)","[0, 1000]",0.96875,147.9080636930719
50,19,low,"(13, 20)","[0, 1500]",0.9895833333333334,108.27051867193418
51,19,low,"(13, 20)","[0, 2000]",1.0,85.71428571428571
52,19,low,"(14, 21)","[0, 500]",0.5833333333333334,85.04000258248455
53,19,low,"(14, 21)","[0, 1000]",0.9479166666666666,139.56010116647676
54,19,low,"(14, 21)","[0, 1500]",0.9895833333333334,108.27051867193418
55,19,low,"(14, 21)","[0, 2000]",1.0,85.71428571428571
56,19,low,"(15, 22)","[0, 500]",0.5625,78.30828133113008
57,19,low,"(15, 22)","[0, 1000]",0.9479166666666666,139.56010116647676
58,19,low,"(15, 22)","[0, 1500]",0.9895833333333334,108.27051867193418
59,19,low,"(15, 22)","[0, 2000]",1.0,85.71428571428571
60,19,low,"(16, 23)","[0, 500]",0.5625,78.30828133113008
61,19,low,"(16, 23)","[0, 1000]",0.9583333333333334,143.6260682953317
62,19,low,"(16, 23)","[0, 1500]",0.9895833333333334,108.27051867193418
63,19,low,"(16, 23)","[0, 2000]",1.0,85.71428571428571
64,19,low,"(17, 24)","[0, 500]",0.53125,68.68719813912338
65,19,low,"(17, 24)","[0, 1000]",0.96875,147.9080636930719
66,19,low,"(17, 24)","[0, 1500]",0.9895833333333334,108.27051867193418
67,19,low,"(17, 24)","[0, 2000]",0.9895833333333334,82.49182375004509
68,19,low,"(18, 25)","[0, 500]",0.59375,88.50226595160457
69,19,low,"(18, 25)","[0, 1000]",0.9583333333333334,143.6260682953317
70,19,low,"(18, 25)","[0, 1500]",0.9895833333333334,108.27051867193418
71,19,low,"(18, 25)","[0, 2000]",0.9895833333333334,82.49182375004509
72,19,low,"(19, 26)","[0, 500]",0.6458333333333334,106.79941711177945
73,19,low,"(19, 26)","[0, 1000]",0.9791666666666666,152.47741030929072
74,19,low,"(19, 26)","[0, 1500]",0.9895833333333334,108.27051867193418
75,19,low,"(19, 26)","[0, 2000]",0.9895833333333334,82.49182375004509
76,19,low,"(20, 27)","[0, 500]",0.625,99.28079013034336
77,19,low,"(20, 27)","[0, 1000]",0.96875,147.9080636930719
78,19,low,"(20, 27)","[0, 1500]",0.9895833333333334,108.27051867193418
79,19,low,"(20, 27)","[0, 2000]",1.0,85.71428571428571
80,19,low,"(21, 28)","[0, 500]",0.6458333333333334,106.79941711177945
81,19,low,"(21, 28)","[0, 1000]",0.96875,147.9080636930719
82,19,low,"(21, 28)","[0, 1500]",0.9791666666666666,104.82821958763738
83,19,low,"(21, 28)","[0, 2000]",0.9791666666666666,79.86911968581894
84,19,low,"(22, 29)","[0, 500]",0.5729166666666666,81.64215058292181
85,19,low,"(22, 29)","[0, 1000]",0.9791666666666666,152.47741030929072
86,19,low,"(22, 29)","[0, 1500]",0.9895833333333334,108.27051867193418
87,19,low,"(22, 29)","[0, 2000]",1.0,85.71428571428571
88,19,low,"(23, 30)","[0, 500]",0.5,59.63225389711979
89,19,low,"(23, 30)","[0, 1000]",0.9791666666666666,152.47741030929072
90,19,low,"(23, 30)","[0, 1500]",0.9895833333333334,108.27051867193418
91,19,low,"(23, 30)","[0, 2000]",1.0,85.71428571428571
92,19,low,"(24, 31)","[0, 500]",0.4166666666666667,38.250753881524524
93,19,low,"(24, 31)","[0, 1000]",0.9479166666666666,139.56010116647676
94,19,low,"(24, 31)","[0, 1500]",1.0,112.5
95,19,low,"(24, 31)","[0, 2000]",1.0,85.71428571428571
96,19,low,"(25, 32)","[0, 500]",0.3541666666666667,24.91823188509934
97,19,low,"(25, 32)","[0, 1000]",0.9479166666666666,139.56010116647676
98,19,low,"(25, 32)","[0, 1500]",0.9791666666666666,104.82821958763738
99,19,low,"(25, 32)","[0, 2000]",1.0,85.71428571428571
100,19,low,"(26, 33)","[0, 500]",0.28125,12.506521234272583
101,19,low,"(26, 33)","[0, 1000]",0.8854166666666666,118.07651884366491
102,19,low,"(26, 33)","[0, 1500]",0.9583333333333334,98.74292195304054
103,19,low,"(26, 33)","[0, 2000]",1.0,85.71428571428571
104,19,low,"(27, 34)","[0, 500]",0.2291666666666666,5.944146213613699
105,19,low,"(27, 34)","[0, 1000]",0.8541666666666666,108.61526381218854
106,19,low,"(27, 34)","[0, 1500]",0.9583333333333334,98.74292195304054
107,19,low,"(27, 34)","[0, 2000]",0.96875,77.47565241065672
108,19,low,"(28, 35)","[0, 500]",0.21875,4.887550460410139
109,19,low,"(28, 35)","[0, 1000]",0.7916666666666666,91.4645195506117
110,19,low,"(28, 35)","[0, 1500]",0.90625,85.79797452502763
111,19,low,"(28, 35)","[0, 2000]",0.8958333333333334,63.58574421531161
112,19,low,"(29, 36)","[0, 500]",0.2291666666666666,5.944146213613699
113,19,low,"(29, 36)","[0, 1000]",0.7916666666666666,91.4645195506117
114,19,low,"(29, 36)","[0, 1500]",0.8958333333333334,83.45628928259649
115,19,low,"(29, 36)","[0, 2000]",0.8958333333333334,63.58574421531161
116,19,low,"(30, 37)","[0, 500]",0.2291666666666666,5.944146213613699
117,19,low,"(30, 37)","[0, 1000]",0.7604166666666666,83.62133779033898
118,19,low,"(30, 37)","[0, 1500]",0.8541666666666666,74.67299387087962
119,19,low,"(30, 37)","[0, 2000]",0.875,60.15760547266293
120,19,low,"(31, 38)","[0, 500]",0.1770833333333333,1.6126130161095542
121,19,low,"(31, 38)","[0, 1000]",0.65625,60.36052762624532
122,19,low,"(31, 38)","[0, 1500]",0.8125,66.6528259495895
123,19,low,"(31, 38)","[0, 2000]",0.8125,50.78310548540152
124,19,low,"(32, 39)","[0, 500]",0.1458333333333333,0.27367667659872197
125,19,low,"(32, 39)","[0, 1000]",0.5729166666666666,44.53208213613917
126,19,low,"(32, 39)","[0, 1500]",0.75,55.75811793849247
127,19,low,"(32, 39)","[0, 2000]",0.7708333333333334,45.14548699763825
128,19,low,"(33, 40)","[0, 500]",0.1770833333333333,1.6126130161095542
129,19,low,"(33, 40)","[0, 1000]",0.53125,37.46574443952184
130,19,low,"(33, 40)","[0, 1500]",0.7291666666666666,52.38813117776849
131,19,low,"(33, 40)","[0, 2000]",0.7708333333333334,45.14548699763825
132,19,low,"(34, 41)","[0, 500]",0.1875,2.2811865703050938
133,19,low,"(34, 41)","[0, 1000]",0.5,32.52668394388352
134,19,low,"(34, 41)","[0, 1500]",0.6875,45.99987578709154
135,19,low,"(34, 41)","[0, 2000]",0.7291666666666666,39.914766611633134
136,19,low,"(35, 42)","[0, 500]",0.1666666666666666,1.0515143303642116
137,19,low,"(35, 42)","[0, 1000]",0.40625,19.5623788161952
138,19,low,"(35, 42)","[0, 1500]",0.6979166666666666,47.55458273846439
139,19,low,"(35, 42)","[0, 2000]",0.7604166666666666,43.801653128272804
140,19,low,"(36, 43)","[0, 500]",0.15625,0.6031879290473441
141,19,low,"(36, 43)","[0, 1000]",0.4375,23.572551712041847
142,19,low,"(36, 43)","[0, 1500]",0.6770833333333334,44.472496412432015
143,19,low,"(36, 43)","[0, 2000]",0.7395833333333334,41.18695747277662
144,19,low,"(37, 44)","[0, 500]",0.1354166666666666,0.06992764335089774
