,subject,depth,target,time_window,accuracy,time
0,23,high,"(1, 16)","[0, 500]",0.06770833333333333,0.12951527163386345
1,23,high,"(1, 16)","[0, 1000]",0.0625,0.11090020835399628
2,23,high,"(1, 16)","[0, 1500]",0.07291666666666667,0.16028873001535734
3,23,high,"(1, 16)","[0, 2000]",0.109375,0.16166135917107263
4,23,high,"(2, 17)","[0, 500]",0.0625,0.11261435846487682
5,23,high,"(2, 17)","[0, 1000]",0.09375,0.10346939290563266
6,23,high,"(2, 17)","[0, 1500]",0.203125,0.15440380573272705
7,23,high,"(2, 17)","[0, 2000]",0.2916666666666667,0.15792920564611754
8,23,high,"(3, 18)","[0, 500]",0.0625,0.09587957834204038
9,23,high,"(3, 18)","[0, 1000]",0.22395833333333334,0.09928423290451367
10,23,high,"(3, 18)","[0, 1500]",0.359375,0.15090217192967734
11,23,high,"(3, 18)","[0, 2000]",0.40625,0.15443928663929304
12,23,high,"(4, 19)","[0, 500]",0.078125,0.08894853914777438
13,23,high,"(4, 19)","[0, 1000]",0.3333333333333333,0.09628420074780782
14,23,high,"(4, 19)","[0, 1500]",0.4635416666666667,0.14830014357964197
15,23,high,"(4, 19)","[0, 2000]",0.53125,0.15185410777727762
16,23,high,"(5, 20)","[0, 500]",0.13020833333333334,0.08452523375550906
17,23,high,"(5, 20)","[0, 1000]",0.375,0.09458823129534721
18,23,high,"(5, 20)","[0, 1500]",0.5,0.14516114567716917
19,23,high,"(5, 20)","[0, 2000]",0.5625,0.14961645752191544
20,23,high,"(6, 21)","[0, 500]",0.140625,0.08144012838602066
21,23,high,"(6, 21)","[0, 1000]",0.4427083333333333,0.09383156523108482
22,23,high,"(6, 21)","[0, 1500]",0.5677083333333334,0.14392252514759699
23,23,high,"(6, 21)","[0, 2000]",0.625,0.14905530959367752
24,23,high,"(7, 22)","[0, 500]",0.15104166666666666,0.07931416109204292
25,23,high,"(7, 22)","[0, 1000]",0.4895833333333333,0.0924369531373183
26,23,high,"(7, 22)","[0, 1500]",0.5989583333333334,0.14259316151340803
27,23,high,"(7, 22)","[0, 2000]",0.625,0.14846625551581383
28,23,high,"(8, 23)","[0, 500]",0.15625,0.07815074548125267
29,23,high,"(8, 23)","[0, 1000]",0.515625,0.09195413688818614
30,23,high,"(8, 23)","[0, 1500]",0.640625,0.1407040779789289
31,23,high,"(8, 23)","[0, 2000]",0.703125,0.14715911696354547
32,23,high,"(9, 24)","[0, 500]",0.203125,0.07710470135013263
33,23,high,"(9, 24)","[0, 1000]",0.5625,0.09121913090348244
34,23,high,"(9, 24)","[0, 1500]",0.6458333333333334,0.13958294317126274
